,base,CP,Cortactin,Dia1,Dia2,Ena_Vasp,PAK,Profilin,WASP,WAVE,mean
Actin_BR,79,81,49,79,79,79,0,86,57,75,66.4
Actin_ST,75,84,58,77,40,11,62,0,18,56,48.1
Arp2_3,79,81,49,79,79,79,0,86,57,75,66.4
CP,51,0,51,49,50,89,53,47,47,50,48.7
Cdc42,49,50,49,50,50,52,51,51,47,51,50.0
Cofilin,67,67,75,68,66,69,10,69,36,68,59.5
Coronin,88,88,75,89,88,90,15,91,84,89,79.7
Cortactin,93,94,0,92,92,93,4,95,88,90,74.1
Dia1,2,6,5,0,3,0,43,2,4,3,6.8
Dia2,77,78,54,77,0,77,99,83,58,76,67.9
Ena_Vasp,96,96,89,95,95,0,96,96,80,93,83.6
IRSp53,80,82,69,80,79,80,53,85,72,78,75.8
LIMK,6,6,17,5,6,5,85,4,8,5,14.7
PAK,86,87,80,85,85,85,0,89,80,84,76.1
PIP2,49,50,49,51,50,50,47,53,53,50,50.2
PKD,6,6,11,5,6,5,85,4,8,5,14.1
Profilin,83,84,75,84,83,84,62,0,29,62,64.6
ROCK,6,6,11,5,6,5,85,4,8,5,14.1
Rac1,76,78,47,76,75,77,4,83,57,73,64.6
RhoA,7,6,14,8,8,7,96,5,12,10,17.3
SSH,88,88,75,89,88,90,15,91,84,89,79.7
Thymosin,24,24,19,23,23,23,44,24,64,24,29.2
WASP,76,76,76,77,77,77,52,76,0,73,66.0
WAVE,76,78,47,76,75,77,4,83,57,0,57.3
