type,path
pos,Coronin -> SSH -> Coronin
pos,Coronin -| Arp2_3 -> CP -| Dia1 -> Rac1 -> SSH -> Coronin
neg,Coronin -| Arp2_3 -> Cofilin -| Thymosin -| WASP -> Ena_Vasp -| CP -| Dia1 -> Rac1 -> SSH -> Coronin
neg,Coronin -| Arp2_3 -> Rac1 -> SSH -> Coronin
pos,Coronin -| Cortactin -> Arp2_3 -> CP -| Dia1 -> Rac1 -> SSH -> Coronin
neg,Coronin -| Cortactin -> Arp2_3 -> Cofilin -| Thymosin -| WASP -> Ena_Vasp -| CP -| Dia1 -> Rac1 -> SSH -> Coronin
neg,Coronin -| Cortactin -> Arp2_3 -> Rac1 -> SSH -> Coronin
neg,Coronin -| Cortactin -> WASP -| Thymosin -| Profilin -| Arp2_3 -> CP -| Dia1 -> Rac1 -> SSH -> Coronin
pos,Coronin -| Cortactin -> WASP -| Thymosin -| Profilin -| Arp2_3 -> Rac1 -> SSH -> Coronin
pos,Coronin -| Cortactin -> WASP -| Thymosin -| Arp2_3 -> CP -| Dia1 -> Rac1 -> SSH -> Coronin
neg,Coronin -| Cortactin -> WASP -| Thymosin -| Arp2_3 -> Rac1 -> SSH -> Coronin
pos,Coronin -| Cortactin -> WASP -> Arp2_3 -> CP -| Dia1 -> Rac1 -> SSH -> Coronin
neg,Coronin -| Cortactin -> WASP -> Arp2_3 -> Rac1 -> SSH -> Coronin
pos,Coronin -| Cortactin -> WASP -> Ena_Vasp -| CP -| Dia1 -> Profilin -| Arp2_3 -> Rac1 -> SSH -> Coronin
neg,Coronin -| Cortactin -> WASP -> Ena_Vasp -| CP -| Dia1 -> Rac1 -> SSH -> Coronin
neg,Coronin -| Cortactin -> WASP -> Profilin -| Arp2_3 -> CP -| Dia1 -> Rac1 -> SSH -> Coronin
pos,Coronin -| Cortactin -> WASP -> Profilin -| Arp2_3 -> Rac1 -> SSH -> Coronin
pos,Coronin -| Cortactin -| Cofilin -| Thymosin -| Profilin -| Arp2_3 -> CP -| Dia1 -> Rac1 -> SSH -> Coronin
neg,Coronin -| Cortactin -| Cofilin -| Thymosin -| Profilin -| Arp2_3 -> Rac1 -> SSH -> Coronin
neg,Coronin -| Cortactin -| Cofilin -| Thymosin -| Arp2_3 -> CP -| Dia1 -> Rac1 -> SSH -> Coronin
pos,Coronin -| Cortactin -| Cofilin -| Thymosin -| Arp2_3 -> Rac1 -> SSH -> Coronin
neg,Coronin -| Cortactin -| Cofilin -| Thymosin -| WASP -> Arp2_3 -> CP -| Dia1 -> Rac1 -> SSH -> Coronin
pos,Coronin -| Cortactin -| Cofilin -| Thymosin -| WASP -> Arp2_3 -> Rac1 -> SSH -> Coronin
neg,Coronin -| Cortactin -| Cofilin -| Thymosin -| WASP -> Ena_Vasp -| CP -| Dia1 -> Profilin -| Arp2_3 -> Rac1 -> SSH -> Coronin
pos,Coronin -| Cortactin -| Cofilin -| Thymosin -| WASP -> Ena_Vasp -| CP -| Dia1 -> Rac1 -> SSH -> Coronin
pos,Coronin -| Cortactin -| Cofilin -| Thymosin -| WASP -> Profilin -| Arp2_3 -> CP -| Dia1 -> Rac1 -> SSH -> Coronin
neg,Coronin -| Cortactin -| Cofilin -| Thymosin -| WASP -> Profilin -| Arp2_3 -> Rac1 -> SSH -> Coronin
pos,RhoA -> Dia1 -> Profilin -| Arp2_3 -> Rac1 -> PAK -| RhoA
