type,path
pos,Coronin -> SSH -> Coronin
pos,Coronin -| Arp2_3 -> CP -| Dia1 -> Rac1 -> PAK -| RhoA -> ROCK -> PKD -| SSH -> Coronin
pos,Coronin -| Arp2_3 -> CP -| Dia1 -> Rac1 -> SSH -> Coronin
pos,Coronin -| Arp2_3 -> CP -| Dia1 -> Rac1 -| RhoA -> ROCK -> PKD -| SSH -> Coronin
neg,Coronin -| Arp2_3 -> Rac1 -> PAK -| RhoA -> ROCK -> PKD -| SSH -> Coronin
neg,Coronin -| Arp2_3 -> Rac1 -> SSH -> Coronin
neg,Coronin -| Arp2_3 -> Rac1 -| RhoA -> ROCK -> PKD -| SSH -> Coronin
pos,Coronin -| Cortactin -> Arp2_3 -> CP -| Dia1 -> Rac1 -> PAK -| RhoA -> ROCK -> PKD -| SSH -> Coronin
pos,Coronin -| Cortactin -> Arp2_3 -> CP -| Dia1 -> Rac1 -> SSH -> Coronin
pos,Coronin -| Cortactin -> Arp2_3 -> CP -| Dia1 -> Rac1 -| RhoA -> ROCK -> PKD -| SSH -> Coronin
neg,Coronin -| Cortactin -> Arp2_3 -> Rac1 -> PAK -| RhoA -> ROCK -> PKD -| SSH -> Coronin
neg,Coronin -| Cortactin -> Arp2_3 -> Rac1 -> SSH -> Coronin
neg,Coronin -| Cortactin -> Arp2_3 -> Rac1 -| RhoA -> ROCK -> PKD -| SSH -> Coronin
pos,Coronin -| Cortactin -| Cofilin -| Thymosin -| Profilin -| Arp2_3 -> CP -| Dia1 -> Rac1 -> PAK -| RhoA -> ROCK -> PKD -| SSH -> Coronin
pos,Coronin -| Cortactin -| Cofilin -| Thymosin -| Profilin -| Arp2_3 -> CP -| Dia1 -> Rac1 -> SSH -> Coronin
pos,Coronin -| Cortactin -| Cofilin -| Thymosin -| Profilin -| Arp2_3 -> CP -| Dia1 -> Rac1 -| RhoA -> ROCK -> PKD -| SSH -> Coronin
neg,Coronin -| Cortactin -| Cofilin -| Thymosin -| Profilin -| Arp2_3 -> Rac1 -> PAK -| RhoA -> ROCK -> PKD -| SSH -> Coronin
neg,Coronin -| Cortactin -| Cofilin -| Thymosin -| Profilin -| Arp2_3 -> Rac1 -> SSH -> Coronin
neg,Coronin -| Cortactin -| Cofilin -| Thymosin -| Profilin -| Arp2_3 -> Rac1 -| RhoA -> ROCK -> PKD -| SSH -> Coronin
neg,Coronin -| Cortactin -| Cofilin -| Thymosin -| Arp2_3 -> CP -| Dia1 -> Rac1 -> PAK -| RhoA -> ROCK -> PKD -| SSH -> Coronin
neg,Coronin -| Cortactin -| Cofilin -| Thymosin -| Arp2_3 -> CP -| Dia1 -> Rac1 -> SSH -> Coronin
neg,Coronin -| Cortactin -| Cofilin -| Thymosin -| Arp2_3 -> CP -| Dia1 -> Rac1 -| RhoA -> ROCK -> PKD -| SSH -> Coronin
pos,Coronin -| Cortactin -| Cofilin -| Thymosin -| Arp2_3 -> Rac1 -> PAK -| RhoA -> ROCK -> PKD -| SSH -> Coronin
pos,Coronin -| Cortactin -| Cofilin -| Thymosin -| Arp2_3 -> Rac1 -> SSH -> Coronin
pos,Coronin -| Cortactin -| Cofilin -| Thymosin -| Arp2_3 -> Rac1 -| RhoA -> ROCK -> PKD -| SSH -> Coronin
pos,Coronin -| ROCK -> PKD -| SSH -> Coronin
neg,Coronin -| ROCK -> PKD -| Cortactin -> Arp2_3 -> CP -| Dia1 -> Rac1 -> SSH -> Coronin
pos,Coronin -| ROCK -> PKD -| Cortactin -> Arp2_3 -> Rac1 -> SSH -> Coronin
neg,Coronin -| ROCK -> PKD -| Cortactin -| Cofilin -| Thymosin -| Profilin -| Arp2_3 -> CP -| Dia1 -> Rac1 -> SSH -> Coronin
pos,Coronin -| ROCK -> PKD -| Cortactin -| Cofilin -| Thymosin -| Profilin -| Arp2_3 -> Rac1 -> SSH -> Coronin
pos,Coronin -| ROCK -> PKD -| Cortactin -| Cofilin -| Thymosin -| Arp2_3 -> CP -| Dia1 -> Rac1 -> SSH -> Coronin
neg,Coronin -| ROCK -> PKD -| Cortactin -| Cofilin -| Thymosin -| Arp2_3 -> Rac1 -> SSH -> Coronin
pos,Coronin -| ROCK -> PKD -> PAK -> Arp2_3 -> CP -| Dia1 -> Rac1 -> SSH -> Coronin
neg,Coronin -| ROCK -> PKD -> PAK -> Arp2_3 -> Rac1 -> SSH -> Coronin
neg,Coronin -| ROCK -> PKD -> PAK -| RhoA -> Dia1 -> Profilin -| Arp2_3 -> Rac1 -> SSH -> Coronin
