,base,CP,Cortactin,Dia1,Dia2,Ena_Vasp,PAK,Profilin,WASP,WAVE,mean
Actin_BR,53,54,52,59,55,55,0,64,18,50,46.0
Actin_ST,65,91,65,51,47,27,64,0,19,59,48.8
Arp2_3,53,54,52,59,55,55,0,64,18,50,46.0
CP,48,0,46,51,50,81,52,48,49,53,47.8
Cdc42,49,48,49,50,54,50,48,51,48,50,49.7
Cofilin,28,27,34,28,28,30,3,31,7,28,24.4
Coronin,22,23,20,21,22,21,7,24,17,19,19.6
Cortactin,31,32,0,30,32,30,7,33,25,28,24.8
Dia1,34,69,39,0,34,15,48,35,39,33,34.6
Dia2,87,87,87,87,0,88,100,87,88,88,79.9
Ena_Vasp,100,99,100,100,100,0,100,99,99,100,89.7
IRSp53,57,57,56,58,60,58,51,60,54,56,56.7
LIMK,78,77,80,79,78,79,93,76,83,81,80.4
PAK,99,98,99,99,99,99,0,99,99,99,89.0
PIP2,52,53,54,49,50,49,48,52,51,47,50.5
PKD,68,68,70,69,68,69,93,67,73,71,71.6
Profilin,68,91,70,55,68,63,64,0,20,62,56.1
ROCK,68,68,70,69,68,69,93,67,73,71,71.6
ROCK_,68,68,70,69,68,69,93,67,73,71,71.6
Rac1,31,32,29,30,32,30,7,33,25,28,27.7
RhoA,70,69,72,72,69,71,100,68,76,73,74.0
SSH,22,23,20,21,22,21,7,24,17,19,19.6
Thymosin,44,42,40,42,43,43,48,42,93,45,48.2
WASP,56,58,60,58,57,57,52,58,0,55,51.1
WAVE,31,32,29,30,32,30,7,33,25,0,24.9
