type,path
pos,Thymosin -| Profilin -| Arp2_3 -> CP -| Dia1 -> Rac1 -> SSH -| ROCK -> PKD -| Cortactin -> WASP -| Thymosin
neg,Thymosin -| Profilin -| Arp2_3 -> CP -| Dia1 -> Rac1 -> SSH -| ROCK -> PKD -> PAK -> Cortactin -> WASP -| Thymosin
pos,Thymosin -| Profilin -| Arp2_3 -> CP -| Dia1 -> Rac1 -> SSH -> Coronin -| ROCK -> PKD -| Cortactin -> WASP -| Thymosin
neg,Thymosin -| Profilin -| Arp2_3 -> CP -| Dia1 -> Rac1 -> SSH -> Coronin -| ROCK -> PKD -> PAK -> Cortactin -> WASP -| Thymosin
neg,Thymosin -| Profilin -| Arp2_3 -> CP -| Dia1 -> Rac1 -> SSH -> Coronin -| Cortactin -> WASP -| Thymosin
pos,Thymosin -| Profilin -| Arp2_3 -> CP -| Dia1 -> Rac1 -> IRSp53 -> WASP -| Thymosin
pos,Thymosin -| Profilin -| Arp2_3 -> CP -| Dia1 -> Rac1 -> Cortactin -> WASP -| Thymosin
pos,Thymosin -| Profilin -| Arp2_3 -> CP -| Dia1 -> Rac1 -> WASP -| Thymosin
neg,Thymosin -| Profilin -| Arp2_3 -> CP -| Dia1 -> Rac1 -| RhoA -> ROCK -> PKD -| SSH -> Coronin -| Cortactin -> WASP -| Thymosin
pos,Thymosin -| Profilin -| Arp2_3 -> CP -| Dia1 -> Rac1 -| RhoA -> ROCK -> PKD -| Cortactin -> WASP -| Thymosin
neg,Thymosin -| Profilin -| Arp2_3 -> CP -| Dia1 -> Rac1 -| RhoA -> ROCK -> PKD -> PAK -> Cortactin -> WASP -| Thymosin
pos,Thymosin -| Profilin -| Arp2_3 -> CP -| Dia1 -> Rac1 -> PAK -> Cortactin -> WASP -| Thymosin
neg,Thymosin -| Profilin -| Arp2_3 -> CP -| Dia1 -> Rac1 -> PAK -| RhoA -> ROCK -> PKD -| SSH -> Coronin -| Cortactin -> WASP -| Thymosin
pos,Thymosin -| Profilin -| Arp2_3 -> CP -| Dia1 -> Rac1 -> PAK -| RhoA -> ROCK -> PKD -| Cortactin -> WASP -| Thymosin
neg,Thymosin -| Profilin -| Arp2_3 -> Rac1 -> SSH -| ROCK -> PKD -| Cortactin -> WASP -| Thymosin
pos,Thymosin -| Profilin -| Arp2_3 -> Rac1 -> SSH -| ROCK -> PKD -> PAK -> Cortactin -> WASP -| Thymosin
neg,Thymosin -| Profilin -| Arp2_3 -> Rac1 -> SSH -> Coronin -| ROCK -> PKD -| Cortactin -> WASP -| Thymosin
pos,Thymosin -| Profilin -| Arp2_3 -> Rac1 -> SSH -> Coronin -| ROCK -> PKD -> PAK -> Cortactin -> WASP -| Thymosin
pos,Thymosin -| Profilin -| Arp2_3 -> Rac1 -> SSH -> Coronin -| Cortactin -> WASP -| Thymosin
neg,Thymosin -| Profilin -| Arp2_3 -> Rac1 -> IRSp53 -> WASP -| Thymosin
neg,Thymosin -| Profilin -| Arp2_3 -> Rac1 -> Cortactin -> WASP -| Thymosin
neg,Thymosin -| Profilin -| Arp2_3 -> Rac1 -> WASP -| Thymosin
pos,Thymosin -| Profilin -| Arp2_3 -> Rac1 -| RhoA -> ROCK -> PKD -| SSH -> Coronin -| Cortactin -> WASP -| Thymosin
neg,Thymosin -| Profilin -| Arp2_3 -> Rac1 -| RhoA -> ROCK -> PKD -| Cortactin -> WASP -| Thymosin
pos,Thymosin -| Profilin -| Arp2_3 -> Rac1 -| RhoA -> ROCK -> PKD -> PAK -> Cortactin -> WASP -| Thymosin
neg,Thymosin -| Profilin -| Arp2_3 -> Rac1 -> PAK -> Cortactin -> WASP -| Thymosin
pos,Thymosin -| Profilin -| Arp2_3 -> Rac1 -> PAK -| RhoA -> ROCK -> PKD -| SSH -> Coronin -| Cortactin -> WASP -| Thymosin
neg,Thymosin -| Profilin -| Arp2_3 -> Rac1 -> PAK -| RhoA -> ROCK -> PKD -| Cortactin -> WASP -| Thymosin
pos,Thymosin -| WASP -| Thymosin
neg,Thymosin -| Arp2_3 -> CP -| Dia1 -> Rac1 -> SSH -| ROCK -> PKD -| Cortactin -> WASP -| Thymosin
pos,Thymosin -| Arp2_3 -> CP -| Dia1 -> Rac1 -> SSH -| ROCK -> PKD -> PAK -> Cortactin -> WASP -| Thymosin
neg,Thymosin -| Arp2_3 -> CP -| Dia1 -> Rac1 -> SSH -> Coronin -| ROCK -> PKD -| Cortactin -> WASP -| Thymosin
pos,Thymosin -| Arp2_3 -> CP -| Dia1 -> Rac1 -> SSH -> Coronin -| ROCK -> PKD -> PAK -> Cortactin -> WASP -| Thymosin
pos,Thymosin -| Arp2_3 -> CP -| Dia1 -> Rac1 -> SSH -> Coronin -| Cortactin -> WASP -| Thymosin
neg,Thymosin -| Arp2_3 -> CP -| Dia1 -> Rac1 -> IRSp53 -> WASP -| Thymosin
neg,Thymosin -| Arp2_3 -> CP -| Dia1 -> Rac1 -> Cortactin -> WASP -| Thymosin
neg,Thymosin -| Arp2_3 -> CP -| Dia1 -> Rac1 -> WASP -| Thymosin
pos,Thymosin -| Arp2_3 -> CP -| Dia1 -> Rac1 -| RhoA -> ROCK -> PKD -| SSH -> Coronin -| Cortactin -> WASP -| Thymosin
neg,Thymosin -| Arp2_3 -> CP -| Dia1 -> Rac1 -| RhoA -> ROCK -> PKD -| Cortactin -> WASP -| Thymosin
pos,Thymosin -| Arp2_3 -> CP -| Dia1 -> Rac1 -| RhoA -> ROCK -> PKD -> PAK -> Cortactin -> WASP -| Thymosin
neg,Thymosin -| Arp2_3 -> CP -| Dia1 -> Rac1 -> PAK -> Cortactin -> WASP -| Thymosin
pos,Thymosin -| Arp2_3 -> CP -| Dia1 -> Rac1 -> PAK -| RhoA -> ROCK -> PKD -| SSH -> Coronin -| Cortactin -> WASP -| Thymosin
neg,Thymosin -| Arp2_3 -> CP -| Dia1 -> Rac1 -> PAK -| RhoA -> ROCK -> PKD -| Cortactin -> WASP -| Thymosin
pos,Thymosin -| Arp2_3 -> Rac1 -> SSH -| ROCK -> PKD -| Cortactin -> WASP -| Thymosin
neg,Thymosin -| Arp2_3 -> Rac1 -> SSH -| ROCK -> PKD -> PAK -> Cortactin -> WASP -| Thymosin
pos,Thymosin -| Arp2_3 -> Rac1 -> SSH -> Coronin -| ROCK -> PKD -| Cortactin -> WASP -| Thymosin
neg,Thymosin -| Arp2_3 -> Rac1 -> SSH -> Coronin -| ROCK -> PKD -> PAK -> Cortactin -> WASP -| Thymosin
neg,Thymosin -| Arp2_3 -> Rac1 -> SSH -> Coronin -| Cortactin -> WASP -| Thymosin
pos,Thymosin -| Arp2_3 -> Rac1 -> IRSp53 -> WASP -| Thymosin
pos,Thymosin -| Arp2_3 -> Rac1 -> Cortactin -> WASP -| Thymosin
pos,Thymosin -| Arp2_3 -> Rac1 -> WASP -| Thymosin
neg,Thymosin -| Arp2_3 -> Rac1 -| RhoA -> ROCK -> PKD -| SSH -> Coronin -| Cortactin -> WASP -| Thymosin
pos,Thymosin -| Arp2_3 -> Rac1 -| RhoA -> ROCK -> PKD -| Cortactin -> WASP -| Thymosin
neg,Thymosin -| Arp2_3 -> Rac1 -| RhoA -> ROCK -> PKD -> PAK -> Cortactin -> WASP -| Thymosin
pos,Thymosin -| Arp2_3 -> Rac1 -> PAK -> Cortactin -> WASP -| Thymosin
neg,Thymosin -| Arp2_3 -> Rac1 -> PAK -| RhoA -> ROCK -> PKD -| SSH -> Coronin -| Cortactin -> WASP -| Thymosin
pos,Thymosin -| Arp2_3 -> Rac1 -> PAK -| RhoA -> ROCK -> PKD -| Cortactin -> WASP -| Thymosin
neg,IRSp53 -> Ena_Vasp -| CP -| Dia1 -> Profilin -| Arp2_3 -> Rac1 -> IRSp53
pos,IRSp53 -> Ena_Vasp -| CP -| Dia1 -> Rac1 -> IRSp53
pos,IRSp53 -> WASP -> Profilin -| Arp2_3 -> CP -| Dia1 -> Rac1 -> IRSp53
neg,IRSp53 -> WASP -> Profilin -| Arp2_3 -> Rac1 -> IRSp53
neg,IRSp53 -> WASP -> Ena_Vasp -| CP -| Dia1 -> Profilin -| Arp2_3 -> Rac1 -> IRSp53
