type,path
pos,RhoA -> Rac1 -> SSH -> Coronin -| ROCK -> PKD -> PAK -| RhoA
pos,RhoA -> Rac1 -> SSH -| ROCK -> PKD -> PAK -| RhoA
neg,RhoA -> Rac1 -> PAK -| RhoA
neg,RhoA -> Rac1 -| RhoA
pos,RhoA -> ROCK -> ROCK_ -| Rac1 -> PAK -| RhoA
pos,RhoA -> ROCK -> ROCK_ -| Rac1 -| RhoA
neg,RhoA -> ROCK -> PKD -> PAK -| RhoA
pos,Rac1 -> SSH -> Coronin -| ROCK -> ROCK_ -| Rac1
pos,Rac1 -> SSH -| ROCK -> ROCK_ -| Rac1
pos,ROCK -> PKD -| SSH -> Coronin -| ROCK
pos,ROCK -> PKD -| SSH -| ROCK
pos,SSH -> Coronin -> SSH
pos,Thymosin -| WASP -| Thymosin
pos,Thymosin -| Cofilin -| Thymosin
