type,path
pos,RhoA -> Rac1 -> SSH -> Coronin -| ROCK -> PKD -> PAK -| RhoA
pos,RhoA -> Rac1 -> SSH -| ROCK -> PKD -> PAK -| RhoA
neg,RhoA -> Rac1 -> PAK -| RhoA
neg,RhoA -> Rac1 -| RhoA
pos,RhoA -> ROCK -> LIMK -| Cofilin -| Thymosin -| WASP -> Arp2_3 -> Rac1 -> PAK -| RhoA
pos,RhoA -> ROCK -> LIMK -| Cofilin -| Thymosin -| WASP -> Arp2_3 -> Rac1 -| RhoA
neg,RhoA -> ROCK -> LIMK -| Cofilin -| Thymosin -| WASP -> Profilin -| Arp2_3 -> Rac1 -> PAK -| RhoA
neg,RhoA -> ROCK -> LIMK -| Cofilin -| Thymosin -| WASP -> Profilin -| Arp2_3 -> Rac1 -| RhoA
pos,RhoA -> ROCK -> LIMK -| Cofilin -| Thymosin -| Arp2_3 -> Rac1 -> PAK -| RhoA
pos,RhoA -> ROCK -> LIMK -| Cofilin -| Thymosin -| Arp2_3 -> Rac1 -| RhoA
neg,RhoA -> ROCK -> LIMK -| Cofilin -| Thymosin -| Profilin -| Arp2_3 -> Rac1 -> PAK -| RhoA
neg,RhoA -> ROCK -> LIMK -| Cofilin -| Thymosin -| Profilin -| Arp2_3 -> Rac1 -| RhoA
pos,RhoA -> ROCK -> ROCK_ -| Rac1 -> PAK -| RhoA
pos,RhoA -> ROCK -> ROCK_ -| Rac1 -| RhoA
neg,RhoA -> ROCK -> PKD -> PAK -> Arp2_3 -> Rac1 -| RhoA
pos,RhoA -> ROCK -> PKD -> PAK -> LIMK -| Cofilin -| Thymosin -| WASP -> Arp2_3 -> Rac1 -| RhoA
neg,RhoA -> ROCK -> PKD -> PAK -> LIMK -| Cofilin -| Thymosin -| WASP -> Profilin -| Arp2_3 -> Rac1 -| RhoA
pos,RhoA -> ROCK -> PKD -> PAK -> LIMK -| Cofilin -| Thymosin -| Arp2_3 -> Rac1 -| RhoA
neg,RhoA -> ROCK -> PKD -> PAK -> LIMK -| Cofilin -| Thymosin -| Profilin -| Arp2_3 -> Rac1 -| RhoA
neg,RhoA -> ROCK -> PKD -> PAK -| RhoA
pos,RhoA -> ROCK -> PKD -| SSH -| LIMK -| Cofilin -| Thymosin -| WASP -> Arp2_3 -> Rac1 -> PAK -| RhoA
pos,RhoA -> ROCK -> PKD -| SSH -| LIMK -| Cofilin -| Thymosin -| WASP -> Arp2_3 -> Rac1 -| RhoA
neg,RhoA -> ROCK -> PKD -| SSH -| LIMK -| Cofilin -| Thymosin -| WASP -> Profilin -| Arp2_3 -> Rac1 -> PAK -| RhoA
neg,RhoA -> ROCK -> PKD -| SSH -| LIMK -| Cofilin -| Thymosin -| WASP -> Profilin -| Arp2_3 -> Rac1 -| RhoA
pos,RhoA -> ROCK -> PKD -| SSH -| LIMK -| Cofilin -| Thymosin -| Arp2_3 -> Rac1 -> PAK -| RhoA
pos,RhoA -> ROCK -> PKD -| SSH -| LIMK -| Cofilin -| Thymosin -| Arp2_3 -> Rac1 -| RhoA
neg,RhoA -> ROCK -> PKD -| SSH -| LIMK -| Cofilin -| Thymosin -| Profilin -| Arp2_3 -> Rac1 -> PAK -| RhoA
neg,RhoA -> ROCK -> PKD -| SSH -| LIMK -| Cofilin -| Thymosin -| Profilin -| Arp2_3 -> Rac1 -| RhoA
neg,RhoA -> ROCK -> PKD -| SSH -> Coronin -| Arp2_3 -> Rac1 -> PAK -| RhoA
neg,RhoA -> ROCK -> PKD -| SSH -> Coronin -| Arp2_3 -> Rac1 -| RhoA
pos,RhoA -> ROCK -> PKD -| SSH -> Cofilin -| Thymosin -| WASP -> Arp2_3 -> Rac1 -> PAK -| RhoA
pos,RhoA -> ROCK -> PKD -| SSH -> Cofilin -| Thymosin -| WASP -> Arp2_3 -> Rac1 -| RhoA
neg,RhoA -> ROCK -> PKD -| SSH -> Cofilin -| Thymosin -| WASP -> Profilin -| Arp2_3 -> Rac1 -> PAK -| RhoA
neg,RhoA -> ROCK -> PKD -| SSH -> Cofilin -| Thymosin -| WASP -> Profilin -| Arp2_3 -> Rac1 -| RhoA
pos,RhoA -> ROCK -> PKD -| SSH -> Cofilin -| Thymosin -| Arp2_3 -> Rac1 -> PAK -| RhoA
pos,RhoA -> ROCK -> PKD -| SSH -> Cofilin -| Thymosin -| Arp2_3 -> Rac1 -| RhoA
neg,RhoA -> ROCK -> PKD -| SSH -> Cofilin -| Thymosin -| Profilin -| Arp2_3 -> Rac1 -> PAK -| RhoA
neg,RhoA -> ROCK -> PKD -| SSH -> Cofilin -| Thymosin -| Profilin -| Arp2_3 -> Rac1 -| RhoA
pos,IRSp53 -> WASP -> Arp2_3 -> Rac1 -> IRSp53
pos,IRSp53 -> WASP -| Thymosin -| Arp2_3 -> Rac1 -> IRSp53
neg,IRSp53 -> WASP -| Thymosin -| Profilin -| Arp2_3 -> Rac1 -> IRSp53
neg,IRSp53 -> WASP -> Profilin -| Arp2_3 -> Rac1 -> IRSp53
pos,Rac1 -> SSH -| LIMK -| Cofilin -| Thymosin -| WASP -> Arp2_3 -> Rac1
neg,Rac1 -> SSH -| LIMK -| Cofilin -| Thymosin -| WASP -> Profilin -| Arp2_3 -> Rac1
pos,Rac1 -> SSH -| LIMK -| Cofilin -| Thymosin -| Arp2_3 -> Rac1
neg,Rac1 -> SSH -| LIMK -| Cofilin -| Thymosin -| Profilin -| Arp2_3 -> Rac1
neg,Rac1 -> SSH -> Coronin -| Arp2_3 -> Rac1
pos,Rac1 -> SSH -> Coronin -| ROCK -> LIMK -| Cofilin -| Thymosin -| WASP -> Arp2_3 -> Rac1
neg,Rac1 -> SSH -> Coronin -| ROCK -> LIMK -| Cofilin -| Thymosin -| WASP -> Profilin -| Arp2_3 -> Rac1
pos,Rac1 -> SSH -> Coronin -| ROCK -> LIMK -| Cofilin -| Thymosin -| Arp2_3 -> Rac1
neg,Rac1 -> SSH -> Coronin -| ROCK -> LIMK -| Cofilin -| Thymosin -| Profilin -| Arp2_3 -> Rac1
pos,Rac1 -> SSH -> Coronin -| ROCK -> ROCK_ -| Rac1
neg,Rac1 -> SSH -> Coronin -| ROCK -> PKD -> PAK -> Arp2_3 -> Rac1
pos,Rac1 -> SSH -> Coronin -| ROCK -> PKD -> PAK -> LIMK -| Cofilin -| Thymosin -| WASP -> Arp2_3 -> Rac1
neg,Rac1 -> SSH -> Coronin -| ROCK -> PKD -> PAK -> LIMK -| Cofilin -| Thymosin -| WASP -> Profilin -| Arp2_3 -> Rac1
pos,Rac1 -> SSH -> Coronin -| ROCK -> PKD -> PAK -> LIMK -| Cofilin -| Thymosin -| Arp2_3 -> Rac1
neg,Rac1 -> SSH -> Coronin -| ROCK -> PKD -> PAK -> LIMK -| Cofilin -| Thymosin -| Profilin -| Arp2_3 -> Rac1
pos,Rac1 -> SSH -> Cofilin -| Thymosin -| WASP -> Arp2_3 -> Rac1
neg,Rac1 -> SSH -> Cofilin -| Thymosin -| WASP -> Profilin -| Arp2_3 -> Rac1
pos,Rac1 -> SSH -> Cofilin -| Thymosin -| Arp2_3 -> Rac1
neg,Rac1 -> SSH -> Cofilin -| Thymosin -| Profilin -| Arp2_3 -> Rac1
pos,Rac1 -> SSH -| ROCK -> LIMK -| Cofilin -| Thymosin -| WASP -> Arp2_3 -> Rac1
neg,Rac1 -> SSH -| ROCK -> LIMK -| Cofilin -| Thymosin -| WASP -> Profilin -| Arp2_3 -> Rac1
pos,Rac1 -> SSH -| ROCK -> LIMK -| Cofilin -| Thymosin -| Arp2_3 -> Rac1
neg,Rac1 -> SSH -| ROCK -> LIMK -| Cofilin -| Thymosin -| Profilin -| Arp2_3 -> Rac1
pos,Rac1 -> SSH -| ROCK -> ROCK_ -| Rac1
neg,Rac1 -> SSH -| ROCK -> PKD -> PAK -> Arp2_3 -> Rac1
pos,Rac1 -> SSH -| ROCK -> PKD -> PAK -> LIMK -| Cofilin -| Thymosin -| WASP -> Arp2_3 -> Rac1
