type,path
pos,WAVE -> Arp2_3 -> Rac1 -> WAVE
pos,WAVE -> Arp2_3 -> Cofilin -| Thymosin -| WASP -> Ena_Vasp -| CP -| Dia1 -> Rac1 -> WAVE
neg,WAVE -> Arp2_3 -> CP -| Dia1 -> Rac1 -> WAVE
neg,WAVE -> Profilin -| Arp2_3 -> Rac1 -> WAVE
neg,WAVE -> Profilin -| Arp2_3 -> Cofilin -| Thymosin -| WASP -> Ena_Vasp -| CP -| Dia1 -> Rac1 -> WAVE
pos,WAVE -> Profilin -| Arp2_3 -> CP -| Dia1 -> Rac1 -> WAVE
neg,SSH -> Coronin -| Arp2_3 -> Rac1 -> SSH
neg,SSH -> Coronin -| Arp2_3 -> Rac1 -| RhoA -> ROCK -> PKD -| SSH
neg,SSH -> Coronin -| Arp2_3 -> Rac1 -> PAK -| RhoA -> ROCK -> PKD -| SSH
neg,SSH -> Coronin -| Arp2_3 -> Cofilin -| Thymosin -| WASP -> Ena_Vasp -| CP -| Dia1 -> Rac1 -> SSH
neg,SSH -> Coronin -| Arp2_3 -> Cofilin -| Thymosin -| WASP -> Ena_Vasp -| CP -| Dia1 -> Rac1 -| RhoA -> ROCK -> PKD -| SSH
neg,SSH -> Coronin -| Arp2_3 -> Cofilin -| Thymosin -| WASP -> Ena_Vasp -| CP -| Dia1 -> Rac1 -> PAK -| RhoA -> ROCK -> PKD -| SSH
pos,SSH -> Coronin -| Arp2_3 -> CP -| Dia1 -> Rac1 -> SSH
pos,SSH -> Coronin -| Arp2_3 -> CP -| Dia1 -> Rac1 -| RhoA -> ROCK -> PKD -| SSH
pos,SSH -> Coronin -| Arp2_3 -> CP -| Dia1 -> Rac1 -> PAK -| RhoA -> ROCK -> PKD -| SSH
pos,SSH -> Coronin -> SSH
pos,SSH -> Coronin -| ROCK -> PKD -| SSH
neg,SSH -> Coronin -| ROCK -> PKD -> PAK -> Arp2_3 -> Rac1 -> SSH
neg,SSH -> Coronin -| ROCK -> PKD -> PAK -> Arp2_3 -> Cofilin -| Thymosin -| WASP -> Ena_Vasp -| CP -| Dia1 -> Rac1 -> SSH
pos,SSH -> Coronin -| ROCK -> PKD -> PAK -> Arp2_3 -> CP -| Dia1 -> Rac1 -> SSH
neg,SSH -> Coronin -| ROCK -> PKD -> PAK -> Cortactin -> Arp2_3 -> Rac1 -> SSH
neg,SSH -> Coronin -| ROCK -> PKD -> PAK -> Cortactin -> Arp2_3 -> Cofilin -| Thymosin -| WASP -> Ena_Vasp -| CP -| Dia1 -> Rac1 -> SSH
pos,SSH -> Coronin -| ROCK -> PKD -> PAK -> Cortactin -> Arp2_3 -> CP -| Dia1 -> Rac1 -> SSH
neg,SSH -> Coronin -| ROCK -> PKD -> PAK -> Cortactin -> WASP -> Arp2_3 -> Rac1 -> SSH
pos,SSH -> Coronin -| ROCK -> PKD -> PAK -> Cortactin -> WASP -> Arp2_3 -> CP -| Dia1 -> Rac1 -> SSH
pos,SSH -> Coronin -| ROCK -> PKD -> PAK -> Cortactin -> WASP -> Profilin -| Arp2_3 -> Rac1 -> SSH
neg,SSH -> Coronin -| ROCK -> PKD -> PAK -> Cortactin -> WASP -> Profilin -| Arp2_3 -> CP -| Dia1 -> Rac1 -> SSH
neg,SSH -> Coronin -| ROCK -> PKD -> PAK -> Cortactin -> WASP -| Thymosin -| Arp2_3 -> Rac1 -> SSH
pos,SSH -> Coronin -| ROCK -> PKD -> PAK -> Cortactin -> WASP -| Thymosin -| Arp2_3 -> CP -| Dia1 -> Rac1 -> SSH
pos,SSH -> Coronin -| ROCK -> PKD -> PAK -> Cortactin -> WASP -| Thymosin -| Profilin -| Arp2_3 -> Rac1 -> SSH
neg,SSH -> Coronin -| ROCK -> PKD -> PAK -> Cortactin -> WASP -| Thymosin -| Profilin -| Arp2_3 -> CP -| Dia1 -> Rac1 -> SSH
pos,SSH -> Coronin -| ROCK -> PKD -> PAK -> Cortactin -> WASP -> Ena_Vasp -| CP -| Dia1 -> Profilin -| Arp2_3 -> Rac1 -> SSH
