type,path
pos,WAVE -> Arp2_3 -> Rac1 -> WAVE
pos,WAVE -> Arp2_3 -> Cofilin -| Thymosin -| WASP -> Ena_Vasp -| CP -| Dia1 -> Rac1 -> WAVE
neg,WAVE -> Arp2_3 -> CP -| Dia1 -> Rac1 -> WAVE
neg,WAVE -> Profilin -| Arp2_3 -> Rac1 -> WAVE
neg,WAVE -> Profilin -| Arp2_3 -> Cofilin -| Thymosin -| WASP -> Ena_Vasp -| CP -| Dia1 -> Rac1 -> WAVE
pos,WAVE -> Profilin -| Arp2_3 -> CP -| Dia1 -> Rac1 -> WAVE
neg,SSH -> Coronin -| Arp2_3 -> Rac1 -> SSH
neg,SSH -> Coronin -| Arp2_3 -> Cofilin -| Thymosin -| WASP -> Ena_Vasp -| CP -| Dia1 -> Rac1 -> SSH
pos,SSH -> Coronin -| Arp2_3 -> CP -| Dia1 -> Rac1 -> SSH
pos,SSH -> Coronin -> SSH
pos,SSH -> Coronin -| ROCK -> ROCK_ -| Rac1 -> SSH
pos,SSH -> Coronin -| ROCK -> LIMK -| Cofilin -| Thymosin -| Arp2_3 -> Rac1 -> SSH
neg,SSH -> Coronin -| ROCK -> LIMK -| Cofilin -| Thymosin -| Arp2_3 -> CP -| Dia1 -> Rac1 -> SSH
pos,SSH -> Coronin -| ROCK -> LIMK -| Cofilin -| Thymosin -| WASP -> Arp2_3 -> Rac1 -> SSH
neg,SSH -> Coronin -| ROCK -> LIMK -| Cofilin -| Thymosin -| WASP -> Arp2_3 -> CP -| Dia1 -> Rac1 -> SSH
neg,SSH -> Coronin -| ROCK -> LIMK -| Cofilin -| Thymosin -| WASP -> Profilin -| Arp2_3 -> Rac1 -> SSH
pos,SSH -> Coronin -| ROCK -> LIMK -| Cofilin -| Thymosin -| WASP -> Profilin -| Arp2_3 -> CP -| Dia1 -> Rac1 -> SSH
neg,SSH -> Coronin -| ROCK -> LIMK -| Cofilin -| Thymosin -| WASP -> Ena_Vasp -| CP -| Dia1 -> Profilin -| Arp2_3 -> Rac1 -> SSH
pos,SSH -> Coronin -| ROCK -> LIMK -| Cofilin -| Thymosin -| WASP -> Ena_Vasp -| CP -| Dia1 -> Rac1 -> SSH
neg,SSH -> Coronin -| ROCK -> LIMK -| Cofilin -| Thymosin -| Profilin -| Arp2_3 -> Rac1 -> SSH
pos,SSH -> Coronin -| ROCK -> LIMK -| Cofilin -| Thymosin -| Profilin -| Arp2_3 -> CP -| Dia1 -> Rac1 -> SSH
neg,SSH -> Coronin -| Cortactin -> Arp2_3 -> Rac1 -> SSH
neg,SSH -> Coronin -| Cortactin -> Arp2_3 -> Cofilin -| Thymosin -| WASP -> Ena_Vasp -| CP -| Dia1 -> Rac1 -> SSH
pos,SSH -> Coronin -| Cortactin -> Arp2_3 -> CP -| Dia1 -> Rac1 -> SSH
neg,SSH -> Coronin -| Cortactin -> WASP -> Arp2_3 -> Rac1 -> SSH
pos,SSH -> Coronin -| Cortactin -> WASP -> Arp2_3 -> CP -| Dia1 -> Rac1 -> SSH
pos,SSH -> Coronin -| Cortactin -> WASP -> Profilin -| Arp2_3 -> Rac1 -> SSH
neg,SSH -> Coronin -| Cortactin -> WASP -> Profilin -| Arp2_3 -> CP -| Dia1 -> Rac1 -> SSH
neg,SSH -> Coronin -| Cortactin -> WASP -| Thymosin -| Arp2_3 -> Rac1 -> SSH
pos,SSH -> Coronin -| Cortactin -> WASP -| Thymosin -| Arp2_3 -> CP -| Dia1 -> Rac1 -> SSH
pos,SSH -> Coronin -| Cortactin -> WASP -| Thymosin -| Profilin -| Arp2_3 -> Rac1 -> SSH
neg,SSH -> Coronin -| Cortactin -> WASP -| Thymosin -| Profilin -| Arp2_3 -> CP -| Dia1 -> Rac1 -> SSH
pos,SSH -> Coronin -| Cortactin -> WASP -> Ena_Vasp -| CP -| Dia1 -> Profilin -| Arp2_3 -> Rac1 -> SSH
neg,SSH -> Coronin -| Cortactin -> WASP -> Ena_Vasp -| CP -| Dia1 -> Rac1 -> SSH
pos,SSH -> Coronin -| Cortactin -| Cofilin -| Thymosin -| Arp2_3 -> Rac1 -> SSH
