type,path
pos,PKD -| SSH -| ROCK -> PKD
pos,PKD -| SSH -> Coronin -| ROCK -> PKD
neg,PKD -> PAK -| RhoA -> ROCK -> PKD
pos,SSH -> Coronin -> SSH
neg,Thymosin -| Profilin -| Arp2_3 -> Cofilin -| Thymosin
neg,Thymosin -| WASP -> Profilin -| Arp2_3 -> Cofilin -| Thymosin
pos,Thymosin -| WASP -| Thymosin
neg,Thymosin -| WASP -> Ena_Vasp -| CP -| Dia1 -> Profilin -| Arp2_3 -> Cofilin -| Thymosin
pos,Thymosin -| WASP -> Arp2_3 -> Cofilin -| Thymosin
pos,Thymosin -| Cofilin -| Thymosin
pos,Thymosin -| Arp2_3 -> Cofilin -| Thymosin
pos,Arp2_3 -> CP -| Dia1 -> Profilin -| Arp2_3
