type,path
pos,SSH -> Coronin -> SSH
pos,SSH -> Coronin -| ROCK -> PKD -| SSH
pos,SSH -| ROCK -> PKD -| SSH
neg,RhoA -> ROCK -> PKD -> PAK -| RhoA
neg,CP -| Dia1 -> Profilin -| Arp2_3 -> Cofilin -| Thymosin -| WASP -> Ena_Vasp -| CP
pos,CP -| Dia1 -> Profilin -| Arp2_3 -> CP
pos,Thymosin -| Arp2_3 -> Cofilin -| Thymosin
pos,Thymosin -| WASP -> Arp2_3 -> Cofilin -| Thymosin
neg,Thymosin -| WASP -> Profilin -| Arp2_3 -> Cofilin -| Thymosin
pos,Thymosin -| WASP -| Thymosin
pos,Thymosin -| Cofilin -| Thymosin
neg,Thymosin -| Profilin -| Arp2_3 -> Cofilin -| Thymosin
