type,path
neg,IRSp53 -> Ena_Vasp -| CP -| Dia1 -> Profilin -| Arp2_3 -> Rac1 -> IRSp53
pos,IRSp53 -> Ena_Vasp -| CP -| Dia1 -> Rac1 -> IRSp53
pos,IRSp53 -> WASP -| Thymosin -| Profilin -| Arp2_3 -> CP -| Dia1 -> Rac1 -> IRSp53
neg,IRSp53 -> WASP -| Thymosin -| Profilin -| Arp2_3 -> Rac1 -> IRSp53
neg,IRSp53 -> WASP -| Thymosin -| Arp2_3 -> CP -| Dia1 -> Rac1 -> IRSp53
pos,IRSp53 -> WASP -| Thymosin -| Arp2_3 -> Rac1 -> IRSp53
neg,IRSp53 -> WASP -> Ena_Vasp -| CP -| Dia1 -> Profilin -| Arp2_3 -> Rac1 -> IRSp53
pos,IRSp53 -> WASP -> Ena_Vasp -| CP -| Dia1 -> Rac1 -> IRSp53
pos,IRSp53 -> WASP -> Profilin -| Arp2_3 -> CP -| Dia1 -> Rac1 -> IRSp53
neg,IRSp53 -> WASP -> Profilin -| Arp2_3 -> Rac1 -> IRSp53
neg,IRSp53 -> WASP -> Arp2_3 -> CP -| Dia1 -> Rac1 -> IRSp53
pos,IRSp53 -> WASP -> Arp2_3 -> Rac1 -> IRSp53
pos,Coronin -> SSH -> Coronin
neg,Coronin -| Cortactin -> WASP -| Thymosin -| Profilin -| Arp2_3 -> CP -| Dia1 -> Rac1 -> PAK -| RhoA -> ROCK -> PKD -| SSH -> Coronin
neg,Coronin -| Cortactin -> WASP -| Thymosin -| Profilin -| Arp2_3 -> CP -| Dia1 -> Rac1 -> SSH -> Coronin
neg,Coronin -| Cortactin -> WASP -| Thymosin -| Profilin -| Arp2_3 -> CP -| Dia1 -> Rac1 -| RhoA -> ROCK -> PKD -| SSH -> Coronin
pos,Coronin -| Cortactin -> WASP -| Thymosin -| Profilin -| Arp2_3 -> Rac1 -> PAK -| RhoA -> ROCK -> PKD -| SSH -> Coronin
pos,Coronin -| Cortactin -> WASP -| Thymosin -| Profilin -| Arp2_3 -> Rac1 -> SSH -> Coronin
pos,Coronin -| Cortactin -> WASP -| Thymosin -| Profilin -| Arp2_3 -> Rac1 -| RhoA -> ROCK -> PKD -| SSH -> Coronin
pos,Coronin -| Cortactin -> WASP -| Thymosin -| Arp2_3 -> CP -| Dia1 -> Rac1 -> PAK -| RhoA -> ROCK -> PKD -| SSH -> Coronin
pos,Coronin -| Cortactin -> WASP -| Thymosin -| Arp2_3 -> CP -| Dia1 -> Rac1 -> SSH -> Coronin
pos,Coronin -| Cortactin -> WASP -| Thymosin -| Arp2_3 -> CP -| Dia1 -> Rac1 -| RhoA -> ROCK -> PKD -| SSH -> Coronin
neg,Coronin -| Cortactin -> WASP -| Thymosin -| Arp2_3 -> Rac1 -> PAK -| RhoA -> ROCK -> PKD -| SSH -> Coronin
neg,Coronin -| Cortactin -> WASP -| Thymosin -| Arp2_3 -> Rac1 -> SSH -> Coronin
neg,Coronin -| Cortactin -> WASP -| Thymosin -| Arp2_3 -> Rac1 -| RhoA -> ROCK -> PKD -| SSH -> Coronin
pos,Coronin -| Cortactin -> WASP -> Ena_Vasp -| CP -| Dia1 -> Profilin -| Arp2_3 -> Rac1 -> PAK -| RhoA -> ROCK -> PKD -| SSH -> Coronin
pos,Coronin -| Cortactin -> WASP -> Ena_Vasp -| CP -| Dia1 -> Profilin -| Arp2_3 -> Rac1 -> SSH -> Coronin
pos,Coronin -| Cortactin -> WASP -> Ena_Vasp -| CP -| Dia1 -> Profilin -| Arp2_3 -> Rac1 -| RhoA -> ROCK -> PKD -| SSH -> Coronin
neg,Coronin -| Cortactin -> WASP -> Ena_Vasp -| CP -| Dia1 -> Rac1 -> PAK -| RhoA -> ROCK -> PKD -| SSH -> Coronin
neg,Coronin -| Cortactin -> WASP -> Ena_Vasp -| CP -| Dia1 -> Rac1 -> SSH -> Coronin
neg,Coronin -| Cortactin -> WASP -> Ena_Vasp -| CP -| Dia1 -> Rac1 -| RhoA -> ROCK -> PKD -| SSH -> Coronin
neg,Coronin -| Cortactin -> WASP -> Profilin -| Arp2_3 -> CP -| Dia1 -> Rac1 -> PAK -| RhoA -> ROCK -> PKD -| SSH -> Coronin
neg,Coronin -| Cortactin -> WASP -> Profilin -| Arp2_3 -> CP -| Dia1 -> Rac1 -> SSH -> Coronin
neg,Coronin -| Cortactin -> WASP -> Profilin -| Arp2_3 -> CP -| Dia1 -> Rac1 -| RhoA -> ROCK -> PKD -| SSH -> Coronin
pos,Coronin -| Cortactin -> WASP -> Profilin -| Arp2_3 -> Rac1 -> PAK -| RhoA -> ROCK -> PKD -| SSH -> Coronin
pos,Coronin -| Cortactin -> WASP -> Profilin -| Arp2_3 -> Rac1 -> SSH -> Coronin
pos,Coronin -| Cortactin -> WASP -> Profilin -| Arp2_3 -> Rac1 -| RhoA -> ROCK -> PKD -| SSH -> Coronin
pos,Coronin -| Cortactin -> WASP -> Arp2_3 -> CP -| Dia1 -> Rac1 -> PAK -| RhoA -> ROCK -> PKD -| SSH -> Coronin
pos,Coronin -| Cortactin -> WASP -> Arp2_3 -> CP -| Dia1 -> Rac1 -> SSH -> Coronin
pos,Coronin -| Cortactin -> WASP -> Arp2_3 -> CP -| Dia1 -> Rac1 -| RhoA -> ROCK -> PKD -| SSH -> Coronin
neg,Coronin -| Cortactin -> WASP -> Arp2_3 -> Rac1 -> PAK -| RhoA -> ROCK -> PKD -| SSH -> Coronin
neg,Coronin -| Cortactin -> WASP -> Arp2_3 -> Rac1 -> SSH -> Coronin
neg,Coronin -| Cortactin -> WASP -> Arp2_3 -> Rac1 -| RhoA -> ROCK -> PKD -| SSH -> Coronin
pos,Coronin -| Cortactin -> Arp2_3 -> CP -| Dia1 -> Rac1 -> PAK -| RhoA -> ROCK -> PKD -| SSH -> Coronin
pos,Coronin -| Cortactin -> Arp2_3 -> CP -| Dia1 -> Rac1 -> SSH -> Coronin
pos,Coronin -| Cortactin -> Arp2_3 -> CP -| Dia1 -> Rac1 -| RhoA -> ROCK -> PKD -| SSH -> Coronin
neg,Coronin -| Cortactin -> Arp2_3 -> Cofilin -| Thymosin -| WASP -> Ena_Vasp -| CP -| Dia1 -> Rac1 -> PAK -| RhoA -> ROCK -> PKD -| SSH -> Coronin
neg,Coronin -| Cortactin -> Arp2_3 -> Cofilin -| Thymosin -| WASP -> Ena_Vasp -| CP -| Dia1 -> Rac1 -> SSH -> Coronin
neg,Coronin -| Cortactin -> Arp2_3 -> Cofilin -| Thymosin -| WASP -> Ena_Vasp -| CP -| Dia1 -> Rac1 -| RhoA -> ROCK -> PKD -| SSH -> Coronin
neg,Coronin -| Cortactin -> Arp2_3 -> Rac1 -> PAK -| RhoA -> ROCK -> PKD -| SSH -> Coronin
neg,Coronin -| Cortactin -> Arp2_3 -> Rac1 -> SSH -> Coronin
neg,Coronin -| Cortactin -> Arp2_3 -> Rac1 -| RhoA -> ROCK -> PKD -| SSH -> Coronin
neg,Coronin -| Cortactin -| Cofilin -| Thymosin -| WASP -> Ena_Vasp -| CP -| Dia1 -> Profilin -| Arp2_3 -> Rac1 -> PAK -| RhoA -> ROCK -> PKD -| SSH -> Coronin
neg,Coronin -| Cortactin -| Cofilin -| Thymosin -| WASP -> Ena_Vasp -| CP -| Dia1 -> Profilin -| Arp2_3 -> Rac1 -> SSH -> Coronin
neg,Coronin -| Cortactin -| Cofilin -| Thymosin -| WASP -> Ena_Vasp -| CP -| Dia1 -> Profilin -| Arp2_3 -> Rac1 -| RhoA -> ROCK -> PKD -| SSH -> Coronin
pos,Coronin -| Cortactin -| Cofilin -| Thymosin -| WASP -> Ena_Vasp -| CP -| Dia1 -> Rac1 -> PAK -| RhoA -> ROCK -> PKD -| SSH -> Coronin
pos,Coronin -| Cortactin -| Cofilin -| Thymosin -| WASP -> Ena_Vasp -| CP -| Dia1 -> Rac1 -> SSH -> Coronin
