type,path
neg,Arp2_3 -> Rac1 -> SSH -> Cofilin -| Thymosin -| Profilin -| Arp2_3
neg,Arp2_3 -> Rac1 -> SSH -> Cofilin -| Thymosin -| WASP -> Profilin -| Arp2_3
neg,Arp2_3 -> Rac1 -> SSH -> Cofilin -| Thymosin -| WASP -> Ena_Vasp -| CP -| Dia1 -> Profilin -| Arp2_3
pos,Arp2_3 -> Rac1 -> SSH -> Cofilin -| Thymosin -| WASP -> Arp2_3
pos,Arp2_3 -> Rac1 -> SSH -> Cofilin -| Thymosin -| Arp2_3
neg,Arp2_3 -> Rac1 -> SSH -> Coronin -| Cortactin -| Cofilin -| Thymosin -| Profilin -| Arp2_3
neg,Arp2_3 -> Rac1 -> SSH -> Coronin -| Cortactin -| Cofilin -| Thymosin -| WASP -> Profilin -| Arp2_3
neg,Arp2_3 -> Rac1 -> SSH -> Coronin -| Cortactin -| Cofilin -| Thymosin -| WASP -> Ena_Vasp -| CP -| Dia1 -> Profilin -| Arp2_3
pos,Arp2_3 -> Rac1 -> SSH -> Coronin -| Cortactin -| Cofilin -| Thymosin -| WASP -> Arp2_3
pos,Arp2_3 -> Rac1 -> SSH -> Coronin -| Cortactin -| Cofilin -| Thymosin -| Arp2_3
pos,Arp2_3 -> Rac1 -> SSH -> Coronin -| Cortactin -> WASP -> Profilin -| Arp2_3
pos,Arp2_3 -> Rac1 -> SSH -> Coronin -| Cortactin -> WASP -| Thymosin -| Profilin -| Arp2_3
neg,Arp2_3 -> Rac1 -> SSH -> Coronin -| Cortactin -> WASP -| Thymosin -| Arp2_3
pos,Arp2_3 -> Rac1 -> SSH -> Coronin -| Cortactin -> WASP -> Ena_Vasp -| CP -| Dia1 -> Profilin -| Arp2_3
neg,Arp2_3 -> Rac1 -> SSH -> Coronin -| Cortactin -> WASP -> Arp2_3
neg,Arp2_3 -> Rac1 -> SSH -> Coronin -| Cortactin -> Arp2_3
pos,Arp2_3 -> Rac1 -> SSH -> Coronin -| ROCK -> PKD -| Cortactin -| Cofilin -| Thymosin -| Profilin -| Arp2_3
pos,Arp2_3 -> Rac1 -> SSH -> Coronin -| ROCK -> PKD -| Cortactin -| Cofilin -| Thymosin -| WASP -> Profilin -| Arp2_3
pos,Arp2_3 -> Rac1 -> SSH -> Coronin -| ROCK -> PKD -| Cortactin -| Cofilin -| Thymosin -| WASP -> Ena_Vasp -| CP -| Dia1 -> Profilin -| Arp2_3
neg,Arp2_3 -> Rac1 -> SSH -> Coronin -| ROCK -> PKD -| Cortactin -| Cofilin -| Thymosin -| WASP -> Arp2_3
neg,Arp2_3 -> Rac1 -> SSH -> Coronin -| ROCK -> PKD -| Cortactin -| Cofilin -| Thymosin -| Arp2_3
neg,Arp2_3 -> Rac1 -> SSH -> Coronin -| ROCK -> PKD -| Cortactin -> WASP -> Profilin -| Arp2_3
neg,Arp2_3 -> Rac1 -> SSH -> Coronin -| ROCK -> PKD -| Cortactin -> WASP -| Thymosin -| Profilin -| Arp2_3
pos,Arp2_3 -> Rac1 -> SSH -> Coronin -| ROCK -> PKD -| Cortactin -> WASP -| Thymosin -| Arp2_3
neg,Arp2_3 -> Rac1 -> SSH -> Coronin -| ROCK -> PKD -| Cortactin -> WASP -> Ena_Vasp -| CP -| Dia1 -> Profilin -| Arp2_3
pos,Arp2_3 -> Rac1 -> SSH -> Coronin -| ROCK -> PKD -| Cortactin -> WASP -> Arp2_3
pos,Arp2_3 -> Rac1 -> SSH -> Coronin -| ROCK -> PKD -| Cortactin -> Arp2_3
neg,Arp2_3 -> Rac1 -> SSH -> Coronin -| ROCK -> PKD -> LIMK -| Cofilin -| Thymosin -| Profilin -| Arp2_3
neg,Arp2_3 -> Rac1 -> SSH -> Coronin -| ROCK -> PKD -> LIMK -| Cofilin -| Thymosin -| WASP -> Profilin -| Arp2_3
