,base,CP,Cortactin,Dia1,Dia2,Ena_Vasp,PAK,Profilin,WASP,WAVE,mean
Actin_BR,63,64,54,59,66,63,0,64,26,45,50.4
Actin_ST,73,87,61,70,45,13,67,0,16,60,49.2
Arp2_3,63,64,54,59,66,63,0,64,26,45,50.4
CP,46,0,59,51,51,84,50,49,53,49,49.2
Cdc42,51,52,45,55,55,52,52,48,50,51,51.1
Cofilin,61,64,58,59,68,64,12,57,33,51,52.7
Coronin,65,67,60,64,71,67,16,66,50,60,58.6
Cortactin,63,64,0,59,66,63,15,64,26,45,46.5
Dia1,10,20,9,0,10,10,35,10,11,13,12.8
Dia2,85,82,77,90,0,85,90,87,55,72,72.3
Ena_Vasp,90,92,82,96,91,0,92,93,78,93,80.7
IRSp53_Cdc42,51,52,45,55,55,52,52,48,50,51,51.1
IRSp53_Rac1,63,64,54,59,66,63,15,64,26,45,51.9
LIMK,34,30,37,36,27,32,84,33,48,38,39.9
NET1,66,67,61,63,68,65,0,64,60,62,57.6
PAK,66,67,61,63,68,65,0,64,60,62,57.6
PIP2,55,47,39,50,50,53,50,52,53,52,50.1
PKD,19,15,21,28,17,21,71,22,28,26,26.8
Profilin,78,89,71,73,82,78,68,0,34,67,64.0
ROCK,19,15,21,28,17,21,71,22,28,26,26.8
ROCK_,19,15,21,28,17,21,71,22,28,26,26.8
ROS,63,64,54,59,66,63,15,64,26,45,51.9
Rac1,63,64,54,59,66,63,15,64,26,45,51.9
RhoA,23,20,25,30,22,24,85,24,31,29,31.3
SSH,65,67,60,64,71,67,16,66,50,60,58.6
Thymosin,24,18,31,25,18,25,37,29,67,31,30.5
WASP,72,80,61,74,77,72,58,69,0,67,63.0
WAVE,74,77,66,66,77,73,30,76,46,0,58.5
