type,path
neg,RhoA -> Dia1 -> Rac1 -> PAK -| NET1 -> RhoA
neg,RhoA -> Dia1 -> Rac1 -| RhoA
pos,RhoA -> ROCK -> LIMK -| Cofilin -| Thymosin -| WASP -> Ena_Vasp -| CP -| Dia1 -> Rac1 -> PAK -| NET1 -> RhoA
pos,RhoA -> ROCK -> LIMK -| Cofilin -| Thymosin -| WASP -> Ena_Vasp -| CP -| Dia1 -> Rac1 -| RhoA
neg,RhoA -> ROCK -> PKD -> Ena_Vasp -| CP -| Dia1 -> Rac1 -> PAK -| NET1 -> RhoA
neg,RhoA -> ROCK -> PKD -> Ena_Vasp -| CP -| Dia1 -> Rac1 -| RhoA
pos,RhoA -> ROCK -> PKD -> LIMK -| Cofilin -| Thymosin -| WASP -> Ena_Vasp -| CP -| Dia1 -> Rac1 -> PAK -| NET1 -> RhoA
pos,RhoA -> ROCK -> PKD -> LIMK -| Cofilin -| Thymosin -| WASP -> Ena_Vasp -| CP -| Dia1 -> Rac1 -| RhoA
pos,RhoA -> ROCK -> PKD -| Cortactin -> WASP -> Ena_Vasp -| CP -| Dia1 -> Rac1 -> PAK -| NET1 -> RhoA
pos,RhoA -> ROCK -> PKD -| Cortactin -> WASP -> Ena_Vasp -| CP -| Dia1 -> Rac1 -| RhoA
neg,RhoA -> ROCK -> PKD -| Cortactin -| Cofilin -| Thymosin -| WASP -> Ena_Vasp -| CP -| Dia1 -> Rac1 -> PAK -| NET1 -> RhoA
neg,RhoA -> ROCK -> PKD -| Cortactin -| Cofilin -| Thymosin -| WASP -> Ena_Vasp -| CP -| Dia1 -> Rac1 -| RhoA
pos,RhoA -> ROCK -> ARHGAP22 -| Rac1 -> PAK -| NET1 -> RhoA
pos,RhoA -> ROCK -> ARHGAP22 -| Rac1 -| RhoA
neg,Rac1 -> PAK -> LIMK -| Cofilin -| Thymosin -| WASP -> Ena_Vasp -| CP -| Dia1 -> Rac1
pos,Rac1 -> WASP -> Ena_Vasp -| CP -| Dia1 -> Rac1
pos,Rac1 -> Cortactin -> WASP -> Ena_Vasp -| CP -| Dia1 -> Rac1
neg,Rac1 -> Cortactin -| Cofilin -| Thymosin -| WASP -> Ena_Vasp -| CP -| Dia1 -> Rac1
pos,Thymosin -| WASP -| Thymosin
pos,Thymosin -| Cofilin -| Thymosin
