type,path
neg,RhoA -> Dia1 -> Rac1 -> PAK -| NET1 -> RhoA
neg,RhoA -> Dia1 -> Rac1 -| RhoA
neg,RhoA -> ROCK -> PKD -> Ena_Vasp -| CP -| Dia1 -> Rac1 -> PAK -| NET1 -> RhoA
neg,RhoA -> ROCK -> PKD -> Ena_Vasp -| CP -| Dia1 -> Rac1 -| RhoA
pos,RhoA -> ROCK -> ARHGAP22 -| Rac1 -> PAK -| NET1 -> RhoA
pos,RhoA -> ROCK -> ARHGAP22 -| Rac1 -| RhoA
neg,Rac1 -> SSH -| ROCK -> PKD -> Ena_Vasp -| CP -| Dia1 -> Rac1
pos,Rac1 -> SSH -| ROCK -> ARHGAP22 -| Rac1
neg,Rac1 -> SSH -> Coronin -| ROCK -> PKD -> Ena_Vasp -| CP -| Dia1 -> Rac1
pos,Rac1 -> SSH -> Coronin -| ROCK -> ARHGAP22 -| Rac1
pos,Coronin -> SSH -> Coronin
pos,Coronin -| ROCK -> PKD -| SSH -> Coronin
pos,PKD -| SSH -| ROCK -> PKD
pos,Thymosin -| Cofilin -| Thymosin
