type,path
pos,RhoA -> Dia1 -> Profilin -| Arp2_3 -> Rac1 -> PAK -| NET1 -> RhoA
pos,RhoA -> Dia1 -> Profilin -| Arp2_3 -> Rac1 -| RhoA
neg,RhoA -> Dia1 -> Rac1 -> PAK -| NET1 -> RhoA
neg,RhoA -> Dia1 -> Rac1 -| RhoA
pos,RhoA -> ROCK -> LIMK -| Cofilin -| Thymosin -| WASP -> Profilin -| Arp2_3 -> CP -| Dia1 -> Rac1 -> PAK -| NET1 -> RhoA
pos,RhoA -> ROCK -> LIMK -| Cofilin -| Thymosin -| WASP -> Profilin -| Arp2_3 -> CP -| Dia1 -> Rac1 -| RhoA
neg,RhoA -> ROCK -> LIMK -| Cofilin -| Thymosin -| WASP -> Profilin -| Arp2_3 -> Rac1 -> PAK -| NET1 -> RhoA
neg,RhoA -> ROCK -> LIMK -| Cofilin -| Thymosin -| WASP -> Profilin -| Arp2_3 -> Rac1 -| RhoA
neg,RhoA -> ROCK -> LIMK -| Cofilin -| Thymosin -| WASP -> Arp2_3 -> CP -| Dia1 -> Rac1 -> PAK -| NET1 -> RhoA
neg,RhoA -> ROCK -> LIMK -| Cofilin -| Thymosin -| WASP -> Arp2_3 -> CP -| Dia1 -> Rac1 -| RhoA
pos,RhoA -> ROCK -> LIMK -| Cofilin -| Thymosin -| WASP -> Arp2_3 -> Rac1 -> PAK -| NET1 -> RhoA
pos,RhoA -> ROCK -> LIMK -| Cofilin -| Thymosin -| WASP -> Arp2_3 -> Rac1 -| RhoA
pos,RhoA -> ROCK -> LIMK -| Cofilin -| Thymosin -| Profilin -| Arp2_3 -> CP -| Dia1 -> Rac1 -> PAK -| NET1 -> RhoA
pos,RhoA -> ROCK -> LIMK -| Cofilin -| Thymosin -| Profilin -| Arp2_3 -> CP -| Dia1 -> Rac1 -| RhoA
neg,RhoA -> ROCK -> LIMK -| Cofilin -| Thymosin -| Profilin -| Arp2_3 -> Rac1 -> PAK -| NET1 -> RhoA
neg,RhoA -> ROCK -> LIMK -| Cofilin -| Thymosin -| Profilin -| Arp2_3 -> Rac1 -| RhoA
neg,RhoA -> ROCK -> LIMK -| Cofilin -| Thymosin -| Arp2_3 -> CP -| Dia1 -> Rac1 -> PAK -| NET1 -> RhoA
neg,RhoA -> ROCK -> LIMK -| Cofilin -| Thymosin -| Arp2_3 -> CP -| Dia1 -> Rac1 -| RhoA
pos,RhoA -> ROCK -> LIMK -| Cofilin -| Thymosin -| Arp2_3 -> Rac1 -> PAK -| NET1 -> RhoA
pos,RhoA -> ROCK -> LIMK -| Cofilin -| Thymosin -| Arp2_3 -> Rac1 -| RhoA
pos,RhoA -> ROCK -> ARHGAP22 -| Rac1 -> PAK -| NET1 -> RhoA
pos,RhoA -> ROCK -> ARHGAP22 -| Rac1 -| RhoA
neg,Rac1 -> PAK -> LIMK -| Cofilin -| Thymosin -| WASP -> Profilin -| Arp2_3 -> CP -| Dia1 -> Rac1
pos,Rac1 -> PAK -> LIMK -| Cofilin -| Thymosin -| WASP -> Profilin -| Arp2_3 -> Rac1
pos,Rac1 -> PAK -> LIMK -| Cofilin -| Thymosin -| WASP -> Arp2_3 -> CP -| Dia1 -> Rac1
neg,Rac1 -> PAK -> LIMK -| Cofilin -| Thymosin -| WASP -> Arp2_3 -> Rac1
neg,Rac1 -> PAK -> LIMK -| Cofilin -| Thymosin -| Profilin -| Arp2_3 -> CP -| Dia1 -> Rac1
pos,Rac1 -> PAK -> LIMK -| Cofilin -| Thymosin -| Profilin -| Arp2_3 -> Rac1
pos,Rac1 -> PAK -> LIMK -| Cofilin -| Thymosin -| Arp2_3 -> CP -| Dia1 -> Rac1
neg,Rac1 -> PAK -> LIMK -| Cofilin -| Thymosin -| Arp2_3 -> Rac1
neg,Rac1 -> PAK -> Arp2_3 -> CP -| Dia1 -> Rac1
pos,Rac1 -> PAK -> Arp2_3 -> Rac1
pos,Rac1 -> SSH -| LIMK -| Cofilin -| Thymosin -| WASP -> Profilin -| Arp2_3 -> CP -| Dia1 -> Rac1
neg,Rac1 -> SSH -| LIMK -| Cofilin -| Thymosin -| WASP -> Profilin -| Arp2_3 -> Rac1
neg,Rac1 -> SSH -| LIMK -| Cofilin -| Thymosin -| WASP -> Arp2_3 -> CP -| Dia1 -> Rac1
pos,Rac1 -> SSH -| LIMK -| Cofilin -| Thymosin -| WASP -> Arp2_3 -> Rac1
pos,Rac1 -> SSH -| LIMK -| Cofilin -| Thymosin -| Profilin -| Arp2_3 -> CP -| Dia1 -> Rac1
neg,Rac1 -> SSH -| LIMK -| Cofilin -| Thymosin -| Profilin -| Arp2_3 -> Rac1
neg,Rac1 -> SSH -| LIMK -| Cofilin -| Thymosin -| Arp2_3 -> CP -| Dia1 -> Rac1
pos,Rac1 -> SSH -| LIMK -| Cofilin -| Thymosin -| Arp2_3 -> Rac1
pos,Rac1 -> SSH -> Cofilin -| Thymosin -| WASP -> Profilin -| Arp2_3 -> CP -| Dia1 -> Rac1
neg,Rac1 -> SSH -> Cofilin -| Thymosin -| WASP -> Profilin -| Arp2_3 -> Rac1
neg,Rac1 -> SSH -> Cofilin -| Thymosin -| WASP -> Arp2_3 -> CP -| Dia1 -> Rac1
pos,Rac1 -> SSH -> Cofilin -| Thymosin -| WASP -> Arp2_3 -> Rac1
pos,Rac1 -> SSH -> Cofilin -| Thymosin -| Profilin -| Arp2_3 -> CP -| Dia1 -> Rac1
neg,Rac1 -> SSH -> Cofilin -| Thymosin -| Profilin -| Arp2_3 -> Rac1
neg,Rac1 -> SSH -> Cofilin -| Thymosin -| Arp2_3 -> CP -| Dia1 -> Rac1
pos,Rac1 -> SSH -> Cofilin -| Thymosin -| Arp2_3 -> Rac1
pos,Rac1 -> SSH -| ROCK -> LIMK -| Cofilin -| Thymosin -| WASP -> Profilin -| Arp2_3 -> CP -| Dia1 -> Rac1
neg,Rac1 -> SSH -| ROCK -> LIMK -| Cofilin -| Thymosin -| WASP -> Profilin -| Arp2_3 -> Rac1
neg,Rac1 -> SSH -| ROCK -> LIMK -| Cofilin -| Thymosin -| WASP -> Arp2_3 -> CP -| Dia1 -> Rac1
pos,Rac1 -> SSH -| ROCK -> LIMK -| Cofilin -| Thymosin -| WASP -> Arp2_3 -> Rac1
pos,Rac1 -> SSH -| ROCK -> LIMK -| Cofilin -| Thymosin -| Profilin -| Arp2_3 -> CP -| Dia1 -> Rac1
neg,Rac1 -> SSH -| ROCK -> LIMK -| Cofilin -| Thymosin -| Profilin -| Arp2_3 -> Rac1
neg,Rac1 -> SSH -| ROCK -> LIMK -| Cofilin -| Thymosin -| Arp2_3 -> CP -| Dia1 -> Rac1
pos,Rac1 -> SSH -| ROCK -> LIMK -| Cofilin -| Thymosin -| Arp2_3 -> Rac1
pos,Rac1 -> SSH -| ROCK -> ARHGAP22 -| Rac1
neg,Rac1 -> SSH -> Coronin -| Cortactin -> WASP -> Profilin -| Arp2_3 -> CP -| Dia1 -> Rac1
pos,Rac1 -> SSH -> Coronin -| Cortactin -> WASP -> Profilin -| Arp2_3 -> Rac1
neg,Rac1 -> SSH -> Coronin -| Cortactin -> WASP -| Thymosin -| Profilin -| Arp2_3 -> CP -| Dia1 -> Rac1
pos,Rac1 -> SSH -> Coronin -| Cortactin -> WASP -| Thymosin -| Profilin -| Arp2_3 -> Rac1
pos,Rac1 -> SSH -> Coronin -| Cortactin -> WASP -| Thymosin -| Arp2_3 -> CP -| Dia1 -> Rac1
neg,Rac1 -> SSH -> Coronin -| Cortactin -> WASP -| Thymosin -| Arp2_3 -> Rac1
pos,Rac1 -> SSH -> Coronin -| Cortactin -> WASP -> Arp2_3 -> CP -| Dia1 -> Rac1
neg,Rac1 -> SSH -> Coronin -| Cortactin -> WASP -> Arp2_3 -> Rac1
pos,Rac1 -> SSH -> Coronin -| Cortactin -| Cofilin -| Thymosin -| WASP -> Profilin -| Arp2_3 -> CP -| Dia1 -> Rac1
neg,Rac1 -> SSH -> Coronin -| Cortactin -| Cofilin -| Thymosin -| WASP -> Profilin -| Arp2_3 -> Rac1
neg,Rac1 -> SSH -> Coronin -| Cortactin -| Cofilin -| Thymosin -| WASP -> Arp2_3 -> CP -| Dia1 -> Rac1
pos,Rac1 -> SSH -> Coronin -| Cortactin -| Cofilin -| Thymosin -| WASP -> Arp2_3 -> Rac1
pos,Rac1 -> SSH -> Coronin -| Cortactin -| Cofilin -| Thymosin -| Profilin -| Arp2_3 -> CP -| Dia1 -> Rac1
neg,Rac1 -> SSH -> Coronin -| Cortactin -| Cofilin -| Thymosin -| Profilin -| Arp2_3 -> Rac1
neg,Rac1 -> SSH -> Coronin -| Cortactin -| Cofilin -| Thymosin -| Arp2_3 -> CP -| Dia1 -> Rac1
pos,Rac1 -> SSH -> Coronin -| Cortactin -| Cofilin -| Thymosin -| Arp2_3 -> Rac1
pos,Rac1 -> SSH -> Coronin -| Cortactin -> Arp2_3 -> CP -| Dia1 -> Rac1
neg,Rac1 -> SSH -> Coronin -| Cortactin -> Arp2_3 -> Rac1
pos,Rac1 -> SSH -> Coronin -| ROCK -> LIMK -| Cofilin -| Thymosin -| WASP -> Profilin -| Arp2_3 -> CP -| Dia1 -> Rac1
neg,Rac1 -> SSH -> Coronin -| ROCK -> LIMK -| Cofilin -| Thymosin -| WASP -> Profilin -| Arp2_3 -> Rac1
neg,Rac1 -> SSH -> Coronin -| ROCK -> LIMK -| Cofilin -| Thymosin -| WASP -> Arp2_3 -> CP -| Dia1 -> Rac1
pos,Rac1 -> SSH -> Coronin -| ROCK -> LIMK -| Cofilin -| Thymosin -| WASP -> Arp2_3 -> Rac1
pos,Rac1 -> SSH -> Coronin -| ROCK -> LIMK -| Cofilin -| Thymosin -| Profilin -| Arp2_3 -> CP -| Dia1 -> Rac1
neg,Rac1 -> SSH -> Coronin -| ROCK -> LIMK -| Cofilin -| Thymosin -| Profilin -| Arp2_3 -> Rac1
neg,Rac1 -> SSH -> Coronin -| ROCK -> LIMK -| Cofilin -| Thymosin -| Arp2_3 -> CP -| Dia1 -> Rac1
pos,Rac1 -> SSH -> Coronin -| ROCK -> LIMK -| Cofilin -| Thymosin -| Arp2_3 -> Rac1
pos,Rac1 -> SSH -> Coronin -| ROCK -> ARHGAP22 -| Rac1
pos,Rac1 -> SSH -> Coronin -| Arp2_3 -> CP -| Dia1 -> Rac1
neg,Rac1 -> SSH -> Coronin -| Arp2_3 -> Rac1
pos,Rac1 -> IRSp53_Rac1 -> WAVE -> Profilin -| Arp2_3 -> CP -| Dia1 -> Rac1
neg,Rac1 -> IRSp53_Rac1 -> WAVE -> Profilin -| Arp2_3 -> Rac1
neg,Rac1 -> IRSp53_Rac1 -> WAVE -> Arp2_3 -> CP -| Dia1 -> Rac1
pos,Rac1 -> IRSp53_Rac1 -> WAVE -> Arp2_3 -> Rac1
pos,Rac1 -> WASP -> Profilin -| Arp2_3 -> CP -| Dia1 -> Rac1
neg,Rac1 -> WASP -> Profilin -| Arp2_3 -> Rac1
pos,Rac1 -> WASP -| Thymosin -| Profilin -| Arp2_3 -> CP -| Dia1 -> Rac1
neg,Rac1 -> WASP -| Thymosin -| Profilin -| Arp2_3 -> Rac1
neg,Rac1 -> WASP -| Thymosin -| Arp2_3 -> CP -| Dia1 -> Rac1
pos,Rac1 -> WASP -| Thymosin -| Arp2_3 -> Rac1
neg,Rac1 -> WASP -> Arp2_3 -> CP -| Dia1 -> Rac1
pos,Rac1 -> WASP -> Arp2_3 -> Rac1
pos,Rac1 -> Cortactin -> WASP -> Profilin -| Arp2_3 -> CP -| Dia1 -> Rac1
neg,Rac1 -> Cortactin -> WASP -> Profilin -| Arp2_3 -> Rac1
pos,Rac1 -> Cortactin -> WASP -| Thymosin -| Profilin -| Arp2_3 -> CP -| Dia1 -> Rac1
neg,Rac1 -> Cortactin -> WASP -| Thymosin -| Profilin -| Arp2_3 -> Rac1
neg,Rac1 -> Cortactin -> WASP -| Thymosin -| Arp2_3 -> CP -| Dia1 -> Rac1
pos,Rac1 -> Cortactin -> WASP -| Thymosin -| Arp2_3 -> Rac1
neg,Rac1 -> Cortactin -> WASP -> Arp2_3 -> CP -| Dia1 -> Rac1
pos,Rac1 -> Cortactin -> WASP -> Arp2_3 -> Rac1
neg,Rac1 -> Cortactin -| Cofilin -| Thymosin -| WASP -> Profilin -| Arp2_3 -> CP -| Dia1 -> Rac1
pos,Rac1 -> Cortactin -| Cofilin -| Thymosin -| WASP -> Profilin -| Arp2_3 -> Rac1
pos,Rac1 -> Cortactin -| Cofilin -| Thymosin -| WASP -> Arp2_3 -> CP -| Dia1 -> Rac1
neg,Rac1 -> Cortactin -| Cofilin -| Thymosin -| WASP -> Arp2_3 -> Rac1
neg,Rac1 -> Cortactin -| Cofilin -| Thymosin -| Profilin -| Arp2_3 -> CP -| Dia1 -> Rac1
pos,Rac1 -> Cortactin -| Cofilin -| Thymosin -| Profilin -| Arp2_3 -> Rac1
pos,Rac1 -> Cortactin -| Cofilin -| Thymosin -| Arp2_3 -> CP -| Dia1 -> Rac1
neg,Rac1 -> Cortactin -| Cofilin -| Thymosin -| Arp2_3 -> Rac1
neg,Rac1 -> Cortactin -> Arp2_3 -> CP -| Dia1 -> Rac1
pos,Rac1 -> Cortactin -> Arp2_3 -> Rac1
pos,Rac1 -> WAVE -> Profilin -| Arp2_3 -> CP -| Dia1 -> Rac1
neg,Rac1 -> WAVE -> Profilin -| Arp2_3 -> Rac1
neg,Rac1 -> WAVE -> Arp2_3 -> CP -| Dia1 -> Rac1
pos,Rac1 -> WAVE -> Arp2_3 -> Rac1
pos,Coronin -> SSH -> Coronin
pos,Dia1 -> Profilin -| Arp2_3 -> CP -| Dia1
