,base,Arp2_3,Arp2_3_CP,Arp2_3_Cdc42,Arp2_3_Cofilin,Arp2_3_Coronin,Arp2_3_Cortactin,Arp2_3_Dia1,Arp2_3_Dia2,Arp2_3_Ena_Vasp,Arp2_3_IRSp53_Cdc42,Arp2_3_IRSp53_Rac1,Arp2_3_LIMK,Arp2_3_PAK,Arp2_3_PIP2,Arp2_3_PKD,Arp2_3_Profilin,Arp2_3_ROCK,Arp2_3_Rac1,Arp2_3_RhoA,Arp2_3_SSH,Arp2_3_Thymosin,Arp2_3_WASP,Arp2_3_WAVE,CP,CP_Cdc42,CP_Cofilin,CP_Coronin,CP_Cortactin,CP_Dia1,CP_Dia2,CP_Ena_Vasp,CP_IRSp53_Cdc42,CP_IRSp53_Rac1,CP_LIMK,CP_PAK,CP_PIP2,CP_PKD,CP_Profilin,CP_ROCK,CP_Rac1,CP_RhoA,CP_SSH,CP_Thymosin,CP_WASP,CP_WAVE,Cdc42,Cdc42_Cofilin,Cdc42_Coronin,Cdc42_Cortactin,Cdc42_Dia1,Cdc42_Dia2,Cdc42_Ena_Vasp,Cdc42_IRSp53_Cdc42,Cdc42_IRSp53_Rac1,Cdc42_LIMK,Cdc42_PAK,Cdc42_PIP2,Cdc42_PKD,Cdc42_Profilin,Cdc42_ROCK,Cdc42_Rac1,Cdc42_RhoA,Cdc42_SSH,Cdc42_Thymosin,Cdc42_WASP,Cdc42_WAVE,Cofilin,Cofilin_Coronin,Cofilin_Cortactin,Cofilin_Dia1,Cofilin_Dia2,Cofilin_Ena_Vasp,Cofilin_IRSp53_Cdc42,Cofilin_IRSp53_Rac1,Cofilin_LIMK,Cofilin_PAK,Cofilin_PIP2,Cofilin_PKD,Cofilin_Profilin,Cofilin_ROCK,Cofilin_Rac1,Cofilin_RhoA,Cofilin_SSH,Cofilin_Thymosin,Cofilin_WASP,Cofilin_WAVE,Coronin,Coronin_Cortactin,Coronin_Dia1,Coronin_Dia2,Coronin_Ena_Vasp,Coronin_IRSp53_Cdc42,Coronin_IRSp53_Rac1,Coronin_LIMK,Coronin_PAK,Coronin_PIP2,Coronin_PKD,Coronin_Profilin,Coronin_ROCK,Coronin_Rac1,Coronin_RhoA,Coronin_SSH,Coronin_Thymosin,Coronin_WASP,Coronin_WAVE,Cortactin,Cortactin_Dia1,Cortactin_Dia2,Cortactin_Ena_Vasp,Cortactin_IRSp53_Cdc42,Cortactin_IRSp53_Rac1,Cortactin_LIMK,Cortactin_PAK,Cortactin_PIP2,Cortactin_PKD,Cortactin_Profilin,Cortactin_ROCK,Cortactin_Rac1,Cortactin_RhoA,Cortactin_SSH,Cortactin_Thymosin,Cortactin_WASP,Cortactin_WAVE,Dia1,Dia1_Dia2,Dia1_Ena_Vasp,Dia1_IRSp53_Cdc42,Dia1_IRSp53_Rac1,Dia1_LIMK,Dia1_PAK,Dia1_PIP2,Dia1_PKD,Dia1_Profilin,Dia1_ROCK,Dia1_Rac1,Dia1_RhoA,Dia1_SSH,Dia1_Thymosin,Dia1_WASP,Dia1_WAVE,Dia2,Dia2_Ena_Vasp,Dia2_IRSp53_Cdc42,Dia2_IRSp53_Rac1,Dia2_LIMK,Dia2_PAK,Dia2_PIP2,Dia2_PKD,Dia2_Profilin,Dia2_ROCK,Dia2_Rac1,Dia2_RhoA,Dia2_SSH,Dia2_Thymosin,Dia2_WASP,Dia2_WAVE,Ena_Vasp,Ena_Vasp_IRSp53_Cdc42,Ena_Vasp_IRSp53_Rac1,Ena_Vasp_LIMK,Ena_Vasp_PAK,Ena_Vasp_PIP2,Ena_Vasp_PKD,Ena_Vasp_Profilin,Ena_Vasp_ROCK,Ena_Vasp_Rac1,Ena_Vasp_RhoA,Ena_Vasp_SSH,Ena_Vasp_Thymosin,Ena_Vasp_WASP,Ena_Vasp_WAVE,IRSp53_Cdc42,IRSp53_Cdc42_IRSp53_Rac1,IRSp53_Cdc42_LIMK,IRSp53_Cdc42_PAK,IRSp53_Cdc42_PIP2,IRSp53_Cdc42_PKD,IRSp53_Cdc42_Profilin,IRSp53_Cdc42_ROCK,IRSp53_Cdc42_Rac1,IRSp53_Cdc42_RhoA,IRSp53_Cdc42_SSH,IRSp53_Cdc42_Thymosin,IRSp53_Cdc42_WASP,IRSp53_Cdc42_WAVE,IRSp53_Rac1,IRSp53_Rac1_LIMK,IRSp53_Rac1_PAK,IRSp53_Rac1_PIP2,IRSp53_Rac1_PKD,IRSp53_Rac1_Profilin,IRSp53_Rac1_ROCK,IRSp53_Rac1_Rac1,IRSp53_Rac1_RhoA,IRSp53_Rac1_SSH,IRSp53_Rac1_Thymosin,IRSp53_Rac1_WASP,IRSp53_Rac1_WAVE,LIMK,LIMK_PAK,LIMK_PIP2,LIMK_PKD,LIMK_Profilin,LIMK_ROCK,LIMK_Rac1,LIMK_RhoA,LIMK_SSH,LIMK_Thymosin,LIMK_WASP,LIMK_WAVE,PAK,PAK_PIP2,PAK_PKD,PAK_Profilin,PAK_ROCK,PAK_Rac1,PAK_RhoA,PAK_SSH,PAK_Thymosin,PAK_WASP,PAK_WAVE,PIP2,PIP2_PKD,PIP2_Profilin,PIP2_ROCK,PIP2_Rac1,PIP2_RhoA,PIP2_SSH,PIP2_Thymosin,PIP2_WASP,PIP2_WAVE,PKD,PKD_Profilin,PKD_ROCK,PKD_Rac1,PKD_RhoA,PKD_SSH,PKD_Thymosin,PKD_WASP,PKD_WAVE,Profilin,Profilin_ROCK,Profilin_Rac1,Profilin_RhoA,Profilin_SSH,Profilin_Thymosin,Profilin_WASP,Profilin_WAVE,ROCK,ROCK_Rac1,ROCK_RhoA,ROCK_SSH,ROCK_Thymosin,ROCK_WASP,ROCK_WAVE,Rac1,Rac1_RhoA,Rac1_SSH,Rac1_Thymosin,Rac1_WASP,Rac1_WAVE,RhoA,RhoA_SSH,RhoA_Thymosin,RhoA_WASP,RhoA_WAVE,SSH,SSH_Thymosin,SSH_WASP,SSH_WAVE,Thymosin,Thymosin_WASP,Thymosin_WAVE,WASP,WASP_WAVE,WAVE,mean
ARHGAP22,22,36,29,72,38,42,37,44,36,37,37,35,35,79,46,27,36,0,46,0,38,34,38,36,17,32,17,20,19,25,16,17,19,17,18,62,18,9,17,0,45,0,19,17,20,21,39,39,40,44,48,38,40,37,40,40,75,46,22,35,0,93,0,43,38,45,47,21,23,27,26,22,20,22,23,22,77,24,12,19,0,45,0,24,19,26,29,24,21,28,22,23,23,23,22,87,28,21,24,0,51,0,25,24,22,27,22,28,26,22,23,23,23,74,29,12,20,0,47,0,26,22,26,35,25,25,27,26,23,27,86,27,17,24,0,48,0,29,26,29,29,21,20,21,21,21,75,27,11,20,0,45,0,23,19,23,23,22,20,22,20,76,21,13,22,0,45,0,22,20,22,25,22,20,22,76,24,12,20,0,45,0,24,22,23,26,21,20,76,26,12,20,0,47,0,25,22,25,24,22,77,24,12,20,0,48,0,23,19,25,26,76,85,34,77,0,92,0,87,76,74,78,26,16,22,0,44,0,27,26,30,27,13,13,0,44,0,23,11,13,14,20,0,46,0,22,21,21,22,0,0,0,0,0,0,0,46,0,52,48,49,47,0,0,0,0,0,22,23,25,27,22,21,21,24,29,25,26.740072202166065
Actin_BR,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,37,54,66,56,59,67,66,65,53,67,0,66,71,67,78,29,63,64,67,34,46,31,31,35,26,25,31,31,33,31,30,0,28,36,35,50,0,30,32,33,25,25,52,63,26,47,50,51,50,48,51,0,46,48,63,60,25,50,62,67,23,34,63,65,62,65,65,65,58,66,0,62,67,64,73,35,65,61,64,48,58,54,52,53,54,55,42,56,0,55,55,64,58,28,51,62,64,13,3,60,60,57,60,49,57,0,58,58,63,63,28,63,59,61,23,42,63,63,63,52,63,0,58,65,64,72,28,62,64,66,31,44,63,64,49,64,0,64,64,64,72,29,62,64,66,31,44,63,51,62,0,62,65,65,74,27,61,62,64,29,43,50,53,0,47,44,65,58,27,48,52,59,26,45,63,0,61,65,64,73,29,61,65,68,29,46,0,0,0,0,0,0,0,0,0,0,0,59,61,63,66,32,60,60,61,22,43,65,66,72,19,62,63,68,30,36,64,75,36,65,65,64,50,58,70,22,65,72,74,38,48,27,26,33,37,0,26,62,62,65,28,41,64,66,41,59,64,38,59,30,10,44,43.11913357400722
Actin_ST,75,44,61,36,42,46,44,34,43,12,41,42,44,60,26,34,0,31,47,32,49,73,8,39,87,74,74,82,76,72,85,75,85,86,88,84,82,91,0,94,78,81,79,93,42,77,56,49,53,45,46,45,29,58,55,55,40,32,62,0,70,43,45,54,66,14,44,68,69,42,62,61,52,62,60,67,54,56,64,0,72,49,61,71,88,11,43,71,73,69,42,20,73,68,72,61,63,74,0,74,38,66,70,80,16,50,64,61,39,14,64,60,68,61,53,65,0,67,35,58,68,79,13,31,70,41,14,71,66,69,39,60,72,0,76,27,71,67,82,13,53,47,9,46,45,46,58,5,46,0,49,36,44,70,52,16,39,15,16,20,16,47,5,13,0,13,21,7,65,16,10,16,76,70,76,62,64,78,0,84,37,69,72,81,11,58,68,72,60,50,66,0,76,36,63,63,80,14,61,76,62,62,78,0,82,36,71,72,83,22,62,58,39,60,0,63,64,32,61,73,20,56,61,62,0,67,8,53,64,61,9,44,76,0,83,37,71,73,81,18,58,0,0,0,0,0,0,0,0,80,39,74,75,84,23,64,38,25,37,50,1,36,71,68,79,12,53,73,84,21,46,81,43,78,20,0,59,49.09386281588448
Arp2_3,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,37,54,66,56,59,67,66,65,53,67,0,66,71,67,78,29,63,64,67,34,46,31,31,35,26,25,31,31,33,31,30,0,28,36,35,50,0,30,32,33,25,25,52,63,26,47,50,51,50,48,51,0,46,48,63,60,25,50,62,67,23,34,63,65,62,65,65,65,58,66,0,62,67,64,73,35,65,61,64,48,58,54,52,53,54,55,42,56,0,55,55,64,58,28,51,62,64,13,3,60,60,57,60,49,57,0,58,58,63,63,28,63,59,61,23,42,63,63,63,52,63,0,58,65,64,72,28,62,64,66,31,44,63,64,49,64,0,64,64,64,72,29,62,64,66,31,44,63,51,62,0,62,65,65,74,27,61,62,64,29,43,50,53,0,47,44,65,58,27,48,52,59,26,45,63,0,61,65,64,73,29,61,65,68,29,46,0,0,0,0,0,0,0,0,0,0,0,59,61,63,66,32,60,60,61,22,43,65,66,72,19,62,63,68,30,36,64,75,36,65,65,64,50,58,70,22,65,72,74,38,48,27,26,33,37,0,26,62,62,65,28,41,64,66,41,59,64,38,59,30,10,44,43.11913357400722
CP,51,48,0,49,52,49,49,49,50,49,49,50,47,50,100,50,53,51,49,50,50,46,50,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,56,53,53,53,52,68,53,52,53,51,100,50,50,52,52,49,55,47,62,51,53,53,49,52,54,77,58,53,52,51,100,52,53,54,50,54,51,47,55,51,51,51,50,55,84,61,53,52,49,100,52,54,57,51,51,52,50,57,51,50,49,49,74,51,52,49,50,100,49,51,51,51,50,51,51,53,52,52,52,79,53,50,52,49,100,50,50,49,48,51,52,49,56,51,50,82,51,52,52,49,100,51,51,50,52,49,52,50,53,52,83,83,76,83,51,100,84,84,90,65,81,82,85,68,75,53,50,50,49,100,50,56,52,50,52,62,51,65,54,52,51,50,100,53,52,51,51,50,53,51,55,51,51,52,100,52,51,53,51,47,50,52,54,54,51,100,52,50,49,50,50,50,51,51,49,100,100,100,100,100,100,100,100,100,100,50,51,50,48,49,50,51,59,49,52,56,53,53,53,49,56,52,52,48,48,56,50,60,54,49,49,51,50,51,48,51,54,50,56,51,51,53,57,51,51,55,49,54,52,51,53.014440433213
Cdc42,49,49,48,0,50,49,50,51,50,51,49,51,50,50,50,47,51,49,50,52,53,51,49,51,52,0,51,51,50,50,52,50,49,49,51,49,49,49,49,51,52,52,49,50,48,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,50,48,49,50,50,50,49,52,48,50,50,51,52,50,51,51,51,48,50,50,53,52,51,51,52,49,52,50,49,53,49,49,49,50,48,49,54,47,51,51,47,53,52,50,51,49,47,51,50,50,50,47,52,49,50,48,51,51,46,51,52,48,48,50,50,52,50,49,53,47,48,50,51,51,51,50,52,51,50,48,51,51,50,51,49,52,50,50,52,50,51,49,51,48,55,51,50,49,51,50,51,51,50,50,52,51,49,52,52,49,50,52,50,49,48,48,49,47,50,52,50,49,47,49,49,49,48,48,48,48,51,48,51,51,51,48,52,49,48,51,54,49,50,48,50,49,53,50,51,50,51,50,51,51,49,50,49,52,52,49,50,47,48,51,51,50,47,48,51,51,52,47,48,50,52,50,49,51,47,49,49,48,48,48,51,49,50,50,50,49,48,49,47,49,50,49,51,48,49,51,50,51,51,48,51,51,51,49,49,45.8014440433213
Cofilin,61,10,11,7,0,0,11,11,10,10,11,11,13,7,16,38,12,30,9,18,0,13,6,10,63,32,0,50,57,61,63,62,61,58,69,11,67,85,59,90,27,79,4,67,40,51,32,0,23,26,30,32,29,33,29,39,10,39,68,34,76,7,60,7,34,22,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,59,50,52,51,50,48,55,0,63,60,50,66,20,59,3,61,16,45,57,57,55,57,57,58,63,12,60,79,63,83,27,74,20,66,34,38,62,62,59,61,59,62,11,65,76,61,78,27,77,4,64,33,52,63,62,61,59,67,8,63,82,58,83,29,77,3,68,36,53,62,63,56,67,9,70,79,58,84,28,77,3,67,39,52,62,57,65,9,67,81,59,86,30,76,3,64,38,51,57,63,9,65,75,63,79,27,70,5,61,33,52,66,9,70,83,64,85,43,76,34,72,37,57,9,15,45,8,37,7,31,0,10,8,7,65,88,68,88,45,82,6,69,47,63,81,80,86,40,81,3,86,54,68,60,84,30,76,3,64,42,58,83,35,80,4,88,61,74,27,36,18,33,8,25,75,4,80,48,65,3,5,0,3,65,49,63,36,17,50,41.81949458483754
Coronin,64,17,18,8,16,0,17,18,18,18,17,18,17,11,19,58,18,47,14,28,0,18,17,17,66,34,64,0,62,64,66,65,63,66,64,16,64,93,64,99,14,85,0,65,54,60,35,35,0,27,33,36,33,36,32,32,14,34,84,37,92,7,73,0,35,30,30,63,0,58,61,63,63,63,62,63,13,63,90,66,94,15,83,0,67,46,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,61,58,63,61,62,60,15,61,86,64,88,14,80,0,64,48,45,65,65,62,64,66,61,14,63,86,67,88,13,83,0,64,48,60,65,66,64,66,65,14,61,90,64,93,16,84,0,68,52,62,64,65,63,65,13,67,88,64,94,14,85,0,67,54,60,65,64,62,13,65,91,65,95,16,83,0,64,52,59,65,66,13,63,91,65,94,15,83,0,63,49,61,64,13,66,91,64,93,14,83,0,68,50,60,14,15,79,12,72,8,36,0,14,16,12,63,88,66,88,15,83,0,63,47,61,90,90,96,42,88,0,93,85,89,65,95,15,87,0,64,58,62,93,31,89,0,95,90,90,14,26,0,15,14,14,83,0,85,71,78,0,0,0,0,66,56,66,53,37,59,45.7942238267148
Cortactin,62,5,10,10,4,5,0,0,5,4,5,5,5,13,0,6,4,6,0,0,5,5,5,4,67,37,54,66,0,59,67,66,65,53,67,30,66,71,67,78,0,63,64,67,34,48,31,31,35,0,25,31,31,33,31,30,15,28,36,35,50,0,30,32,33,25,25,52,63,0,47,50,51,50,48,51,14,46,48,63,60,0,50,62,67,23,34,63,0,62,65,65,65,58,66,13,62,67,64,73,0,65,61,64,48,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,60,57,60,49,57,0,58,58,63,63,0,63,59,61,23,42,63,63,63,52,63,15,58,65,64,72,0,62,64,66,31,44,63,64,49,64,14,64,64,64,72,0,62,64,66,31,44,63,51,62,14,62,65,65,74,0,61,62,64,29,43,50,53,14,47,44,65,58,0,48,52,59,26,45,63,14,61,65,64,73,0,61,65,68,29,46,14,0,24,14,26,0,0,13,14,14,14,59,61,63,66,0,60,60,61,22,43,65,66,72,0,62,63,68,30,37,64,75,0,65,65,64,50,58,70,0,65,72,74,38,49,0,0,0,0,0,0,62,62,65,28,41,64,66,41,59,64,38,59,30,12,44,39.07942238267148
Dia1,10,16,31,30,14,17,16,0,15,14,15,14,16,37,0,12,14,6,25,0,15,16,16,14,19,36,20,20,21,0,18,19,21,19,20,70,20,16,19,8,48,0,19,19,23,23,20,19,18,18,0,19,18,18,18,18,34,0,15,18,7,48,0,18,18,22,22,10,9,10,0,9,10,9,10,9,35,0,8,9,4,26,0,11,10,12,12,10,9,0,9,9,10,11,9,38,0,10,9,3,26,0,11,10,8,10,10,0,11,11,10,11,10,35,0,8,10,5,26,0,10,10,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,10,10,36,0,7,9,4,25,0,10,8,11,10,10,10,10,10,35,0,8,10,3,23,0,10,9,11,11,10,10,12,36,0,8,10,4,26,0,10,10,12,11,10,9,36,0,7,9,4,25,0,10,11,13,11,10,34,0,8,10,3,26,0,10,8,13,11,35,0,25,36,26,50,0,37,35,35,36,0,0,0,0,0,0,0,0,0,0,7,8,4,26,0,11,7,8,9,9,3,24,0,9,10,11,10,3,26,0,3,4,6,5,26,0,26,26,27,25,0,0,0,0,0,10,10,10,11,10,11,11,12,14,11,11.992779783393502
