type,path
pos,Cofilin -| Thymosin -| Cofilin
neg,Cofilin -| Thymosin -| Arp2_3 -> CP -| Dia1 -> Rac1 -| RhoA -> ROCK -> LIMK -| Cofilin
neg,Cofilin -| Thymosin -| Arp2_3 -> CP -| Dia1 -> Rac1 -| RhoA -> ROCK -> PKD -> LIMK -| Cofilin
neg,Cofilin -| Thymosin -| Arp2_3 -> CP -| Dia1 -> Rac1 -| RhoA -> ROCK -> PKD -| SSH -| LIMK -| Cofilin
neg,Cofilin -| Thymosin -| Arp2_3 -> CP -| Dia1 -> Rac1 -| RhoA -> ROCK -> PKD -| SSH -> Cofilin
neg,Cofilin -| Thymosin -| Arp2_3 -> CP -| Dia1 -> Rac1 -> SSH -| ROCK -> LIMK -| Cofilin
neg,Cofilin -| Thymosin -| Arp2_3 -> CP -| Dia1 -> Rac1 -> SSH -| ROCK -> PKD -> LIMK -| Cofilin
neg,Cofilin -| Thymosin -| Arp2_3 -> CP -| Dia1 -> Rac1 -> SSH -> Coronin -| ROCK -> LIMK -| Cofilin
neg,Cofilin -| Thymosin -| Arp2_3 -> CP -| Dia1 -> Rac1 -> SSH -> Coronin -| ROCK -> PKD -> LIMK -| Cofilin
neg,Cofilin -| Thymosin -| Arp2_3 -> CP -| Dia1 -> Rac1 -> SSH -| LIMK -| Cofilin
neg,Cofilin -| Thymosin -| Arp2_3 -> CP -| Dia1 -> Rac1 -> SSH -> Cofilin
pos,Cofilin -| Thymosin -| Arp2_3 -> CP -| Dia1 -> Rac1 -> PAK -> LIMK -| Cofilin
neg,Cofilin -| Thymosin -| Arp2_3 -> CP -| Dia1 -> Rac1 -> PAK -| NET1 -> RhoA -> ROCK -> LIMK -| Cofilin
neg,Cofilin -| Thymosin -| Arp2_3 -> CP -| Dia1 -> Rac1 -> PAK -| NET1 -> RhoA -> ROCK -> PKD -> LIMK -| Cofilin
neg,Cofilin -| Thymosin -| Arp2_3 -> CP -| Dia1 -> Rac1 -> PAK -| NET1 -> RhoA -> ROCK -> PKD -| SSH -| LIMK -| Cofilin
neg,Cofilin -| Thymosin -| Arp2_3 -> CP -| Dia1 -> Rac1 -> PAK -| NET1 -> RhoA -> ROCK -> PKD -| SSH -> Cofilin
pos,Cofilin -| Thymosin -| Arp2_3 -> Rac1 -| RhoA -> ROCK -> LIMK -| Cofilin
pos,Cofilin -| Thymosin -| Arp2_3 -> Rac1 -| RhoA -> ROCK -> PKD -> LIMK -| Cofilin
pos,Cofilin -| Thymosin -| Arp2_3 -> Rac1 -| RhoA -> ROCK -> PKD -| SSH -| LIMK -| Cofilin
pos,Cofilin -| Thymosin -| Arp2_3 -> Rac1 -| RhoA -> ROCK -> PKD -| SSH -> Cofilin
pos,Cofilin -| Thymosin -| Arp2_3 -> Rac1 -> SSH -| ROCK -> LIMK -| Cofilin
pos,Cofilin -| Thymosin -| Arp2_3 -> Rac1 -> SSH -| ROCK -> PKD -> LIMK -| Cofilin
pos,Cofilin -| Thymosin -| Arp2_3 -> Rac1 -> SSH -> Coronin -| ROCK -> LIMK -| Cofilin
pos,Cofilin -| Thymosin -| Arp2_3 -> Rac1 -> SSH -> Coronin -| ROCK -> PKD -> LIMK -| Cofilin
pos,Cofilin -| Thymosin -| Arp2_3 -> Rac1 -> SSH -| LIMK -| Cofilin
pos,Cofilin -| Thymosin -| Arp2_3 -> Rac1 -> SSH -> Cofilin
neg,Cofilin -| Thymosin -| Arp2_3 -> Rac1 -> PAK -> LIMK -| Cofilin
pos,Cofilin -| Thymosin -| Arp2_3 -> Rac1 -> PAK -| NET1 -> RhoA -> ROCK -> LIMK -| Cofilin
pos,Cofilin -| Thymosin -| Arp2_3 -> Rac1 -> PAK -| NET1 -> RhoA -> ROCK -> PKD -> LIMK -| Cofilin
pos,Cofilin -| Thymosin -| Arp2_3 -> Rac1 -> PAK -| NET1 -> RhoA -> ROCK -> PKD -| SSH -| LIMK -| Cofilin
pos,Cofilin -| Thymosin -| Arp2_3 -> Rac1 -> PAK -| NET1 -> RhoA -> ROCK -> PKD -| SSH -> Cofilin
pos,Cofilin -| Thymosin -| Arp2_3 -> Cofilin
pos,Cofilin -| Thymosin -| WASP -> Ena_Vasp -| CP -| Dia1 -> Rac1 -| RhoA -> ROCK -> LIMK -| Cofilin
pos,Cofilin -| Thymosin -| WASP -> Ena_Vasp -| CP -| Dia1 -> Rac1 -| RhoA -> ROCK -> PKD -> LIMK -| Cofilin
neg,Cofilin -| Thymosin -| WASP -> Ena_Vasp -| CP -| Dia1 -> Rac1 -| RhoA -> ROCK -> PKD -| SSH -> Coronin -| Arp2_3 -> Cofilin
pos,Cofilin -| Thymosin -| WASP -> Ena_Vasp -| CP -| Dia1 -> Rac1 -| RhoA -> ROCK -> PKD -| SSH -| LIMK -| Cofilin
pos,Cofilin -| Thymosin -| WASP -> Ena_Vasp -| CP -| Dia1 -> Rac1 -| RhoA -> ROCK -> PKD -| SSH -> Cofilin
pos,Cofilin -| Thymosin -| WASP -> Ena_Vasp -| CP -| Dia1 -> Rac1 -> WAVE -> Arp2_3 -> Cofilin
neg,Cofilin -| Thymosin -| WASP -> Ena_Vasp -| CP -| Dia1 -> Rac1 -> WAVE -> Profilin -| Arp2_3 -> Cofilin
pos,Cofilin -| Thymosin -| WASP -> Ena_Vasp -| CP -| Dia1 -> Rac1 -> SSH -| ROCK -> LIMK -| Cofilin
pos,Cofilin -| Thymosin -| WASP -> Ena_Vasp -| CP -| Dia1 -> Rac1 -> SSH -| ROCK -> PKD -> LIMK -| Cofilin
pos,Cofilin -| Thymosin -| WASP -> Ena_Vasp -| CP -| Dia1 -> Rac1 -> SSH -> Coronin -| ROCK -> LIMK -| Cofilin
pos,Cofilin -| Thymosin -| WASP -> Ena_Vasp -| CP -| Dia1 -> Rac1 -> SSH -> Coronin -| ROCK -> PKD -> LIMK -| Cofilin
neg,Cofilin -| Thymosin -| WASP -> Ena_Vasp -| CP -| Dia1 -> Rac1 -> SSH -> Coronin -| Arp2_3 -> Cofilin
pos,Cofilin -| Thymosin -| WASP -> Ena_Vasp -| CP -| Dia1 -> Rac1 -> SSH -| LIMK -| Cofilin
pos,Cofilin -| Thymosin -| WASP -> Ena_Vasp -| CP -| Dia1 -> Rac1 -> SSH -> Cofilin
neg,Cofilin -| Thymosin -| WASP -> Ena_Vasp -| CP -| Dia1 -> Rac1 -> PAK -> LIMK -| Cofilin
pos,Cofilin -| Thymosin -| WASP -> Ena_Vasp -| CP -| Dia1 -> Rac1 -> PAK -| NET1 -> RhoA -> ROCK -> LIMK -| Cofilin
pos,Cofilin -| Thymosin -| WASP -> Ena_Vasp -| CP -| Dia1 -> Rac1 -> PAK -| NET1 -> RhoA -> ROCK -> PKD -> LIMK -| Cofilin
neg,Cofilin -| Thymosin -| WASP -> Ena_Vasp -| CP -| Dia1 -> Rac1 -> PAK -| NET1 -> RhoA -> ROCK -> PKD -| SSH -> Coronin -| Arp2_3 -> Cofilin
