type,path
neg,PKD -> Ena_Vasp -| CP -| Dia1 -> Rac1 -| RhoA -> ROCK -> PKD
neg,PKD -> Ena_Vasp -| CP -| Dia1 -> Rac1 -> SSH -| ROCK -> PKD
neg,PKD -> Ena_Vasp -| CP -| Dia1 -> Rac1 -> SSH -> Coronin -| ROCK -> PKD
neg,PKD -> Ena_Vasp -| CP -| Dia1 -> Rac1 -> PAK -| NET1 -> RhoA -> ROCK -> PKD
pos,PKD -| SSH -| ROCK -> PKD
pos,PKD -| SSH -> Coronin -| ROCK -> PKD
pos,NET1 -> RhoA -> ROCK -> ARHGAP22 -| Rac1 -> PAK -| NET1
neg,NET1 -> RhoA -> Dia1 -> Rac1 -> PAK -| NET1
pos,ROCK -> ARHGAP22 -| Rac1 -| RhoA -> ROCK
pos,ROCK -> ARHGAP22 -| Rac1 -> SSH -| ROCK
pos,ROCK -> ARHGAP22 -| Rac1 -> SSH -> Coronin -| ROCK
neg,Rac1 -| RhoA -> Dia1 -> Rac1
pos,SSH -> Coronin -> SSH
pos,Cofilin -| Thymosin -| Cofilin
