type,path
pos,Cofilin -| Thymosin -| Cofilin
pos,Cofilin -| Thymosin -| Arp2_3 -> Rac1 -| RhoA -> ROCK -> LIMK -| Cofilin
neg,Cofilin -| Thymosin -| Arp2_3 -> Rac1 -| RhoA -> ROCK -> PKD -| Cortactin -| Cofilin
pos,Cofilin -| Thymosin -| Arp2_3 -> Rac1 -| RhoA -> ROCK -> PKD -> LIMK -| Cofilin
pos,Cofilin -| Thymosin -| Arp2_3 -> Rac1 -| RhoA -> ROCK -> PKD -| SSH -> Coronin -| Cortactin -| Cofilin
pos,Cofilin -| Thymosin -| Arp2_3 -> Rac1 -| RhoA -> ROCK -> PKD -| SSH -| LIMK -| Cofilin
pos,Cofilin -| Thymosin -| Arp2_3 -> Rac1 -| RhoA -> ROCK -> PKD -| SSH -> Cofilin
neg,Cofilin -| Thymosin -| Arp2_3 -> Rac1 -> Cortactin -| Cofilin
pos,Cofilin -| Thymosin -| Arp2_3 -> Rac1 -> SSH -| ROCK -> LIMK -| Cofilin
neg,Cofilin -| Thymosin -| Arp2_3 -> Rac1 -> SSH -| ROCK -> PKD -| Cortactin -| Cofilin
pos,Cofilin -| Thymosin -| Arp2_3 -> Rac1 -> SSH -| ROCK -> PKD -> LIMK -| Cofilin
pos,Cofilin -| Thymosin -| Arp2_3 -> Rac1 -> SSH -> Coronin -| ROCK -> LIMK -| Cofilin
neg,Cofilin -| Thymosin -| Arp2_3 -> Rac1 -> SSH -> Coronin -| ROCK -> PKD -| Cortactin -| Cofilin
pos,Cofilin -| Thymosin -| Arp2_3 -> Rac1 -> SSH -> Coronin -| ROCK -> PKD -> LIMK -| Cofilin
pos,Cofilin -| Thymosin -| Arp2_3 -> Rac1 -> SSH -> Coronin -| Cortactin -| Cofilin
pos,Cofilin -| Thymosin -| Arp2_3 -> Rac1 -> SSH -| LIMK -| Cofilin
pos,Cofilin -| Thymosin -| Arp2_3 -> Rac1 -> SSH -> Cofilin
neg,Cofilin -| Thymosin -| Arp2_3 -> Rac1 -> PAK -> LIMK -| Cofilin
pos,Cofilin -| Thymosin -| Arp2_3 -> Rac1 -> PAK -| NET1 -> RhoA -> ROCK -> LIMK -| Cofilin
neg,Cofilin -| Thymosin -| Arp2_3 -> Rac1 -> PAK -| NET1 -> RhoA -> ROCK -> PKD -| Cortactin -| Cofilin
pos,Cofilin -| Thymosin -| Arp2_3 -> Rac1 -> PAK -| NET1 -> RhoA -> ROCK -> PKD -> LIMK -| Cofilin
pos,Cofilin -| Thymosin -| Arp2_3 -> Rac1 -> PAK -| NET1 -> RhoA -> ROCK -> PKD -| SSH -> Coronin -| Cortactin -| Cofilin
pos,Cofilin -| Thymosin -| Arp2_3 -> Rac1 -> PAK -| NET1 -> RhoA -> ROCK -> PKD -| SSH -| LIMK -| Cofilin
pos,Cofilin -| Thymosin -| Arp2_3 -> Rac1 -> PAK -| NET1 -> RhoA -> ROCK -> PKD -| SSH -> Cofilin
pos,Cofilin -| Thymosin -| Arp2_3 -> Cofilin
pos,Cofilin -| Thymosin -| WASP -> Arp2_3 -> Rac1 -| RhoA -> ROCK -> LIMK -| Cofilin
neg,Cofilin -| Thymosin -| WASP -> Arp2_3 -> Rac1 -| RhoA -> ROCK -> PKD -| Cortactin -| Cofilin
pos,Cofilin -| Thymosin -| WASP -> Arp2_3 -> Rac1 -| RhoA -> ROCK -> PKD -> LIMK -| Cofilin
pos,Cofilin -| Thymosin -| WASP -> Arp2_3 -> Rac1 -| RhoA -> ROCK -> PKD -| SSH -> Coronin -| Cortactin -| Cofilin
pos,Cofilin -| Thymosin -| WASP -> Arp2_3 -> Rac1 -| RhoA -> ROCK -> PKD -| SSH -| LIMK -| Cofilin
pos,Cofilin -| Thymosin -| WASP -> Arp2_3 -> Rac1 -| RhoA -> ROCK -> PKD -| SSH -> Cofilin
neg,Cofilin -| Thymosin -| WASP -> Arp2_3 -> Rac1 -> Cortactin -| Cofilin
pos,Cofilin -| Thymosin -| WASP -> Arp2_3 -> Rac1 -> SSH -| ROCK -> LIMK -| Cofilin
neg,Cofilin -| Thymosin -| WASP -> Arp2_3 -> Rac1 -> SSH -| ROCK -> PKD -| Cortactin -| Cofilin
pos,Cofilin -| Thymosin -| WASP -> Arp2_3 -> Rac1 -> SSH -| ROCK -> PKD -> LIMK -| Cofilin
pos,Cofilin -| Thymosin -| WASP -> Arp2_3 -> Rac1 -> SSH -> Coronin -| ROCK -> LIMK -| Cofilin
neg,Cofilin -| Thymosin -| WASP -> Arp2_3 -> Rac1 -> SSH -> Coronin -| ROCK -> PKD -| Cortactin -| Cofilin
pos,Cofilin -| Thymosin -| WASP -> Arp2_3 -> Rac1 -> SSH -> Coronin -| ROCK -> PKD -> LIMK -| Cofilin
pos,Cofilin -| Thymosin -| WASP -> Arp2_3 -> Rac1 -> SSH -> Coronin -| Cortactin -| Cofilin
pos,Cofilin -| Thymosin -| WASP -> Arp2_3 -> Rac1 -> SSH -| LIMK -| Cofilin
pos,Cofilin -| Thymosin -| WASP -> Arp2_3 -> Rac1 -> SSH -> Cofilin
neg,Cofilin -| Thymosin -| WASP -> Arp2_3 -> Rac1 -> PAK -> LIMK -| Cofilin
pos,Cofilin -| Thymosin -| WASP -> Arp2_3 -> Rac1 -> PAK -| NET1 -> RhoA -> ROCK -> LIMK -| Cofilin
