type,path
pos,Cofilin -| Thymosin -| Cofilin
pos,Cofilin -| Thymosin -| Arp2_3 -> CP -| Dia1 -> Rac1 -> Cortactin -| Cofilin
neg,Cofilin -| Thymosin -| Arp2_3 -> CP -| Dia1 -> Rac1 -> SSH -> Coronin -| Cortactin -| Cofilin
neg,Cofilin -| Thymosin -| Arp2_3 -> CP -| Dia1 -> Rac1 -> SSH -| LIMK -| Cofilin
neg,Cofilin -| Thymosin -| Arp2_3 -> CP -| Dia1 -> Rac1 -> SSH -> Cofilin
pos,Cofilin -| Thymosin -| Arp2_3 -> CP -| Dia1 -> Rac1 -> PAK -> LIMK -| Cofilin
neg,Cofilin -| Thymosin -| Arp2_3 -> Rac1 -> Cortactin -| Cofilin
pos,Cofilin -| Thymosin -| Arp2_3 -> Rac1 -> SSH -> Coronin -| Cortactin -| Cofilin
pos,Cofilin -| Thymosin -| Arp2_3 -> Rac1 -> SSH -| LIMK -| Cofilin
pos,Cofilin -| Thymosin -| Arp2_3 -> Rac1 -> SSH -> Cofilin
neg,Cofilin -| Thymosin -| Arp2_3 -> Rac1 -> PAK -> LIMK -| Cofilin
pos,Cofilin -| Thymosin -| Arp2_3 -> Cofilin
neg,Cofilin -| Thymosin -| WASP -> Ena_Vasp -| CP -| Dia1 -> Rac1 -> Cortactin -| Cofilin
pos,Cofilin -| Thymosin -| WASP -> Ena_Vasp -| CP -| Dia1 -> Rac1 -> Cortactin -> Arp2_3 -> Cofilin
pos,Cofilin -| Thymosin -| WASP -> Ena_Vasp -| CP -| Dia1 -> Rac1 -> SSH -> Coronin -| Cortactin -| Cofilin
neg,Cofilin -| Thymosin -| WASP -> Ena_Vasp -| CP -| Dia1 -> Rac1 -> SSH -> Coronin -| Cortactin -> Arp2_3 -> Cofilin
neg,Cofilin -| Thymosin -| WASP -> Ena_Vasp -| CP -| Dia1 -> Rac1 -> SSH -> Coronin -| Arp2_3 -> Cofilin
pos,Cofilin -| Thymosin -| WASP -> Ena_Vasp -| CP -| Dia1 -> Rac1 -> SSH -| LIMK -| Cofilin
pos,Cofilin -| Thymosin -| WASP -> Ena_Vasp -| CP -| Dia1 -> Rac1 -> SSH -> Cofilin
neg,Cofilin -| Thymosin -| WASP -> Ena_Vasp -| CP -| Dia1 -> Rac1 -> PAK -> LIMK -| Cofilin
pos,Cofilin -| Thymosin -| WASP -> Ena_Vasp -| CP -| Dia1 -> Rac1 -> PAK -> Arp2_3 -> Cofilin
pos,Cofilin -| Thymosin -| WASP -> Ena_Vasp -| CP -| Dia1 -> Profilin -| Arp2_3 -> Rac1 -> Cortactin -| Cofilin
neg,Cofilin -| Thymosin -| WASP -> Ena_Vasp -| CP -| Dia1 -> Profilin -| Arp2_3 -> Rac1 -> SSH -> Coronin -| Cortactin -| Cofilin
neg,Cofilin -| Thymosin -| WASP -> Ena_Vasp -| CP -| Dia1 -> Profilin -| Arp2_3 -> Rac1 -> SSH -| LIMK -| Cofilin
neg,Cofilin -| Thymosin -| WASP -> Ena_Vasp -| CP -| Dia1 -> Profilin -| Arp2_3 -> Rac1 -> SSH -> Cofilin
pos,Cofilin -| Thymosin -| WASP -> Ena_Vasp -| CP -| Dia1 -> Profilin -| Arp2_3 -> Rac1 -> PAK -> LIMK -| Cofilin
neg,Cofilin -| Thymosin -| WASP -> Ena_Vasp -| CP -| Dia1 -> Profilin -| Arp2_3 -> Cofilin
pos,Cofilin -| Thymosin -| WASP -> Arp2_3 -> CP -| Dia1 -> Rac1 -> Cortactin -| Cofilin
neg,Cofilin -| Thymosin -| WASP -> Arp2_3 -> CP -| Dia1 -> Rac1 -> SSH -> Coronin -| Cortactin -| Cofilin
neg,Cofilin -| Thymosin -| WASP -> Arp2_3 -> CP -| Dia1 -> Rac1 -> SSH -| LIMK -| Cofilin
neg,Cofilin -| Thymosin -| WASP -> Arp2_3 -> CP -| Dia1 -> Rac1 -> SSH -> Cofilin
pos,Cofilin -| Thymosin -| WASP -> Arp2_3 -> CP -| Dia1 -> Rac1 -> PAK -> LIMK -| Cofilin
neg,Cofilin -| Thymosin -| WASP -> Arp2_3 -> Rac1 -> Cortactin -| Cofilin
pos,Cofilin -| Thymosin -| WASP -> Arp2_3 -> Rac1 -> SSH -> Coronin -| Cortactin -| Cofilin
pos,Cofilin -| Thymosin -| WASP -> Arp2_3 -> Rac1 -> SSH -| LIMK -| Cofilin
pos,Cofilin -| Thymosin -| WASP -> Arp2_3 -> Rac1 -> SSH -> Cofilin
neg,Cofilin -| Thymosin -| WASP -> Arp2_3 -> Rac1 -> PAK -> LIMK -| Cofilin
pos,Cofilin -| Thymosin -| WASP -> Arp2_3 -> Cofilin
neg,Cofilin -| Thymosin -| WASP -> Profilin -| Arp2_3 -> CP -| Dia1 -> Rac1 -> Cortactin -| Cofilin
pos,Cofilin -| Thymosin -| WASP -> Profilin -| Arp2_3 -> CP -| Dia1 -> Rac1 -> SSH -> Coronin -| Cortactin -| Cofilin
pos,Cofilin -| Thymosin -| WASP -> Profilin -| Arp2_3 -> CP -| Dia1 -> Rac1 -> SSH -| LIMK -| Cofilin
pos,Cofilin -| Thymosin -| WASP -> Profilin -| Arp2_3 -> CP -| Dia1 -> Rac1 -> SSH -> Cofilin
neg,Cofilin -| Thymosin -| WASP -> Profilin -| Arp2_3 -> CP -| Dia1 -> Rac1 -> PAK -> LIMK -| Cofilin
pos,Cofilin -| Thymosin -| WASP -> Profilin -| Arp2_3 -> Rac1 -> Cortactin -| Cofilin
neg,Cofilin -| Thymosin -| WASP -> Profilin -| Arp2_3 -> Rac1 -> SSH -> Coronin -| Cortactin -| Cofilin
neg,Cofilin -| Thymosin -| WASP -> Profilin -| Arp2_3 -> Rac1 -> SSH -| LIMK -| Cofilin
neg,Cofilin -| Thymosin -| WASP -> Profilin -| Arp2_3 -> Rac1 -> SSH -> Cofilin
pos,Cofilin -| Thymosin -| WASP -> Profilin -| Arp2_3 -> Rac1 -> PAK -> LIMK -| Cofilin
neg,Cofilin -| Thymosin -| WASP -> Profilin -| Arp2_3 -> Cofilin
neg,Cofilin -| Thymosin -| Profilin -| Arp2_3 -> CP -| Dia1 -> Rac1 -> Cortactin -| Cofilin
pos,Cofilin -| Thymosin -| Profilin -| Arp2_3 -> CP -| Dia1 -> Rac1 -> SSH -> Coronin -| Cortactin -| Cofilin
pos,Cofilin -| Thymosin -| Profilin -| Arp2_3 -> CP -| Dia1 -> Rac1 -> SSH -| LIMK -| Cofilin
pos,Cofilin -| Thymosin -| Profilin -| Arp2_3 -> CP -| Dia1 -> Rac1 -> SSH -> Cofilin
neg,Cofilin -| Thymosin -| Profilin -| Arp2_3 -> CP -| Dia1 -> Rac1 -> PAK -> LIMK -| Cofilin
pos,Cofilin -| Thymosin -| Profilin -| Arp2_3 -> Rac1 -> Cortactin -| Cofilin
neg,Cofilin -| Thymosin -| Profilin -| Arp2_3 -> Rac1 -> SSH -> Coronin -| Cortactin -| Cofilin
neg,Cofilin -| Thymosin -| Profilin -| Arp2_3 -> Rac1 -> SSH -| LIMK -| Cofilin
neg,Cofilin -| Thymosin -| Profilin -| Arp2_3 -> Rac1 -> SSH -> Cofilin
pos,Cofilin -| Thymosin -| Profilin -| Arp2_3 -> Rac1 -> PAK -> LIMK -| Cofilin
neg,Cofilin -| Thymosin -| Profilin -| Arp2_3 -> Cofilin
neg,Thymosin -| Arp2_3 -> CP -| Dia1 -> Rac1 -> Cortactin -> WASP -| Thymosin
pos,Thymosin -| Arp2_3 -> CP -| Dia1 -> Rac1 -> SSH -> Coronin -| Cortactin -> WASP -| Thymosin
neg,Thymosin -| Arp2_3 -> CP -| Dia1 -> Rac1 -> WASP -| Thymosin
pos,Thymosin -| Arp2_3 -> Rac1 -> Cortactin -> WASP -| Thymosin
neg,Thymosin -| Arp2_3 -> Rac1 -> SSH -> Coronin -| Cortactin -> WASP -| Thymosin
pos,Thymosin -| Arp2_3 -> Rac1 -> WASP -| Thymosin
pos,Thymosin -| WASP -| Thymosin
pos,Thymosin -| Profilin -| Arp2_3 -> CP -| Dia1 -> Rac1 -> Cortactin -> WASP -| Thymosin
neg,Thymosin -| Profilin -| Arp2_3 -> CP -| Dia1 -> Rac1 -> SSH -> Coronin -| Cortactin -> WASP -| Thymosin
pos,Thymosin -| Profilin -| Arp2_3 -> CP -| Dia1 -> Rac1 -> WASP -| Thymosin
neg,Thymosin -| Profilin -| Arp2_3 -> Rac1 -> Cortactin -> WASP -| Thymosin
pos,Thymosin -| Profilin -| Arp2_3 -> Rac1 -> SSH -> Coronin -| Cortactin -> WASP -| Thymosin
neg,Thymosin -| Profilin -| Arp2_3 -> Rac1 -> WASP -| Thymosin
neg,NET1 -> RhoA -> Dia1 -> Rac1 -> PAK -| NET1
pos,NET1 -> RhoA -> Dia1 -> Profilin -| Arp2_3 -> Rac1 -> PAK -| NET1
neg,CP -| Dia1 -> Rac1 -> Cortactin -> Arp2_3 -> CP
pos,CP -| Dia1 -> Rac1 -> Cortactin -> WASP -> Ena_Vasp -| CP
neg,CP -| Dia1 -> Rac1 -> Cortactin -> WASP -> Arp2_3 -> CP
pos,CP -| Dia1 -> Rac1 -> Cortactin -> WASP -> Profilin -| Arp2_3 -> CP
pos,CP -| Dia1 -> Rac1 -> SSH -> Coronin -| Cortactin -> Arp2_3 -> CP
neg,CP -| Dia1 -> Rac1 -> SSH -> Coronin -| Cortactin -> WASP -> Ena_Vasp -| CP
pos,CP -| Dia1 -> Rac1 -> SSH -> Coronin -| Cortactin -> WASP -> Arp2_3 -> CP
neg,CP -| Dia1 -> Rac1 -> SSH -> Coronin -| Cortactin -> WASP -> Profilin -| Arp2_3 -> CP
pos,CP -| Dia1 -> Rac1 -> SSH -> Coronin -| Arp2_3 -> CP
pos,CP -| Dia1 -> Rac1 -> WASP -> Ena_Vasp -| CP
neg,CP -| Dia1 -> Rac1 -> WASP -> Arp2_3 -> CP
pos,CP -| Dia1 -> Rac1 -> WASP -> Profilin -| Arp2_3 -> CP
neg,CP -| Dia1 -> Rac1 -> PAK -> Arp2_3 -> CP
pos,CP -| Dia1 -> Profilin -| Arp2_3 -> CP
neg,CP -| Dia1 -> Profilin -| Arp2_3 -> Rac1 -> Cortactin -> WASP -> Ena_Vasp -| CP
pos,CP -| Dia1 -> Profilin -| Arp2_3 -> Rac1 -> SSH -> Coronin -| Cortactin -> WASP -> Ena_Vasp -| CP
neg,CP -| Dia1 -> Profilin -| Arp2_3 -> Rac1 -> WASP -> Ena_Vasp -| CP
pos,Profilin -| Arp2_3 -> Rac1 -| RhoA -> Dia1 -> Profilin
neg,Profilin -| Arp2_3 -> Rac1 -> Cortactin -> WASP -> Profilin
pos,Profilin -| Arp2_3 -> Rac1 -> SSH -> Coronin -| Cortactin -> WASP -> Profilin
neg,Profilin -| Arp2_3 -> Rac1 -> WASP -> Profilin
pos,PAK -> Arp2_3 -> Rac1 -> PAK
neg,Dia1 -> Rac1 -| RhoA -> Dia1
pos,WASP -> Arp2_3 -> Rac1 -> Cortactin -> WASP
neg,WASP -> Arp2_3 -> Rac1 -> SSH -> Coronin -| Cortactin -> WASP
pos,WASP -> Arp2_3 -> Rac1 -> WASP
neg,SSH -> Coronin -| Cortactin -> Arp2_3 -> Rac1 -> SSH
neg,SSH -> Coronin -| Arp2_3 -> Rac1 -> SSH
pos,SSH -> Coronin -> SSH
pos,Cortactin -> Arp2_3 -> Rac1 -> Cortactin
