type,path
neg,PKD -> Ena_Vasp -| CP -| Dia1 -> Rac1 -> SSH -| ROCK -> PKD
neg,PKD -> Ena_Vasp -| CP -| Dia1 -> Rac1 -> SSH -> Coronin -| ROCK -> PKD
pos,PKD -> Ena_Vasp -| CP -| Dia1 -> Profilin -| Arp2_3 -> Rac1 -> SSH -| ROCK -> PKD
pos,PKD -> Ena_Vasp -| CP -| Dia1 -> Profilin -| Arp2_3 -> Rac1 -> SSH -> Coronin -| ROCK -> PKD
neg,PKD -| Cortactin -> Arp2_3 -> CP -| Dia1 -> Rac1 -> SSH -| ROCK -> PKD
neg,PKD -| Cortactin -> Arp2_3 -> CP -| Dia1 -> Rac1 -> SSH -> Coronin -| ROCK -> PKD
pos,PKD -| Cortactin -> Arp2_3 -> Rac1 -> SSH -| ROCK -> PKD
pos,PKD -| Cortactin -> Arp2_3 -> Rac1 -> SSH -> Coronin -| ROCK -> PKD
pos,PKD -| Cortactin -> WASP -> Ena_Vasp -| CP -| Dia1 -> Rac1 -> SSH -| ROCK -> PKD
pos,PKD -| Cortactin -> WASP -> Ena_Vasp -| CP -| Dia1 -> Rac1 -> SSH -> Coronin -| ROCK -> PKD
neg,PKD -| Cortactin -> WASP -> Ena_Vasp -| CP -| Dia1 -> Profilin -| Arp2_3 -> Rac1 -> SSH -| ROCK -> PKD
neg,PKD -| Cortactin -> WASP -> Ena_Vasp -| CP -| Dia1 -> Profilin -| Arp2_3 -> Rac1 -> SSH -> Coronin -| ROCK -> PKD
neg,PKD -| Cortactin -> WASP -> Arp2_3 -> CP -| Dia1 -> Rac1 -> SSH -| ROCK -> PKD
neg,PKD -| Cortactin -> WASP -> Arp2_3 -> CP -| Dia1 -> Rac1 -> SSH -> Coronin -| ROCK -> PKD
pos,PKD -| Cortactin -> WASP -> Arp2_3 -> Rac1 -> SSH -| ROCK -> PKD
pos,PKD -| Cortactin -> WASP -> Arp2_3 -> Rac1 -> SSH -> Coronin -| ROCK -> PKD
