,,n/a,ARHGAP22,Arp2_3,CP,Cdc42,Cofilin,Coronin,Cortactin,Dia1,Dia2,Ena_Vasp,IRSp53_Cdc42,IRSp53_Rac1,LIMK,NET1,PAK,PIP2,PKD,Profilin,ROCK,ROS,Rac1,RhoA,SSH,Thymosin,WASP,WAVE
n/a,BR,44,81,0,45,9,38,39,42,40,43,40,45,38,46,49,0,44,60,46,80,33,27,62,35,54,12,35
n/a,ST,65,88,63,94,53,62,60,62,44,48,39,66,62,67,63,64,41,75,0,88,65,65,71,58,73,14,59
ARHGAP22,BR,81,,0,94,67,73,83,66,63,80,78,80,75,82,78,0,71,82,83,82,84,25,70,82,83,51,62
ARHGAP22,ST,88,,51,97,81,83,87,77,79,51,29,86,81,88,81,70,84,91,0,91,90,63,77,86,92,37,56
Arp2_3,BR,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arp2_3,ST,63,51,,90,43,58,61,62,40,61,55,60,59,61,61,63,36,59,0,53,63,63,32,60,75,12,57
CP,BR,45,94,0,,12,41,39,43,41,45,47,45,39,49,59,0,47,77,50,95,33,24,60,39,56,21,38
CP,ST,94,97,90,,96,91,93,92,47,92,85,93,93,95,87,95,98,98,0,100,94,95,79,92,100,60,89
Cdc42,BR,9,67,0,12,,7,1,5,6,9,10,9,8,8,19,0,6,34,10,63,6,0,29,1,10,3,6
Cdc42,ST,53,81,43,96,,47,45,44,27,42,42,50,51,50,45,44,9,56,0,81,49,45,43,44,55,2,47
Cofilin,BR,38,73,0,41,7,,35,32,35,35,35,37,34,38,43,0,36,47,43,69,29,24,50,35,55,10,30
Cofilin,ST,62,83,58,91,47,,59,59,41,58,56,60,59,62,61,60,39,65,0,81,63,60,61,60,79,12,54
Coronin,BR,39,83,0,39,1,35,,40,38,40,35,40,36,42,47,0,40,43,43,82,29,28,64,39,49,10,36
Coronin,ST,60,87,61,93,45,59,,61,41,51,43,60,59,62,59,62,33,63,0,85,64,65,65,60,69,11,59
Cortactin,BR,42,66,0,43,5,32,40,,40,40,37,40,36,44,46,0,45,43,48,58,34,28,53,36,54,5,26
Cortactin,ST,62,77,62,92,44,59,61,,42,46,36,60,60,65,61,64,40,63,0,71,68,66,59,59,72,12,59
Dia1,BR,40,63,0,41,6,35,38,40,,39,42,39,38,44,41,0,43,42,40,63,38,32,60,35,53,5,35
Dia1,ST,44,79,40,47,27,41,41,42,,27,21,43,44,48,43,39,40,56,0,81,45,41,68,38,72,3,38
