,base,ARHGAP22,ARHGAP22_Arp2_3,ARHGAP22_CP,ARHGAP22_Cdc42,ARHGAP22_Cofilin,ARHGAP22_Coronin,ARHGAP22_Cortactin,ARHGAP22_Dia1,ARHGAP22_Dia2,ARHGAP22_Ena_Vasp,ARHGAP22_IRSp53_Cdc42,ARHGAP22_IRSp53_Rac1,ARHGAP22_LIMK,ARHGAP22_NET1,ARHGAP22_PAK,ARHGAP22_PIP2,ARHGAP22_PKD,ARHGAP22_Profilin,ARHGAP22_ROCK,ARHGAP22_ROS,ARHGAP22_Rac1,ARHGAP22_RhoA,ARHGAP22_SSH,ARHGAP22_Thymosin,ARHGAP22_WASP,ARHGAP22_WAVE,Arp2_3,Arp2_3_CP,Arp2_3_Cdc42,Arp2_3_Cofilin,Arp2_3_Coronin,Arp2_3_Cortactin,Arp2_3_Dia1,Arp2_3_Dia2,Arp2_3_Ena_Vasp,Arp2_3_IRSp53_Cdc42,Arp2_3_IRSp53_Rac1,Arp2_3_LIMK,Arp2_3_NET1,Arp2_3_PAK,Arp2_3_PIP2,Arp2_3_PKD,Arp2_3_Profilin,Arp2_3_ROCK,Arp2_3_ROS,Arp2_3_Rac1,Arp2_3_RhoA,Arp2_3_SSH,Arp2_3_Thymosin,Arp2_3_WASP,Arp2_3_WAVE,CP,CP_Cdc42,CP_Cofilin,CP_Coronin,CP_Cortactin,CP_Dia1,CP_Dia2,CP_Ena_Vasp,CP_IRSp53_Cdc42,CP_IRSp53_Rac1,CP_LIMK,CP_NET1,CP_PAK,CP_PIP2,CP_PKD,CP_Profilin,CP_ROCK,CP_ROS,CP_Rac1,CP_RhoA,CP_SSH,CP_Thymosin,CP_WASP,CP_WAVE,Cdc42,Cdc42_Cofilin,Cdc42_Coronin,Cdc42_Cortactin,Cdc42_Dia1,Cdc42_Dia2,Cdc42_Ena_Vasp,Cdc42_IRSp53_Cdc42,Cdc42_IRSp53_Rac1,Cdc42_LIMK,Cdc42_NET1,Cdc42_PAK,Cdc42_PIP2,Cdc42_PKD,Cdc42_Profilin,Cdc42_ROCK,Cdc42_ROS,Cdc42_Rac1,Cdc42_RhoA,Cdc42_SSH,Cdc42_Thymosin,Cdc42_WASP,Cdc42_WAVE,Cofilin,Cofilin_Coronin,Cofilin_Cortactin,Cofilin_Dia1,Cofilin_Dia2,Cofilin_Ena_Vasp,Cofilin_IRSp53_Cdc42,Cofilin_IRSp53_Rac1,Cofilin_LIMK,Cofilin_NET1,Cofilin_PAK,Cofilin_PIP2,Cofilin_PKD,Cofilin_Profilin,Cofilin_ROCK,Cofilin_ROS,Cofilin_Rac1,Cofilin_RhoA,Cofilin_SSH,Cofilin_Thymosin,Cofilin_WASP,Cofilin_WAVE,Coronin,Coronin_Cortactin,Coronin_Dia1,Coronin_Dia2,Coronin_Ena_Vasp,Coronin_IRSp53_Cdc42,Coronin_IRSp53_Rac1,Coronin_LIMK,Coronin_NET1,Coronin_PAK,Coronin_PIP2,Coronin_PKD,Coronin_Profilin,Coronin_ROCK,Coronin_ROS,Coronin_Rac1,Coronin_RhoA,Coronin_SSH,Coronin_Thymosin,Coronin_WASP,Coronin_WAVE,Cortactin,Cortactin_Dia1,Cortactin_Dia2,Cortactin_Ena_Vasp,Cortactin_IRSp53_Cdc42,Cortactin_IRSp53_Rac1,Cortactin_LIMK,Cortactin_NET1,Cortactin_PAK,Cortactin_PIP2,Cortactin_PKD,Cortactin_Profilin,Cortactin_ROCK,Cortactin_ROS,Cortactin_Rac1,Cortactin_RhoA,Cortactin_SSH,Cortactin_Thymosin,Cortactin_WASP,Cortactin_WAVE,Dia1,Dia1_Dia2,Dia1_Ena_Vasp,Dia1_IRSp53_Cdc42,Dia1_IRSp53_Rac1,Dia1_LIMK,Dia1_NET1,Dia1_PAK,Dia1_PIP2,Dia1_PKD,Dia1_Profilin,Dia1_ROCK,Dia1_ROS,Dia1_Rac1,Dia1_RhoA,Dia1_SSH,Dia1_Thymosin,Dia1_WASP,Dia1_WAVE,Dia2,Dia2_Ena_Vasp,Dia2_IRSp53_Cdc42,Dia2_IRSp53_Rac1,Dia2_LIMK,Dia2_NET1,Dia2_PAK,Dia2_PIP2,Dia2_PKD,Dia2_Profilin,Dia2_ROCK,Dia2_ROS,Dia2_Rac1,Dia2_RhoA,Dia2_SSH,Dia2_Thymosin,Dia2_WASP,Dia2_WAVE,Ena_Vasp,Ena_Vasp_IRSp53_Cdc42,Ena_Vasp_IRSp53_Rac1,Ena_Vasp_LIMK,Ena_Vasp_NET1,Ena_Vasp_PAK,Ena_Vasp_PIP2,Ena_Vasp_PKD,Ena_Vasp_Profilin,Ena_Vasp_ROCK,Ena_Vasp_ROS,Ena_Vasp_Rac1,Ena_Vasp_RhoA,Ena_Vasp_SSH,Ena_Vasp_Thymosin,Ena_Vasp_WASP,Ena_Vasp_WAVE,IRSp53_Cdc42,IRSp53_Cdc42_IRSp53_Rac1,IRSp53_Cdc42_LIMK,IRSp53_Cdc42_NET1,IRSp53_Cdc42_PAK,IRSp53_Cdc42_PIP2,IRSp53_Cdc42_PKD,IRSp53_Cdc42_Profilin,IRSp53_Cdc42_ROCK,IRSp53_Cdc42_ROS,IRSp53_Cdc42_Rac1,IRSp53_Cdc42_RhoA,IRSp53_Cdc42_SSH,IRSp53_Cdc42_Thymosin,IRSp53_Cdc42_WASP,IRSp53_Cdc42_WAVE,IRSp53_Rac1,IRSp53_Rac1_LIMK,IRSp53_Rac1_NET1,IRSp53_Rac1_PAK,IRSp53_Rac1_PIP2,IRSp53_Rac1_PKD,IRSp53_Rac1_Profilin,IRSp53_Rac1_ROCK,IRSp53_Rac1_ROS,IRSp53_Rac1_Rac1,IRSp53_Rac1_RhoA,IRSp53_Rac1_SSH,IRSp53_Rac1_Thymosin,IRSp53_Rac1_WASP,IRSp53_Rac1_WAVE,LIMK,LIMK_NET1,LIMK_PAK,LIMK_PIP2,LIMK_PKD,LIMK_Profilin,LIMK_ROCK,LIMK_ROS,LIMK_Rac1,LIMK_RhoA,LIMK_SSH,LIMK_Thymosin,LIMK_WASP,LIMK_WAVE,NET1,NET1_PAK,NET1_PIP2,NET1_PKD,NET1_Profilin,NET1_ROCK,NET1_ROS,NET1_Rac1,NET1_RhoA,NET1_SSH,NET1_Thymosin,NET1_WASP,NET1_WAVE,PAK,PAK_PIP2,PAK_PKD,PAK_Profilin,PAK_ROCK,PAK_ROS,PAK_Rac1,PAK_RhoA,PAK_SSH,PAK_Thymosin,PAK_WASP,PAK_WAVE,PIP2,PIP2_PKD,PIP2_Profilin,PIP2_ROCK,PIP2_ROS,PIP2_Rac1,PIP2_RhoA,PIP2_SSH,PIP2_Thymosin,PIP2_WASP,PIP2_WAVE,PKD,PKD_Profilin,PKD_ROCK,PKD_ROS,PKD_Rac1,PKD_RhoA,PKD_SSH,PKD_Thymosin,PKD_WASP,PKD_WAVE,Profilin,Profilin_ROCK,Profilin_ROS,Profilin_Rac1,Profilin_RhoA,Profilin_SSH,Profilin_Thymosin,Profilin_WASP,Profilin_WAVE,ROCK,ROCK_ROS,ROCK_Rac1,ROCK_RhoA,ROCK_SSH,ROCK_Thymosin,ROCK_WASP,ROCK_WAVE,ROS,ROS_Rac1,ROS_RhoA,ROS_SSH,ROS_Thymosin,ROS_WASP,ROS_WAVE,Rac1,Rac1_RhoA,Rac1_SSH,Rac1_Thymosin,Rac1_WASP,Rac1_WAVE,RhoA,RhoA_SSH,RhoA_Thymosin,RhoA_WASP,RhoA_WAVE,SSH,SSH_Thymosin,SSH_WASP,SSH_WAVE,Thymosin,WASP,WAVE,mean
ARHGAP22,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,79,91,85,94,87,91,87,86,86,85,85,80,91,92,50,86,0,93,92,0,95,86,85,85,71,87,71,83,72,80,71,70,71,72,72,55,90,72,23,70,0,92,93,0,82,70,77,73,86,88,99,89,89,86,85,88,88,88,75,92,88,44,87,0,92,91,0,99,86,88,89,76,87,78,81,77,80,77,79,76,69,92,79,35,73,0,93,92,0,88,70,83,81,85,85,89,85,89,85,87,85,76,100,88,85,85,0,100,100,0,86,83,92,87,76,81,75,78,77,79,75,69,91,77,33,71,0,92,91,0,88,71,85,82,81,80,80,81,81,79,79,91,79,43,78,0,92,91,0,91,72,88,86,75,78,76,78,74,68,91,77,32,72,0,92,92,0,87,70,84,80,78,79,81,77,74,91,77,38,76,0,92,92,0,90,71,87,83,74,76,74,67,90,78,34,71,0,92,92,0,87,72,83,80,77,76,70,92,81,35,73,0,92,92,0,89,74,82,80,75,68,91,75,31,72,0,92,92,0,86,71,82,79,68,79,75,25,63,0,92,93,0,79,62,80,72,92,90,56,92,0,91,93,0,100,90,90,92,77,37,75,0,93,92,0,91,72,88,85,33,32,0,49,82,0,87,29,39,34,72,0,91,90,0,85,70,78,75,0,0,0,0,0,0,0,0,92,92,0,100,91,92,92,93,0,100,92,93,92,0,0,0,0,0,88,84,93,88,71,83,80,62.587392550143264
Actin_BR,44,81,0,94,67,73,83,66,63,80,78,80,75,82,78,0,71,82,83,82,84,25,70,82,83,51,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,12,41,39,43,41,45,47,45,39,49,59,0,47,77,50,95,33,24,60,39,56,21,38,9,7,1,5,6,9,10,9,8,8,19,0,6,34,10,63,6,0,29,1,10,3,6,38,35,32,35,35,35,37,34,38,43,0,36,47,43,69,29,24,50,35,55,10,30,39,40,38,40,35,40,36,42,47,0,40,43,43,82,29,28,64,39,49,10,36,42,40,40,37,40,36,44,46,0,45,43,48,58,34,28,53,36,54,5,26,40,39,42,39,38,44,41,0,43,42,40,63,38,32,60,35,53,5,35,43,41,43,39,45,49,0,45,60,49,81,33,26,61,36,55,11,36,40,41,37,43,43,0,45,53,43,77,38,28,63,35,55,5,36,45,40,46,49,0,46,60,49,80,35,27,62,37,53,9,34,38,43,45,0,41,43,45,69,33,27,48,31,52,12,34,46,52,0,52,61,49,80,39,32,62,40,54,12,38,49,0,44,64,55,78,34,28,61,43,60,17,40,0,0,0,0,0,0,0,0,0,0,0,0,44,48,46,68,42,35,60,35,54,5,37,60,62,79,47,16,59,37,66,14,36,46,83,41,36,64,41,54,23,42,80,81,20,64,79,82,36,59,33,27,63,27,53,2,30,27,26,28,44,0,25,62,62,66,26,42,35,50,9,34,54,12,35,36.75644699140401
Actin_ST,65,88,51,97,81,83,87,77,79,51,29,86,81,88,81,70,84,91,0,91,90,63,77,86,92,37,56,63,90,43,58,61,62,40,61,55,60,59,61,61,63,36,59,0,53,63,63,32,60,75,12,57,94,96,91,93,92,47,92,85,93,93,95,87,95,98,98,0,100,94,95,79,92,100,60,89,53,47,45,44,27,42,42,50,51,50,45,44,9,56,0,81,49,45,43,44,55,2,47,62,59,59,41,58,56,60,59,62,61,60,39,65,0,81,63,60,61,60,79,12,54,60,61,41,51,43,60,59,62,59,62,33,63,0,85,64,65,65,60,69,11,59,62,42,46,36,60,60,65,61,64,40,63,0,71,68,66,59,59,72,12,59,44,27,21,43,44,48,43,39,40,56,0,81,45,41,68,38,72,3,38,48,24,48,49,46,46,63,9,47,0,45,47,49,42,52,53,11,45,39,38,42,31,36,59,9,24,0,16,42,45,6,47,41,2,41,66,64,65,63,65,43,77,0,88,66,66,70,59,74,8,60,62,65,61,64,39,72,0,83,66,63,63,58,73,10,58,67,65,66,47,77,0,88,71,68,71,61,73,14,62,63,61,40,74,0,84,66,66,71,57,73,21,55,64,37,67,0,71,64,65,33,62,76,4,64,41,55,0,81,43,39,52,32,47,2,35,75,0,88,71,65,69,60,80,12,65,0,0,0,0,0,0,0,0,0,88,89,63,74,80,90,30,73,65,63,70,63,76,5,63,65,27,62,74,2,64,71,66,79,12,55,58,73,11,58,73,14,59,53.421203438395416
Arp2_3,44,81,0,94,67,73,83,66,63,80,78,80,75,82,78,0,71,82,83,82,84,25,70,82,83,51,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,12,41,39,43,41,45,47,45,39,49,59,0,47,77,50,95,33,24,60,39,56,21,38,9,7,1,5,6,9,10,9,8,8,19,0,6,34,10,63,6,0,29,1,10,3,6,38,35,32,35,35,35,37,34,38,43,0,36,47,43,69,29,24,50,35,55,10,30,39,40,38,40,35,40,36,42,47,0,40,43,43,82,29,28,64,39,49,10,36,42,40,40,37,40,36,44,46,0,45,43,48,58,34,28,53,36,54,5,26,40,39,42,39,38,44,41,0,43,42,40,63,38,32,60,35,53,5,35,43,41,43,39,45,49,0,45,60,49,81,33,26,61,36,55,11,36,40,41,37,43,43,0,45,53,43,77,38,28,63,35,55,5,36,45,40,46,49,0,46,60,49,80,35,27,62,37,53,9,34,38,43,45,0,41,43,45,69,33,27,48,31,52,12,34,46,52,0,52,61,49,80,39,32,62,40,54,12,38,49,0,44,64,55,78,34,28,61,43,60,17,40,0,0,0,0,0,0,0,0,0,0,0,0,44,48,46,68,42,35,60,35,54,5,37,60,62,79,47,16,59,37,66,14,36,46,83,41,36,64,41,54,23,42,80,81,20,64,79,82,36,59,33,27,63,27,53,2,30,27,26,28,44,0,25,62,62,66,26,42,35,50,9,34,54,12,35,36.75644699140401
CP,51,56,50,0,62,57,56,52,51,58,94,61,56,55,55,49,100,53,56,54,52,49,49,58,52,63,52,50,0,49,50,50,50,50,50,50,52,50,49,48,50,100,52,50,48,49,49,49,52,51,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,51,49,51,48,53,56,50,51,51,52,51,100,53,50,59,49,50,52,51,51,50,49,50,52,49,51,51,66,52,50,53,49,49,100,54,50,58,49,51,52,50,51,53,50,51,51,48,51,66,53,51,51,51,51,100,49,50,58,49,50,52,51,50,50,49,50,52,49,65,51,52,50,50,51,100,53,51,49,48,49,50,49,50,51,50,48,52,68,50,49,52,50,51,100,51,49,49,51,49,51,51,50,51,51,51,67,50,51,50,51,49,100,53,50,55,50,49,51,52,49,51,52,69,69,66,68,71,51,100,81,71,94,66,61,82,66,78,53,66,51,50,52,51,50,100,51,52,60,51,48,52,51,49,53,50,54,51,51,49,100,52,51,55,52,51,50,49,51,51,51,50,50,48,100,53,51,56,49,51,52,50,51,51,50,50,50,100,52,50,51,49,51,49,52,50,51,51,51,100,51,50,50,50,48,49,50,49,50,48,100,100,100,100,100,100,100,100,100,100,100,51,52,56,53,50,50,51,49,51,50,51,54,49,50,50,51,51,54,51,54,55,53,50,60,49,55,49,51,50,50,50,50,51,52,50,49,49,50,49,48,53,51,52,54,50,52,49,51,50,49,48,48,51.97994269340974
Cdc42,50,50,49,48,0,50,49,49,50,48,48,50,51,50,52,50,49,51,49,49,50,48,48,48,51,48,46,52,51,0,50,48,49,51,53,51,52,49,50,50,50,51,50,49,51,53,50,49,51,51,52,49,49,0,51,50,50,51,49,51,50,50,50,49,48,50,51,50,49,50,50,48,51,50,51,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,50,51,51,48,50,49,50,50,48,49,51,50,50,48,52,50,50,50,50,48,51,50,51,51,50,48,51,51,49,49,49,49,51,50,50,50,49,49,51,49,49,51,51,51,50,48,50,50,51,49,50,52,49,51,50,52,51,50,50,50,48,49,51,48,51,50,50,50,50,51,49,49,47,49,50,49,48,49,50,49,50,49,51,49,51,49,50,49,52,51,51,50,51,50,50,49,51,49,51,49,50,52,50,50,50,50,47,51,49,51,49,50,51,51,50,49,52,51,49,50,50,52,52,52,51,51,49,50,49,48,50,46,49,50,50,52,51,49,49,48,51,50,49,49,49,50,47,49,50,51,51,50,49,50,50,51,51,48,50,53,50,49,50,48,51,51,51,50,51,49,49,49,49,49,51,51,49,51,49,49,49,50,48,51,49,52,49,49,50,50,50,50,49,50,50,51,50,51,48,51,49,51,47,50,51,40,51,48,52,51,49,51,51,49,51,48,50,52,51,49,48,50,52,51,49,50,51,50,50,52,49,50,50,50,49,51,50,51,50,51,50,49,48,50,50,50,49,52,51,46.17191977077364
Cofilin,30,64,5,77,44,0,57,61,51,63,58,63,57,69,63,4,66,87,62,84,12,23,84,4,79,12,53,6,6,4,0,0,7,7,4,5,6,6,5,5,4,8,35,6,31,4,7,21,0,6,4,6,28,12,0,17,32,28,28,30,28,26,44,32,5,40,76,29,89,22,21,75,10,36,9,23,12,0,0,9,10,12,12,11,10,11,12,4,12,58,12,79,7,8,59,0,14,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,25,18,19,18,19,19,34,19,0,34,29,18,70,19,19,59,14,22,1,18,32,30,31,30,31,30,45,32,8,48,65,37,77,25,27,75,17,40,7,25,28,28,30,28,27,45,30,8,43,63,28,78,26,25,74,14,34,8,24,30,29,30,28,42,31,4,46,72,31,83,25,24,76,13,36,8,26,29,30,26,43,33,5,45,67,30,83,26,25,78,14,35,8,26,31,29,42,32,5,46,70,32,83,26,25,77,13,34,8,25,29,41,28,3,43,67,31,80,26,24,71,14,33,10,26,42,47,4,55,78,45,83,39,39,77,31,53,9,39,30,6,45,77,33,83,26,26,75,13,37,8,26,4,10,29,4,23,4,6,28,0,5,5,4,45,78,46,92,44,43,82,26,51,12,40,71,71,85,63,41,79,14,80,38,66,31,80,26,26,74,13,34,13,29,82,80,39,80,4,93,60,79,25,25,77,18,30,4,24,25,35,18,30,6,23,76,3,81,47,64,13,17,0,14,35,8,24,30.94269340974212
Coronin,18,70,7,87,46,64,0,61,51,69,61,69,61,72,68,9,57,97,73,96,9,9,93,0,74,35,60,9,9,7,9,0,8,9,7,8,8,9,8,9,9,8,64,9,60,7,8,31,0,9,10,9,20,13,20,0,18,16,20,21,20,18,20,23,10,19,86,21,100,8,7,83,0,21,12,15,14,12,0,10,11,14,15,12,12,12,14,8,12,74,13,92,8,9,71,0,14,9,11,18,0,15,16,17,17,17,14,18,19,8,18,77,21,92,7,8,83,0,22,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,15,17,17,16,14,17,19,9,18,75,22,85,8,9,80,0,22,8,10,16,17,17,16,15,17,18,9,17,73,18,87,8,9,81,0,20,12,11,18,18,18,15,19,20,9,19,80,21,95,8,8,84,0,22,10,12,18,17,15,18,22,9,19,77,20,94,8,8,84,0,21,12,14,20,17,19,21,10,18,80,22,94,8,8,85,0,21,11,13,16,16,17,8,14,79,19,94,8,8,83,0,18,12,13,18,20,9,19,81,21,94,8,8,83,0,22,12,14,20,10,21,84,25,95,8,7,84,0,25,11,15,8,10,67,8,73,9,7,34,0,10,10,8,19,77,21,92,7,8,82,0,21,12,11,80,81,95,72,44,88,0,83,55,79,22,96,9,10,85,0,21,17,17,94,95,31,88,0,96,73,92,8,8,84,0,9,8,8,7,25,0,8,7,8,84,0,86,69,77,0,0,0,0,22,10,13,27.16618911174785
Cortactin,22,80,20,93,66,71,83,0,61,79,76,80,69,82,70,51,71,82,83,82,84,0,70,82,83,47,61,7,16,2,7,6,0,0,7,7,7,7,7,14,4,0,14,7,21,4,0,0,5,8,8,7,27,11,26,17,0,16,27,29,27,25,27,42,10,26,76,27,95,8,0,60,18,27,20,23,9,7,1,0,5,9,9,8,8,8,19,4,6,34,9,63,6,0,29,1,10,4,7,20,13,0,14,18,15,19,17,19,26,4,15,43,23,69,6,0,50,12,27,9,12,15,0,11,15,11,15,13,15,23,0,12,15,15,82,0,0,64,14,17,8,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,17,17,16,12,17,17,0,18,35,18,63,6,0,60,9,24,5,8,22,19,21,18,23,29,5,19,56,25,81,7,0,61,13,26,10,15,19,19,14,20,22,4,20,48,21,77,6,0,63,10,26,5,11,23,20,23,29,5,19,56,26,80,7,0,62,13,25,9,14,18,20,25,5,13,39,23,69,6,0,48,11,22,12,14,23,29,4,21,57,25,80,7,0,62,14,26,11,15,29,13,21,62,34,78,7,0,61,21,35,15,21,4,0,25,4,50,4,0,0,0,5,4,4,20,42,22,68,5,0,60,9,25,5,9,56,58,79,40,0,59,13,61,15,35,25,83,8,0,64,15,26,18,21,80,84,0,64,79,82,37,62,7,0,63,0,7,5,6,0,0,0,0,0,0,62,62,66,26,42,12,16,7,11,26,11,15,23.76504297994269
Dia1,37,6,20,10,9,6,4,7,0,5,5,5,8,5,5,51,0,6,5,6,48,51,0,5,4,10,10,42,83,47,42,45,43,0,42,42,40,42,43,38,50,0,29,43,21,51,51,0,43,41,42,41,73,91,75,83,74,0,73,72,73,76,73,57,100,74,26,73,10,100,100,0,82,73,80,76,48,45,51,45,0,44,44,46,46,46,33,49,0,23,47,12,51,50,0,48,45,46,47,38,40,40,0,38,33,37,39,36,33,51,0,17,36,6,51,49,0,42,36,39,39,41,41,0,41,34,39,41,41,33,49,0,42,41,4,51,50,0,40,42,43,43,37,0,38,33,36,38,38,31,49,0,18,35,11,52,51,0,43,35,41,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,33,38,38,38,30,51,0,14,36,5,50,51,0,40,36,41,39,31,31,33,32,28,49,0,19,29,6,34,39,0,34,22,44,32,36,40,36,30,50,0,17,35,5,49,52,0,41,37,40,40,36,38,32,51,0,19,36,10,48,49,0,44,37,41,39,38,31,52,0,14,35,5,51,49,0,42,35,39,40,30,36,0,10,29,6,51,49,0,33,29,37,32,49,0,49,50,50,50,52,0,50,51,50,52,0,0,0,0,0,0,0,0,0,0,0,15,16,5,47,50,0,41,14,19,22,36,4,51,50,0,40,36,37,37,5,45,47,0,4,4,11,13,49,50,0,50,50,49,48,50,0,51,50,51,52,0,0,0,0,0,41,43,42,43,36,42,41,30.383954154727792
