type,path
pos,SSH -| ROCK -> PKD -| SSH
pos,SSH -> Coronin -> SSH
pos,SSH -> Coronin -| ROCK -> PKD -| SSH
pos,CP -| Dia1 -> Profilin -| Arp2_3 -> CP
neg,CP -| Dia1 -> Profilin -| Arp2_3 -> Cofilin -| Thymosin -| WASP -> Ena_Vasp -| CP
pos,WASP -> Arp2_3 -> Cofilin -| Thymosin -| WASP
neg,WASP -> Profilin -| Arp2_3 -> Cofilin -| Thymosin -| WASP
pos,WASP -| Thymosin -| WASP
pos,Thymosin -| Cofilin -| Thymosin
pos,Thymosin -| Arp2_3 -> Cofilin -| Thymosin
neg,Thymosin -| Profilin -| Arp2_3 -> Cofilin -| Thymosin
