,base,CP,Cortactin,Dia1,Dia2,Ena_Vasp,PAK,Profilin,WASP,WAVE,mean
Actin_BR,41,43,39,41,41,42,0,50,15,32,34.4
Actin_ST,64,96,64,47,45,36,65,0,16,61,49.4
Arp2_3,41,43,39,41,41,42,0,50,15,32,34.4
CP,49,0,50,50,53,67,48,51,47,50,46.5
Cdc42,49,52,51,49,47,50,50,52,49,49,49.8
Cofilin,33,34,35,32,34,33,5,35,11,28,28.0
Coronin,23,24,20,23,22,23,8,23,20,19,20.5
Cortactin,22,24,0,20,21,22,3,22,16,17,16.7
Dia1,39,76,40,0,37,29,52,38,45,41,39.7
Dia2,91,90,91,91,0,90,100,91,89,92,82.5
Ena_Vasp,99,99,98,99,99,0,97,99,95,98,88.3
IRSp53_Cdc42,49,52,51,49,47,50,50,52,49,49,49.8
IRSp53_Rac1,22,24,18,20,21,22,3,22,16,17,18.5
LIMK,77,76,80,77,78,77,92,77,80,81,79.5
PAK,55,57,55,52,51,54,0,57,52,53,48.6
PIP2,51,50,49,50,47,51,52,50,54,50,50.4
PKD,77,76,80,77,78,77,92,77,80,81,79.5
Profilin,69,96,68,51,69,70,65,0,20,65,57.3
ROCK,77,76,80,77,78,77,92,77,80,81,79.5
Rac1,22,24,18,20,21,22,3,22,16,17,18.5
RhoA,79,76,82,81,79,79,100,78,85,84,82.3
SSH,23,24,20,23,22,23,8,23,20,19,20.5
Thymosin,43,41,41,43,41,41,45,40,89,43,46.7
WASP,57,59,57,56,58,59,53,60,0,56,51.5
WAVE,31,34,27,30,30,32,3,32,28,0,24.7
