,base,CP,Cortactin,Dia1,Dia2,Ena_Vasp,PAK,Profilin,WASP,WAVE,mean
Actin_BR,67,66,56,65,66,66,0,65,33,45,52.9
Actin_ST,76,90,62,70,44,11,67,0,15,58,49.3
Arp2_3,67,66,56,65,66,66,0,65,33,45,52.9
CP,49,0,53,50,53,82,47,50,55,51,49.0
Cdc42,52,49,49,50,49,50,53,48,51,51,50.2
Cofilin,71,70,68,70,71,70,10,67,46,59,60.2
Coronin,73,71,66,71,71,72,15,71,63,67,64.0
Cortactin,67,66,0,65,66,66,4,65,33,45,47.7
Dia1,9,20,10,0,9,6,49,9,7,10,12.9
Dia2,80,78,73,79,0,78,99,79,48,63,67.7
Ena_Vasp,94,93,90,94,94,0,95,94,72,93,81.9
IRSp53_Cdc42,52,49,49,50,49,50,53,48,51,51,50.2
IRSp53_Rac1,67,66,56,65,66,66,4,65,33,45,53.3
LIMK,20,21,25,21,22,20,85,22,30,26,29.2
PAK,69,68,64,67,67,69,0,67,66,66,60.3
PIP2,53,52,47,51,48,52,53,51,54,50,51.1
PKD,19,20,23,20,21,18,85,21,21,23,27.1
Profilin,85,91,73,81,84,85,67,0,40,74,68.0
ROCK,19,20,23,20,21,18,85,21,21,23,27.1
Rac1,67,66,56,65,66,66,4,65,33,45,53.3
RhoA,20,20,24,22,21,19,96,21,22,25,29.0
SSH,73,71,66,71,71,72,15,71,63,67,64.0
Thymosin,14,15,21,14,14,14,41,18,54,21,22.6
WASP,82,82,68,82,81,82,55,78,0,74,68.4
WAVE,79,78,67,77,77,78,5,78,58,0,59.7
