,,n/a,ARHGAP22,Arp2_3,CP,Cdc42,Cofilin,Coronin,Cortactin,Dia1,Dia2,Ena_Vasp,IRSp53_Cdc42,IRSp53_Rac1,LIMK,NET1,PAK,PIP2,PKD,Profilin,ROCK,ROS,Rac1,RhoA,SSH,Thymosin,WASP,WAVE
n/a,BR,63,75,0,65,35,51,63,51,59,66,63,65,53,64,59,0,65,69,65,74,67,30,60,63,68,25,39
n/a,ST,54,49,73,87,61,54,53,50,47,56,19,51,60,57,50,89,20,53,0,50,58,75,47,50,58,38,54
ARHGAP22,BR,75,,0,78,57,62,81,59,65,76,77,76,64,78,69,0,78,76,82,75,81,28,67,78,83,31,46
ARHGAP22,ST,49,,59,89,53,46,44,45,49,51,8,50,59,51,53,86,14,51,0,51,47,75,50,42,56,31,43
Arp2_3,BR,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arp2_3,ST,73,59,,73,73,69,71,72,49,73,60,72,72,74,52,89,68,69,0,59,78,85,52,72,92,30,71
CP,BR,65,78,0,,35,53,65,53,57,65,64,64,51,65,59,0,65,68,67,75,68,27,60,64,71,24,38
CP,ST,87,89,73,,76,79,85,76,74,87,66,86,86,89,79,88,82,89,0,90,92,86,80,82,95,44,74
Cdc42,BR,35,57,0,35,,33,36,27,24,35,34,36,35,35,27,0,36,44,37,54,43,0,30,36,38,28,25
Cdc42,ST,61,53,73,76,,55,53,61,43,60,35,60,64,62,51,83,38,61,0,57,68,100,52,54,68,41,58
Cofilin,BR,51,62,0,53,33,,61,26,46,51,53,52,49,50,49,0,52,48,63,58,54,23,49,62,66,17,24
Cofilin,ST,54,46,69,79,55,,51,51,45,55,27,52,54,54,41,86,27,52,0,46,60,76,41,49,60,34,51
Coronin,BR,63,81,0,65,36,61,,62,58,65,62,65,60,62,62,0,65,64,65,79,68,35,63,65,66,38,60
Coronin,ST,53,44,71,85,53,51,,55,44,51,20,46,50,54,42,88,20,52,0,43,59,70,45,52,57,41,46
Cortactin,BR,51,59,0,53,27,26,62,,45,53,52,50,39,55,47,0,62,53,67,56,55,27,48,56,67,8,3
Cortactin,ST,50,45,72,76,61,51,55,,39,50,24,51,56,52,40,89,22,43,0,42,58,75,42,53,57,32,68
Dia1,BR,59,65,0,57,24,46,58,45,,56,59,56,46,56,59,0,56,58,60,64,56,26,59,55,62,17,33
Dia1,ST,47,49,49,74,43,45,44,39,,44,14,44,52,45,47,51,9,47,0,51,45,42,48,42,53,19,41
Dia2,BR,66,76,0,65,35,51,65,53,56,,66,65,52,64,60,0,65,71,67,75,69,28,61,63,68,25,38
Dia2,ST,56,51,73,87,60,55,51,50,44,,17,53,61,56,48,89,20,52,0,49,61,75,48,51,62,35,53
Ena_Vasp,BR,63,77,0,64,34,53,62,52,59,66,,63,53,64,62,0,65,69,67,77,68,28,61,63,69,26,37
Ena_Vasp,ST,19,8,60,66,35,27,20,24,14,17,,19,31,19,0,77,18,16,0,8,14,66,1,19,17,30,32
IRSp53_Cdc42,BR,65,76,0,64,36,52,65,50,56,65,63,,51,65,61,0,64,67,65,75,69,26,60,64,68,25,35
IRSp53_Cdc42,ST,51,50,72,86,60,52,46,51,44,53,19,,60,52,48,89,21,53,0,49,59,75,44,45,60,31,53
IRSp53_Rac1,BR,53,64,0,51,35,49,60,39,46,52,53,51,,52,48,0,53,49,66,62,57,27,47,54,62,26,37
IRSp53_Rac1,ST,60,59,72,86,64,54,50,56,52,61,31,60,,60,56,89,32,65,0,59,63,76,56,52,63,34,51
LIMK,BR,64,78,0,65,35,50,62,55,56,64,64,65,52,,58,0,67,68,67,75,68,29,61,65,66,27,38
LIMK,ST,57,51,74,89,62,54,54,52,45,56,19,52,60,,49,89,19,55,0,51,59,75,49,51,62,36,53
NET1,BR,59,69,0,59,27,49,62,47,59,60,62,61,48,58,,0,61,61,62,67,60,25,59,60,65,19,31
NET1,ST,50,53,52,79,51,41,42,40,47,48,0,48,56,49,,50,11,53,0,52,47,41,50,43,55,12,42
PAK,BR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
PAK,ST,89,86,89,88,83,86,88,89,51,89,77,89,89,89,50,,86,88,0,90,100,100,53,88,95,76,86
PIP2,BR,65,78,0,65,36,52,65,62,56,65,65,64,53,67,61,0,,71,68,76,69,30,61,61,67,29,44
PIP2,ST,20,14,68,82,38,27,20,22,9,20,18,21,32,19,11,86,,16,0,14,25,66,10,21,20,31,36
PKD,BR,69,76,0,68,44,48,64,53,58,71,69,67,49,68,61,0,71,,73,76,76,20,60,62,73,28,38
PKD,ST,53,51,69,89,61,52,52,43,47,52,16,53,65,55,53,88,16,,0,50,54,79,47,50,58,31,54
Profilin,BR,65,82,0,67,37,63,65,67,60,67,67,65,66,67,62,0,68,73,,81,70,35,64,65,70,54,61
Profilin,ST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
ROCK,BR,74,75,0,75,54,58,79,56,64,75,77,75,62,75,67,0,76,76,81,,85,24,63,78,81,28,45
ROCK,ST,50,51,59,90,57,46,43,42,51,49,8,49,59,51,52,90,14,50,0,,48,75,50,44,58,31,45
ROS,BR,67,81,0,68,43,54,68,55,56,69,68,69,57,68,60,0,69,76,70,85,,30,60,64,69,27,41
ROS,ST,58,47,78,92,68,60,59,58,45,61,14,59,63,59,47,100,25,54,0,48,,73,46,60,62,42,58
Rac1,BR,30,28,0,27,0,23,35,27,26,28,28,26,27,29,25,0,30,20,35,24,30,,26,36,39,0,29
Rac1,ST,75,75,85,86,100,76,70,75,42,75,66,75,76,75,41,100,66,79,0,75,73,,39,70,81,50,74
RhoA,BR,60,67,0,60,30,49,63,48,59,61,61,60,47,61,59,0,61,60,64,63,60,26,,61,65,19,32
RhoA,ST,47,50,52,80,52,41,45,42,48,48,1,44,56,49,50,53,10,47,0,50,46,39,,43,53,12,44
SSH,BR,63,78,0,64,36,62,65,56,55,63,63,64,54,65,60,0,61,62,65,78,64,36,61,,66,33,59
SSH,ST,50,42,72,82,54,49,52,53,42,51,19,45,52,51,43,88,21,50,0,44,60,70,43,,61,41,45
Thymosin,BR,68,83,0,71,38,66,66,67,62,68,69,68,62,66,65,0,67,73,70,81,69,39,65,66,,42,61
Thymosin,ST,58,56,92,95,68,60,57,57,53,62,17,60,63,62,55,95,20,58,0,58,62,81,53,61,,44,61
WASP,BR,25,31,0,24,28,17,38,8,17,25,26,25,26,27,19,0,29,28,54,28,27,0,19,33,42,,10
WASP,ST,38,31,30,44,41,34,41,32,19,35,30,31,34,36,12,76,31,31,0,31,42,50,12,41,44,,21
WAVE,BR,39,46,0,38,25,24,60,3,33,38,37,35,37,38,31,0,44,38,61,45,41,29,32,59,61,10,
WAVE,ST,54,43,71,74,58,51,46,68,41,53,32,53,51,53,42,86,36,54,0,45,58,74,44,45,61,21,
