,base,ARHGAP22,ARHGAP22_Arp2_3,ARHGAP22_CP,ARHGAP22_Cdc42,ARHGAP22_Cofilin,ARHGAP22_Coronin,ARHGAP22_Cortactin,ARHGAP22_Dia1,ARHGAP22_Dia2,ARHGAP22_Ena_Vasp,ARHGAP22_IRSp53_Cdc42,ARHGAP22_IRSp53_Rac1,ARHGAP22_LIMK,ARHGAP22_NET1,ARHGAP22_PAK,ARHGAP22_PIP2,ARHGAP22_PKD,ARHGAP22_Profilin,ARHGAP22_ROCK,ARHGAP22_ROS,ARHGAP22_Rac1,ARHGAP22_RhoA,ARHGAP22_SSH,ARHGAP22_Thymosin,ARHGAP22_WASP,ARHGAP22_WAVE,Arp2_3,Arp2_3_CP,Arp2_3_Cdc42,Arp2_3_Cofilin,Arp2_3_Coronin,Arp2_3_Cortactin,Arp2_3_Dia1,Arp2_3_Dia2,Arp2_3_Ena_Vasp,Arp2_3_IRSp53_Cdc42,Arp2_3_IRSp53_Rac1,Arp2_3_LIMK,Arp2_3_NET1,Arp2_3_PAK,Arp2_3_PIP2,Arp2_3_PKD,Arp2_3_Profilin,Arp2_3_ROCK,Arp2_3_ROS,Arp2_3_Rac1,Arp2_3_RhoA,Arp2_3_SSH,Arp2_3_Thymosin,Arp2_3_WASP,Arp2_3_WAVE,CP,CP_Cdc42,CP_Cofilin,CP_Coronin,CP_Cortactin,CP_Dia1,CP_Dia2,CP_Ena_Vasp,CP_IRSp53_Cdc42,CP_IRSp53_Rac1,CP_LIMK,CP_NET1,CP_PAK,CP_PIP2,CP_PKD,CP_Profilin,CP_ROCK,CP_ROS,CP_Rac1,CP_RhoA,CP_SSH,CP_Thymosin,CP_WASP,CP_WAVE,Cdc42,Cdc42_Cofilin,Cdc42_Coronin,Cdc42_Cortactin,Cdc42_Dia1,Cdc42_Dia2,Cdc42_Ena_Vasp,Cdc42_IRSp53_Cdc42,Cdc42_IRSp53_Rac1,Cdc42_LIMK,Cdc42_NET1,Cdc42_PAK,Cdc42_PIP2,Cdc42_PKD,Cdc42_Profilin,Cdc42_ROCK,Cdc42_ROS,Cdc42_Rac1,Cdc42_RhoA,Cdc42_SSH,Cdc42_Thymosin,Cdc42_WASP,Cdc42_WAVE,Cofilin,Cofilin_Coronin,Cofilin_Cortactin,Cofilin_Dia1,Cofilin_Dia2,Cofilin_Ena_Vasp,Cofilin_IRSp53_Cdc42,Cofilin_IRSp53_Rac1,Cofilin_LIMK,Cofilin_NET1,Cofilin_PAK,Cofilin_PIP2,Cofilin_PKD,Cofilin_Profilin,Cofilin_ROCK,Cofilin_ROS,Cofilin_Rac1,Cofilin_RhoA,Cofilin_SSH,Cofilin_Thymosin,Cofilin_WASP,Cofilin_WAVE,Coronin,Coronin_Cortactin,Coronin_Dia1,Coronin_Dia2,Coronin_Ena_Vasp,Coronin_IRSp53_Cdc42,Coronin_IRSp53_Rac1,Coronin_LIMK,Coronin_NET1,Coronin_PAK,Coronin_PIP2,Coronin_PKD,Coronin_Profilin,Coronin_ROCK,Coronin_ROS,Coronin_Rac1,Coronin_RhoA,Coronin_SSH,Coronin_Thymosin,Coronin_WASP,Coronin_WAVE,Cortactin,Cortactin_Dia1,Cortactin_Dia2,Cortactin_Ena_Vasp,Cortactin_IRSp53_Cdc42,Cortactin_IRSp53_Rac1,Cortactin_LIMK,Cortactin_NET1,Cortactin_PAK,Cortactin_PIP2,Cortactin_PKD,Cortactin_Profilin,Cortactin_ROCK,Cortactin_ROS,Cortactin_Rac1,Cortactin_RhoA,Cortactin_SSH,Cortactin_Thymosin,Cortactin_WASP,Cortactin_WAVE,Dia1,Dia1_Dia2,Dia1_Ena_Vasp,Dia1_IRSp53_Cdc42,Dia1_IRSp53_Rac1,Dia1_LIMK,Dia1_NET1,Dia1_PAK,Dia1_PIP2,Dia1_PKD,Dia1_Profilin,Dia1_ROCK,Dia1_ROS,Dia1_Rac1,Dia1_RhoA,Dia1_SSH,Dia1_Thymosin,Dia1_WASP,Dia1_WAVE,Dia2,Dia2_Ena_Vasp,Dia2_IRSp53_Cdc42,Dia2_IRSp53_Rac1,Dia2_LIMK,Dia2_NET1,Dia2_PAK,Dia2_PIP2,Dia2_PKD,Dia2_Profilin,Dia2_ROCK,Dia2_ROS,Dia2_Rac1,Dia2_RhoA,Dia2_SSH,Dia2_Thymosin,Dia2_WASP,Dia2_WAVE,Ena_Vasp,Ena_Vasp_IRSp53_Cdc42,Ena_Vasp_IRSp53_Rac1,Ena_Vasp_LIMK,Ena_Vasp_NET1,Ena_Vasp_PAK,Ena_Vasp_PIP2,Ena_Vasp_PKD,Ena_Vasp_Profilin,Ena_Vasp_ROCK,Ena_Vasp_ROS,Ena_Vasp_Rac1,Ena_Vasp_RhoA,Ena_Vasp_SSH,Ena_Vasp_Thymosin,Ena_Vasp_WASP,Ena_Vasp_WAVE,IRSp53_Cdc42,IRSp53_Cdc42_IRSp53_Rac1,IRSp53_Cdc42_LIMK,IRSp53_Cdc42_NET1,IRSp53_Cdc42_PAK,IRSp53_Cdc42_PIP2,IRSp53_Cdc42_PKD,IRSp53_Cdc42_Profilin,IRSp53_Cdc42_ROCK,IRSp53_Cdc42_ROS,IRSp53_Cdc42_Rac1,IRSp53_Cdc42_RhoA,IRSp53_Cdc42_SSH,IRSp53_Cdc42_Thymosin,IRSp53_Cdc42_WASP,IRSp53_Cdc42_WAVE,IRSp53_Rac1,IRSp53_Rac1_LIMK,IRSp53_Rac1_NET1,IRSp53_Rac1_PAK,IRSp53_Rac1_PIP2,IRSp53_Rac1_PKD,IRSp53_Rac1_Profilin,IRSp53_Rac1_ROCK,IRSp53_Rac1_ROS,IRSp53_Rac1_Rac1,IRSp53_Rac1_RhoA,IRSp53_Rac1_SSH,IRSp53_Rac1_Thymosin,IRSp53_Rac1_WASP,IRSp53_Rac1_WAVE,LIMK,LIMK_NET1,LIMK_PAK,LIMK_PIP2,LIMK_PKD,LIMK_Profilin,LIMK_ROCK,LIMK_ROS,LIMK_Rac1,LIMK_RhoA,LIMK_SSH,LIMK_Thymosin,LIMK_WASP,LIMK_WAVE,NET1,NET1_PAK,NET1_PIP2,NET1_PKD,NET1_Profilin,NET1_ROCK,NET1_ROS,NET1_Rac1,NET1_RhoA,NET1_SSH,NET1_Thymosin,NET1_WASP,NET1_WAVE,PAK,PAK_PIP2,PAK_PKD,PAK_Profilin,PAK_ROCK,PAK_ROS,PAK_Rac1,PAK_RhoA,PAK_SSH,PAK_Thymosin,PAK_WASP,PAK_WAVE,PIP2,PIP2_PKD,PIP2_Profilin,PIP2_ROCK,PIP2_ROS,PIP2_Rac1,PIP2_RhoA,PIP2_SSH,PIP2_Thymosin,PIP2_WASP,PIP2_WAVE,PKD,PKD_Profilin,PKD_ROCK,PKD_ROS,PKD_Rac1,PKD_RhoA,PKD_SSH,PKD_Thymosin,PKD_WASP,PKD_WAVE,Profilin,Profilin_ROCK,Profilin_ROS,Profilin_Rac1,Profilin_RhoA,Profilin_SSH,Profilin_Thymosin,Profilin_WASP,Profilin_WAVE,ROCK,ROCK_ROS,ROCK_Rac1,ROCK_RhoA,ROCK_SSH,ROCK_Thymosin,ROCK_WASP,ROCK_WAVE,ROS,ROS_Rac1,ROS_RhoA,ROS_SSH,ROS_Thymosin,ROS_WASP,ROS_WAVE,Rac1,Rac1_RhoA,Rac1_SSH,Rac1_Thymosin,Rac1_WASP,Rac1_WAVE,RhoA,RhoA_SSH,RhoA_Thymosin,RhoA_WASP,RhoA_WAVE,SSH,SSH_Thymosin,SSH_WASP,SSH_WAVE,Thymosin,Thymosin_WASP,Thymosin_WAVE,WASP,WASP_WAVE,WAVE,mean
ARHGAP22,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,30,57,28,32,29,46,29,30,30,30,29,0,68,29,15,28,0,32,47,0,33,28,29,30,18,32,19,20,18,25,18,18,17,18,17,0,64,19,8,16,0,26,44,0,19,16,20,18,32,34,36,36,50,33,33,32,33,33,0,64,33,11,30,0,50,92,0,36,30,38,39,18,21,20,27,20,18,18,18,18,0,65,17,8,18,0,27,49,0,20,18,19,21,20,21,29,20,21,19,20,22,0,74,20,20,21,0,30,51,0,18,20,20,21,20,32,19,21,19,20,17,0,65,18,8,16,0,27,48,0,23,18,25,24,27,28,24,28,26,29,0,87,28,17,25,0,34,45,0,30,25,29,29,17,17,18,18,18,0,63,18,7,17,0,26,47,0,20,17,19,20,19,19,17,19,0,67,19,9,17,0,26,45,0,20,16,20,19,17,19,18,0,64,19,9,18,0,25,47,0,20,17,19,21,18,18,0,63,18,8,17,0,26,48,0,22,18,21,20,18,0,65,17,8,17,0,27,46,0,20,18,21,21,0,0,0,0,0,0,0,0,0,0,0,0,0,64,64,1,65,0,87,91,0,74,65,66,64,18,8,17,0,26,46,0,21,17,21,20,8,7,0,11,38,0,21,6,8,8,19,0,25,47,0,21,16,17,20,0,0,0,0,0,0,0,0,27,44,0,33,28,28,27,44,0,49,46,45,45,0,0,0,0,0,19,20,22,23,17,18,18,21,23,20,20.24715909090909
Actin_BR,63,75,0,78,57,62,81,59,65,76,77,76,64,78,69,0,78,76,82,75,81,28,67,78,83,31,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,35,53,65,53,57,65,64,64,51,65,59,0,65,68,67,75,68,27,60,64,71,24,38,35,33,36,27,24,35,34,36,35,35,27,0,36,44,37,54,43,0,30,36,38,28,25,51,61,26,46,51,53,52,49,50,49,0,52,48,63,58,54,23,49,62,66,17,24,63,62,58,65,62,65,60,62,62,0,65,64,65,79,68,35,63,65,66,38,60,51,45,53,52,50,39,55,47,0,62,53,67,56,55,27,48,56,67,8,3,59,56,59,56,46,56,59,0,56,58,60,64,56,26,59,55,62,17,33,66,66,65,52,64,60,0,65,71,67,75,69,28,61,63,68,25,38,63,63,53,64,62,0,65,69,67,77,68,28,61,63,69,26,37,65,51,65,61,0,64,67,65,75,69,26,60,64,68,25,35,53,52,48,0,53,49,66,62,57,27,47,54,62,26,37,64,58,0,67,68,67,75,68,29,61,65,66,27,38,59,0,61,61,62,67,60,25,59,60,65,19,31,0,0,0,0,0,0,0,0,0,0,0,0,65,71,68,76,69,30,61,61,67,29,44,69,73,76,76,20,60,62,73,28,38,65,81,70,35,64,65,70,54,61,74,85,24,63,78,81,28,45,67,30,60,64,69,27,41,30,26,36,39,0,29,60,61,65,19,32,63,66,33,59,68,42,61,25,10,39,45.94034090909091
Actin_ST,54,49,59,89,53,46,44,45,49,51,8,50,59,51,53,86,14,51,0,51,47,75,50,42,56,31,43,73,73,73,69,71,72,49,73,60,72,72,74,52,89,68,69,0,59,78,85,52,72,92,30,71,87,76,79,85,76,74,87,66,86,86,89,79,88,82,89,0,90,92,86,80,82,95,44,74,61,55,53,61,43,60,35,60,64,62,51,83,38,61,0,57,68,100,52,54,68,41,58,54,51,51,45,55,27,52,54,54,41,86,27,52,0,46,60,76,41,49,60,34,51,53,55,44,51,20,46,50,54,42,88,20,52,0,43,59,70,45,52,57,41,46,50,39,50,24,51,56,52,40,89,22,43,0,42,58,75,42,53,57,32,68,47,44,14,44,52,45,47,51,9,47,0,51,45,42,48,42,53,19,41,56,17,53,61,56,48,89,20,52,0,49,61,75,48,51,62,35,53,19,19,31,19,0,77,18,16,0,8,14,66,1,19,17,30,32,51,60,52,48,89,21,53,0,49,59,75,44,45,60,31,53,60,60,56,89,32,65,0,59,63,76,56,52,63,34,51,57,49,89,19,55,0,51,59,75,49,51,62,36,53,50,50,11,53,0,52,47,41,50,43,55,12,42,89,86,88,0,90,100,100,53,88,95,76,86,20,16,0,14,25,66,10,21,20,31,36,53,0,50,54,79,47,50,58,31,54,0,0,0,0,0,0,0,0,0,50,48,75,50,44,58,31,45,58,73,46,60,62,42,58,75,39,70,81,50,74,47,43,53,12,44,50,61,41,45,58,44,61,38,21,54,49.67329545454545
Arp2_3,63,75,0,78,57,62,81,59,65,76,77,76,64,78,69,0,78,76,82,75,81,28,67,78,83,31,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,35,53,65,53,57,65,64,64,51,65,59,0,65,68,67,75,68,27,60,64,71,24,38,35,33,36,27,24,35,34,36,35,35,27,0,36,44,37,54,43,0,30,36,38,28,25,51,61,26,46,51,53,52,49,50,49,0,52,48,63,58,54,23,49,62,66,17,24,63,62,58,65,62,65,60,62,62,0,65,64,65,79,68,35,63,65,66,38,60,51,45,53,52,50,39,55,47,0,62,53,67,56,55,27,48,56,67,8,3,59,56,59,56,46,56,59,0,56,58,60,64,56,26,59,55,62,17,33,66,66,65,52,64,60,0,65,71,67,75,69,28,61,63,68,25,38,63,63,53,64,62,0,65,69,67,77,68,28,61,63,69,26,37,65,51,65,61,0,64,67,65,75,69,26,60,64,68,25,35,53,52,48,0,53,49,66,62,57,27,47,54,62,26,37,64,58,0,67,68,67,75,68,29,61,65,66,27,38,59,0,61,61,62,67,60,25,59,60,65,19,31,0,0,0,0,0,0,0,0,0,0,0,0,65,71,68,76,69,30,61,61,67,29,44,69,73,76,76,20,60,62,73,28,38,65,81,70,35,64,65,70,54,61,74,85,24,63,78,81,28,45,67,30,60,64,69,27,41,30,26,36,39,0,29,60,61,65,19,32,63,66,33,59,68,42,61,25,10,39,45.94034090909091
CP,34,41,0,0,33,33,46,36,34,40,77,41,33,40,34,0,78,39,42,40,45,15,34,45,41,26,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,23,15,15,20,34,21,18,20,14,0,36,24,21,30,24,0,16,23,19,24,14,28,34,13,24,28,53,30,26,27,27,0,52,25,36,32,28,11,26,36,34,11,11,35,32,32,36,62,42,35,34,35,0,65,35,36,46,36,21,33,34,35,27,31,30,27,31,52,29,24,31,29,0,62,35,36,36,31,14,27,30,36,8,1,31,30,59,30,23,30,31,0,56,31,28,31,29,13,32,30,33,13,22,33,66,34,27,33,31,0,65,39,35,41,34,14,33,35,32,19,24,63,63,53,64,62,0,65,69,67,77,68,28,61,63,69,26,37,37,28,36,33,0,64,37,37,41,36,14,35,41,33,23,22,29,28,24,0,53,26,34,32,31,15,24,30,31,18,24,33,29,0,67,36,34,38,37,17,32,36,31,20,24,29,0,61,29,32,34,32,14,29,31,32,16,19,0,0,0,0,0,0,0,0,0,0,0,0,65,71,68,76,69,30,61,61,67,29,44,37,39,41,39,11,32,35,36,24,24,35,43,35,19,32,31,35,36,30,40,46,14,32,44,39,24,30,36,16,32,34,35,19,24,15,15,19,19,0,14,32,32,34,15,21,35,32,23,31,36,28,32,18,9,24,26.428977272727273
Cdc42,49,50,50,51,0,50,51,51,50,49,50,50,50,51,48,50,51,49,48,47,51,51,49,48,51,50,50,49,46,0,51,49,48,49,50,48,48,47,50,48,50,48,50,50,51,51,48,51,49,51,50,47,51,0,50,51,51,50,52,50,49,50,51,48,48,50,49,52,51,50,52,50,49,55,49,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,48,49,51,47,50,48,51,49,52,51,51,52,49,47,49,48,50,51,48,51,49,50,52,48,51,46,51,49,47,50,51,48,50,48,51,52,49,50,54,49,51,50,49,50,53,50,51,49,52,50,50,52,50,51,50,51,47,51,47,50,49,49,51,48,51,48,51,49,54,49,49,51,51,51,50,51,50,47,51,50,52,53,50,50,51,50,49,47,49,51,50,52,51,50,51,51,50,54,50,48,49,53,50,52,50,49,50,50,51,48,51,50,51,52,50,52,53,46,52,50,49,48,47,47,51,51,48,52,52,51,50,49,51,48,51,49,49,51,51,50,50,47,51,48,51,50,53,49,48,51,52,49,50,50,49,49,50,52,47,48,48,48,50,49,49,48,51,50,47,49,48,50,51,52,51,48,49,50,48,51,51,50,47,50,51,49,50,51,51,48,49,51,50,50,48,49,49,52,52,53,47,52,49,48,50,48,51,47,50,50,48,51,49,52,50,49,50,53,50,51,50,49,49,51,52,51,50,49,48,50,50,52,50,51,50,50,52,51,50,50,50,51,52,50,49,49,51,51,51,49,50,48,46.22443181818182
Cofilin,59,78,11,79,67,0,68,68,65,78,78,77,75,80,83,8,89,86,76,86,82,28,81,4,88,51,61,10,12,7,0,0,12,10,11,10,11,10,14,19,7,17,43,12,38,11,9,18,0,14,8,11,61,31,0,51,55,59,61,61,61,56,68,77,9,65,84,60,87,62,30,74,3,70,31,50,30,0,21,25,30,30,29,32,30,42,57,9,40,74,32,82,34,7,60,9,39,19,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,56,47,51,48,52,48,54,58,0,64,60,50,72,50,21,59,3,62,16,48,52,51,55,53,53,52,63,72,12,63,76,65,81,57,26,69,19,69,28,40,60,57,61,57,55,61,72,10,62,77,55,79,56,25,74,4,66,29,51,62,63,61,56,68,76,10,67,85,58,87,63,26,75,3,67,34,49,60,58,58,66,76,8,66,83,60,89,62,28,76,3,69,34,50,63,55,67,75,10,64,81,58,87,63,26,75,3,69,31,48,56,63,71,10,66,76,62,84,59,26,70,5,65,33,50,67,74,9,75,85,66,87,68,43,76,38,70,37,53,74,25,82,79,72,81,74,35,75,3,81,41,60,11,15,63,10,67,5,8,29,0,9,6,10,66,93,70,99,69,43,82,6,75,52,62,83,84,87,82,43,78,3,89,51,68,57,87,59,29,75,3,70,43,57,87,88,38,78,4,95,55,73,61,26,75,3,67,33,51,26,34,19,34,9,25,74,3,81,41,61,4,7,0,3,68,55,65,32,18,50,45.38068181818182
Coronin,61,86,18,88,79,84,0,74,70,87,87,85,88,86,94,13,87,99,88,99,88,15,91,0,90,83,74,18,19,8,17,0,18,16,17,16,18,17,17,28,11,20,66,18,56,18,15,28,0,19,19,17,64,35,62,0,60,63,63,64,65,63,65,84,14,63,93,66,99,64,18,82,0,69,51,62,33,33,0,28,32,32,32,36,34,33,69,15,34,91,35,100,34,8,73,0,36,30,28,63,0,55,62,61,64,64,64,61,82,15,64,93,63,99,62,15,83,0,63,50,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,57,61,59,59,58,63,81,14,63,88,67,93,61,15,78,0,64,42,48,63,60,65,60,63,60,79,13,61,87,62,88,57,16,81,0,66,47,62,65,67,63,63,65,82,16,64,94,65,99,65,14,83,0,66,52,61,62,63,65,62,84,12,63,93,66,99,64,15,83,0,68,51,61,66,61,64,84,14,62,92,64,99,66,15,82,0,67,52,59,63,63,84,15,64,93,64,99,65,13,83,0,65,50,61,64,81,13,67,93,66,100,64,15,84,0,64,50,60,82,30,82,89,84,90,82,26,82,0,87,64,76,16,15,97,14,100,13,9,34,0,13,13,15,64,93,67,99,65,15,83,0,67,53,60,93,94,99,91,44,86,0,95,88,92,62,100,67,16,85,0,69,60,62,99,99,30,87,0,100,97,96,62,13,83,0,63,52,61,14,24,0,15,15,14,83,0,87,66,77,0,0,0,0,66,58,66,51,36,60,50.24431818181818
Cortactin,63,76,15,78,58,64,81,0,65,76,77,77,64,78,69,50,78,77,82,77,76,0,67,78,83,35,47,10,11,20,9,10,0,0,10,10,10,11,10,0,27,11,13,10,12,13,0,0,9,10,10,11,65,36,53,65,0,57,65,64,64,51,65,59,29,65,68,67,76,66,0,60,64,71,26,41,35,34,36,0,24,36,35,36,35,35,27,28,36,45,37,56,40,0,30,36,38,30,31,52,61,0,46,52,53,52,49,51,49,28,53,51,63,62,55,0,49,62,66,21,29,63,0,58,65,62,65,60,62,62,26,65,64,65,79,68,0,63,65,66,38,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,56,59,56,46,56,59,0,56,58,60,64,56,0,59,55,62,17,33,66,66,65,52,64,60,29,65,71,67,76,68,0,61,63,68,26,40,63,63,53,64,62,27,65,70,67,78,67,0,61,63,69,27,40,66,51,65,61,29,64,68,65,76,68,0,60,64,68,26,38,53,52,48,29,53,49,66,62,56,0,47,54,62,26,40,64,58,28,67,68,67,76,67,0,61,65,66,28,41,59,0,61,61,62,67,60,0,59,60,65,19,31,28,28,48,28,50,13,0,0,26,28,27,28,65,71,68,76,67,0,61,61,67,29,48,69,73,76,76,0,60,62,73,32,40,65,81,68,0,64,65,70,54,61,76,86,0,63,78,81,35,48,66,0,60,64,68,29,45,0,0,0,0,0,0,60,61,65,19,32,63,66,33,61,68,42,61,26,16,41,43.77556818181818
Dia1,22,8,15,7,13,9,6,11,0,8,8,8,7,6,0,50,8,8,5,8,11,49,0,6,5,14,9,31,32,60,30,32,31,0,31,32,32,32,31,0,73,32,24,30,12,35,52,0,33,30,31,32,20,37,21,20,21,0,20,20,20,20,20,0,71,21,17,19,8,29,48,0,19,18,24,21,37,39,36,41,0,37,38,37,38,38,0,72,38,29,34,17,57,100,0,36,34,46,44,21,21,24,0,23,21,21,20,21,0,72,21,17,21,12,31,52,0,20,20,25,25,20,21,0,20,21,19,20,22,0,74,20,20,21,7,30,51,0,18,20,20,21,22,0,21,23,21,23,19,0,72,20,15,18,11,30,53,0,23,20,28,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,19,20,20,20,0,71,21,15,19,9,29,50,0,20,19,22,23,21,21,19,21,0,73,21,16,19,8,30,49,0,20,18,24,22,20,22,19,0,71,21,17,21,9,28,52,0,20,19,23,24,20,21,0,71,21,15,19,9,29,53,0,22,20,24,22,21,0,72,19,17,19,10,30,51,0,20,20,25,24,0,0,0,0,0,0,0,0,0,0,0,0,0,72,72,50,72,50,100,100,0,74,72,73,72,21,15,19,9,30,49,0,21,19,24,22,16,14,8,21,48,0,21,14,19,17,20,7,28,52,0,21,18,19,22,10,11,50,0,7,7,16,10,30,49,0,33,31,32,31,48,0,49,50,50,48,0,0,0,0,0,19,20,22,23,19,21,21,25,27,23,22.161931818181817
