,,n/a,ARHGAP22,Arp2_3,CP,Cdc42,Cofilin,Coronin,Cortactin,Dia1,Dia2,Ena_Vasp,IRSp53_Cdc42,IRSp53_Rac1,LIMK,NET1,PAK,PIP2,PKD,Profilin,ROCK,ROS,Rac1,RhoA,SSH,Thymosin,WASP,WAVE
n/a,BR,66,,,,,,,,,,,,,,,,,,,,,,,,,,
n/a,ST,58,,,,,,,,,,,,,,,,,,,,,,,,,,
ARHGAP22,BR,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARHGAP22,ST,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arp2_3,BR,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arp2_3,ST,,,,,,,,,,,,,,,,,,,,,,,,,,,
CP,BR,,,,,,,,,,,,,,,,,,,,,,,,,,,
CP,ST,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cdc42,BR,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cdc42,ST,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cofilin,BR,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cofilin,ST,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coronin,BR,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coronin,ST,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cortactin,BR,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cortactin,ST,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dia1,BR,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dia1,ST,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dia2,BR,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dia2,ST,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ena_Vasp,BR,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ena_Vasp,ST,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRSp53_Cdc42,BR,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRSp53_Cdc42,ST,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRSp53_Rac1,BR,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRSp53_Rac1,ST,,,,,,,,,,,,,,,,,,,,,,,,,,,
LIMK,BR,,,,,,,,,,,,,,,,,,,,,,,,,,,
LIMK,ST,,,,,,,,,,,,,,,,,,,,,,,,,,,
NET1,BR,,,,,,,,,,,,,,,,,,,,,,,,,,,
NET1,ST,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAK,BR,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAK,ST,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIP2,BR,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIP2,ST,,,,,,,,,,,,,,,,,,,,,,,,,,,
PKD,BR,,,,,,,,,,,,,,,,,,,,,,,,,,,
PKD,ST,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profilin,BR,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profilin,ST,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROCK,BR,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROCK,ST,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROS,BR,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROS,ST,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rac1,BR,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rac1,ST,,,,,,,,,,,,,,,,,,,,,,,,,,,
RhoA,BR,,,,,,,,,,,,,,,,,,,,,,,,,,,
RhoA,ST,,,,,,,,,,,,,,,,,,,,,,,,,,,
SSH,BR,,,,,,,,,,,,,,,,,,,,,,,,,,,
SSH,ST,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thymosin,BR,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thymosin,ST,,,,,,,,,,,,,,,,,,,,,,,,,,,
WASP,BR,,,,,,,,,,,,,,,,,,,,,,,,,,,
WASP,ST,,,,,,,,,,,,,,,,,,,,,,,,,,,
WAVE,BR,,,,,,,,,,,,,,,,,,,,,,,,,,,
WAVE,ST,,,,,,,,,,,,,,,,,,,,,,,,,,,
